ID;Geslacht;Leeftijd;LandVanVertrekBestemming;Geboorteland;Perioden;Immigratie_1;EmigratieExclusiefAdministratieveC_2;MigratiesaldoExclusiefAdministrati_3
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2014;182949.0;122248.0;60701.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2015;204615.0;126884.0;77731.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2016;230739.0;127320.0;103419.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2017;234957.0;127452.0;107505.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2018;243737.0;134797.0;108940.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2019;269064.0;139156.0;129908.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2020;220853.0;133161.0;87692.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2021;252528.0;128094.0;124434.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2022;403108.0;156220.0;246888.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2023;335668.0;165984.0;169684.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Land vertrek / bestemming;2014;118781.0;52435.0;66346.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Land vertrek / bestemming;2015;132546.0;55143.0;77403.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Land vertrek / bestemming;2016;149317.0;57169.0;92148.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Land vertrek / bestemming;2017;149947.0;59709.0;90238.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Land vertrek / bestemming;2018;159948.0;66541.0;93407.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Land vertrek / bestemming;2019;178312.0;71906.0;106406.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Land vertrek / bestemming;2020;142354.0;76949.0;65405.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Land vertrek / bestemming;2021;175073.0;66486.0;108587.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Land vertrek / bestemming;2022;303983.0;80657.0;223326.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Land vertrek / bestemming;2023;238739.0;89007.0;149732.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2014;28756.0;43656.0;-14900.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2015;29882.0;44398.0;-14516.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2016;31648.0;42672.0;-11024.0
