ID;SoortVordering;Perioden;VorderingenWWBWIJABWIOAWIOAZ_1;UitstaandSaldo_2
0;Totaal vorderingen;2001 januari;498900;1027.8
1;Totaal vorderingen;2001 februari;498760;1031.4
2;Totaal vorderingen;2001 maart;505440;1031.4
3;Totaal vorderingen;2001 april;502080;1033.6
4;Totaal vorderingen;2001 mei;502290;1035.2
5;Totaal vorderingen;2001 juni;499870;1034.0
6;Totaal vorderingen;2001 juli;497700;1037.4
7;Totaal vorderingen;2001 augustus;501020;1041.2
8;Totaal vorderingen;2001 september;501510;1043.5
9;Totaal vorderingen;2001 oktober;503470;1049.7
10;Totaal vorderingen;2001 november;506700;1054.0
11;Totaal vorderingen;2001 december;499740;1038.7
12;Totaal vorderingen;2002 januari;494650;1056.7
13;Totaal vorderingen;2002 februari;498710;1063.2
14;Totaal vorderingen;2002 maart;500670;1070.2
15;Totaal vorderingen;2002 april;505220;1075.2
16;Totaal vorderingen;2002 mei;508050;1074.7
17;Totaal vorderingen;2002 juni;509060;1075.8
18;Totaal vorderingen;2002 juli;520580;1105.1
19;Totaal vorderingen;2002 augustus;518630;1103.9
20;Totaal vorderingen;2002 september;519940;1102.8
21;Totaal vorderingen;2002 oktober;523070;1103.7
22;Totaal vorderingen;2002 november;522820;1105.8
23;Totaal vorderingen;2002 december;520820;1098.5
24;Totaal vorderingen;2003 januari;514060;1115.6
25;Totaal vorderingen;2003 februari;512160;1120.6
26;Totaal vorderingen;2003 maart;513040;1124.3
27;Totaal vorderingen;2003 april;511030;1137.5
28;Totaal vorderingen;2003 mei;509310;1137.0
29;Totaal vorderingen;2003 juni;501320;1136.8
30;Totaal vorderingen;2003 juli;501930;1139.2
31;Totaal vorderingen;2003 augustus;499380;1143.4
32;Totaal vorderingen;2003 september;503160;1148.9
33;Totaal vorderingen;2003 oktober;508290;1154.8
34;Totaal vorderingen;2003 november;509710;1161.0
35;Totaal vorderingen;2003 december;511770;1157.1
36;Totaal vorderingen;2004 januari;510470;1170.9
37;Totaal vorderingen;2004 februari;512810;1174.4
38;Totaal vorderingen;2004 maart;516520;1181.8
39;Totaal vorderingen;2004 april;516140;1185.1
40;Totaal vorderingen;2004 mei;513160;1182.7
41;Totaal vorderingen;2004 juni;513290;1184.8
42;Totaal vorderingen;2004 juli;509060;1188.8
43;Totaal vorderingen;2004 augustus;507670;1189.5
44;Totaal vorderingen;2004 september;508040;1191.1
45;Totaal vorderingen;2004 oktober;506710;1196.9
46;Totaal vorderingen;2004 november;506910;1200.2
47;Totaal vorderingen;2004 december;506450;1203.8
48;Totaal vorderingen;2005 januari;502060;1220.8
49;Totaal vorderingen;2005 februari;500090;1229.0
50;Totaal vorderingen;2005 maart;501030;1234.0
51;Totaal vorderingen;2005 april;499790;1236.3
