ID;Geslacht;Leeftijd;Herkomstgroepering;InkomstenbronVoorInstrOfNaUitstr;Perioden;AOUitkering_1;WWUitkering_2;Bijstandsuitkering_3;AOUitkering_4;WWUitkering_5;Bijstandsuitkering_6
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;28 september 2001 tot 27 september 2002;94.1;82.3;75.1;77.7;62.3;78.9
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;27 september 2002 tot 26 september 2003;76.0;128.7;82.8;81.5;65.9;69.7
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;26 september 2003 tot 24 september 2004;68.1;132.7;77.7;81.3;92.3;75.1
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;24 september 2004 tot 30 september 2005;39.8;121.7;80.0;83.6;123.8;82.2
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;30 september 2005 tot 29 september 2006;38.2;98.0;65.7;82.5;134.7;97.6
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;29 september 2006 tot 28 september 2007;54.5;84.2;60.0;63.1;117.1;87.3
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;28 september 2007 tot 26 september 2008;45.6;74.7;61.9;58.0;106.9;83.8
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;26 september 2008 tot 25 september 2009;54.6;172.9;84.3;55.0;86.5;59.7
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;25 september 2009 tot 24 september 2010;46.7;159.2;95.5;54.8;151.2;61.8
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;24 september 2010 tot 30 september 2011;53.0;152.1;88.9;56.1;155.1;73.2
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;30 september 2011 tot 28 september 2012;51.2;196.3;83.6;57.6;144.7;77.4
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;28 september 2012 tot 27 september 2013;51.6;267.7;102.5;51.4;161.9;67.9
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;27 september 2013 tot 26 september 2014;49.4;238.3;101.4;50.4;229.5;74.9
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;26 september 2014 tot 25 september 2015;41.7;222.6;101.2;49.6;237.6;84.6
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;28 september 2001 tot 27 september 2002;68.8;64.3;25.3;29.1;32.3;36.3
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;27 september 2002 tot 26 september 2003;52.4;101.9;29.5;28.5;37.1;27.5
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;26 september 2003 tot 24 september 2004;43.7;103.2;26.8;25.9;56.2;28.1
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;24 september 2004 tot 30 september 2005;21.4;94.1;24.2;25.3;76.0;32.6
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;30 september 2005 tot 29 september 2006;16.8;70.8;17.4;25.9;87.3;42.9
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;29 september 2006 tot 28 september 2007;23.0;61.6;17.6;16.9;77.4;43.8
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;28 september 2007 tot 26 september 2008;20.4;61.6;16.9;14.0;66.7;42.2
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;26 september 2008 tot 25 september 2009;24.7;155.7;33.0;10.5;48.3;27.1
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;25 september 2009 tot 24 september 2010;21.8;142.8;35.7;9.1;100.3;27.3
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;24 september 2010 tot 30 september 2011;23.4;133.3;32.1;8.7;106.4;32.4
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;30 september 2011 tot 28 september 2012;23.0;176.6;30.3;9.0;94.5;30.8
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;28 september 2012 tot 27 september 2013;22.9;243.1;36.4;7.6;102.6;24.7
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;27 september 2013 tot 26 september 2014;20.1;212.5;31.4;8.3;154.3;31.3
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;26 september 2014 tot 25 september 2015;19.8;199.9;26.5;7.6;160.5;37.6
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als werknemer;28 september 2001 tot 27 september 2002;64.1;63.3;21.8;25.2;29.2;33.3
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als werknemer;27 september 2002 tot 26 september 2003;47.7;100.6;25.3;24.7;33.7;24.7
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als werknemer;26 september 2003 tot 24 september 2004;39.3;101.9;22.5;21.9;51.4;25.0
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als werknemer;24 september 2004 tot 30 september 2005;18.2;92.8;20.1;21.2;68.5;28.9
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als werknemer;30 september 2005 tot 29 september 2006;15.3;69.4;14.0;21.0;78.2;39.3
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als werknemer;29 september 2006 tot 28 september 2007;21.1;60.3;14.1;12.9;67.7;40.0
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als werknemer;28 september 2007 tot 26 september 2008;19.3;60.8;14.0;10.6;57.6;38.4
