ID;Geslacht;Onderwijssoort;Herkomstgroepering;Populatie;RegioS;Perioden;Examenkandidaten_1;Gediplomeerden_2;GediplomeerdenRelatief_3
0;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Nederland;2003/'04;;27310.0;94.0
1;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Nederland;2004/'05;;28340.0;94.0
2;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Vier grootste gemeenten (G4);2003/'04;;;89.0
3;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Vier grootste gemeenten (G4);2004/'05;;;90.0
4;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Amsterdam;2003/'04;;;89.0
5;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Amsterdam;2004/'05;;;90.0
6;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;'s-Gravenhage (gemeente);2003/'04;;;93.0
7;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;'s-Gravenhage (gemeente);2004/'05;;;91.0
8;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Rotterdam;2003/'04;;;87.0
9;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Rotterdam;2004/'05;;;87.0
10;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Utrecht (gemeente);2003/'04;;;91.0
11;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Utrecht (gemeente);2004/'05;;;93.0
12;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Gemeenten >=100 000 inwoners (excl. G4);2003/'04;;;94.0
13;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Gemeenten >=100 000 inwoners (excl. G4);2004/'05;;;93.0
14;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Gemeenten < 100 000 inwoners;2003/'04;;;95.0
15;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Gemeenten < 100 000 inwoners;2004/'05;;;95.0
16;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Niet in te delen (GM);2003/'04;;;0.0
17;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Niet in te delen (GM);2004/'05;;;0.0
18;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Noord-Nederland (LD);2003/'04;;;93.0
19;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Noord-Nederland (LD);2004/'05;;;94.0
20;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Oost-Nederland (LD);2003/'04;;;94.0
21;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Oost-Nederland (LD);2004/'05;;;94.0
22;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;West-Nederland (LD);2003/'04;;;93.0
23;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;West-Nederland (LD);2004/'05;;;93.0
24;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Zuid-Nederland (LD);2003/'04;;;96.0
25;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Zuid-Nederland (LD);2004/'05;;;95.0
26;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Niet in te delen (LD);2003/'04;;;0.0
27;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Woonregio;Niet in te delen (LD);2004/'05;;;0.0
28;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Nederland;2003/'04;;;94.0
29;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Nederland;2004/'05;;28340.0;94.0
30;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Vier grootste gemeenten (G4);2003/'04;;;91.0
31;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Vier grootste gemeenten (G4);2004/'05;;;91.0
32;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Amsterdam;2003/'04;;;89.0
33;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Amsterdam;2004/'05;;;91.0
34;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;'s-Gravenhage (gemeente);2003/'04;;;94.0
35;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;'s-Gravenhage (gemeente);2004/'05;;;92.0
36;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Rotterdam;2003/'04;;;90.0
37;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Rotterdam;2004/'05;;;90.0
38;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Utrecht (gemeente);2003/'04;;;92.0
