ID;Opleidingsniveau;CaoSector;Perioden;TotaalAantalBanen_1;Voltijdbanen_2;BrutoUurloonAlleBanen_3;BrutoMaandloonAlleBanen_4;BrutoJaarloonAlleBanen_5;BrutoJaarloonVoltijdbanen_6
0;Totaal opleidingsniveau;Totaal cao-sector;2002;6996.3;3887.2;17.24;1958.0;26.2;35.5
1;Totaal opleidingsniveau;Particuliere bedrijven;2002;4861.3;2934.5;16.72;1936.0;26.0;35.3
2;Totaal opleidingsniveau;Gesubsidieerde sector;2002;1125.3;339.2;16.46;1619.0;21.3;31.4
3;Totaal opleidingsniveau;Overheid;2002;1009.7;613.5;20.4;2440.0;32.3;38.8
4;Totaal opleidingsniveau;Rijksoverheid;2002;132.5;101.3;21.74;2794.0;36.6;40.0
5;Totaal opleidingsniveau;Onderwijs;2002;484.2;226.1;20.88;2322.0;30.8;40.6
6;Totaal opleidingsniveau;Defensie;2002;74.2;71.3;17.65;2515.0;33.4;33.9
7;Totaal opleidingsniveau;Politie;2002;57.7;45.8;19.38;2570.0;35.0;37.4
8;Totaal opleidingsniveau;Gemeenten;2002;231.8;148.3;19.56;2363.0;31.3;37.1
9;Basisonderwijs;Totaal cao-sector;2002;659.7;317.1;12.66;1292.0;17.1;27.6
10;Basisonderwijs;Particuliere bedrijven;2002;538.1;257.9;12.83;1295.0;17.2;28.7
11;Basisonderwijs;Gesubsidieerde sector;2002;90.8;39.1;11.49;1178.0;15.2;21.4
12;Basisonderwijs;Overheid;2002;30.8;20.1;13.07;1588.0;21.2;25.6
13;Basisonderwijs;Rijksoverheid;2002;2.6;1.9;16.46;2023.0;27.3;30.9
14;Basisonderwijs;Onderwijs;2002;8.4;3.7;11.78;1245.0;16.3;21.8
15;Basisonderwijs;Defensie;2002;3.4;3.3;11.59;1654.0;21.5;21.7
16;Basisonderwijs;Politie;2002;;;;;;
17;Basisonderwijs;Gemeenten;2002;14.5;9.8;13.31;1654.0;22.3;26.9
18;Mavo;Totaal cao-sector;2002;631.1;234.1;12.66;1158.0;15.3;28.1
19;Mavo;Particuliere bedrijven;2002;513.3;185.3;12.5;1116.0;14.7;28.8
20;Mavo;Gesubsidieerde sector;2002;72.2;20.9;11.94;1083.0;14.0;21.8
21;Mavo;Overheid;2002;45.7;27.9;14.86;1756.0;23.3;28.1
22;Mavo;Rijksoverheid;2002;9.0;6.6;17.23;2149.0;28.8;33.0
23;Mavo;Onderwijs;2002;11.4;4.5;13.49;1380.0;18.0;24.7
24;Mavo;Defensie;2002;7.4;7.2;12.93;1862.0;24.4;24.6
25;Mavo;Politie;2002;3.7;2.7;15.15;1943.0;25.9;27.6
26;Mavo;Gemeenten;2002;13.1;6.4;15.3;1683.0;22.3;29.1
27;Vbo;Totaal cao-sector;2002;903.9;534.1;13.52;1555.0;21.0;28.5
28;Vbo;Particuliere bedrijven;2002;728.9;455.7;13.56;1592.0;21.6;29.0
29;Vbo;Gesubsidieerde sector;2002;117.1;38.2;12.61;1218.0;15.9;23.8
30;Vbo;Overheid;2002;57.8;40.2;14.4;1758.0;23.4;27.5
31;Vbo;Rijksoverheid;2002;7.3;5.9;15.27;1970.0;26.9;29.1
32;Vbo;Onderwijs;2002;13.9;6.1;12.88;1296.0;17.2;24.6
33;Vbo;Defensie;2002;11.0;10.4;13.88;1974.0;26.2;26.8
34;Vbo;Politie;2002;2.8;1.8;14.84;1840.0;24.4;27.1
35;Vbo;Gemeenten;2002;21.3;14.7;15.01;1837.0;24.4;28.4
36;Havo/Vwo;Totaal cao-sector;2002;480.5;218.1;15.11;1554.0;20.0;30.8
37;Havo/Vwo;Particuliere bedrijven;2002;369.5;167.0;15.25;1559.0;20.1;31.8
38;Havo/Vwo;Gesubsidieerde sector;2002;57.2;20.2;13.35;1270.0;16.1;25.5
39;Havo/Vwo;Overheid;2002;53.8;31.0;15.76;1818.0;23.6;29.2
40;Havo/Vwo;Rijksoverheid;2002;8.8;6.5;17.72;2242.0;29.5;32.6
41;Havo/Vwo;Onderwijs;2002;24.2;10.3;14.56;1524.0;19.5;26.1
42;Havo/Vwo;Defensie;2002;4.4;4.4;15.17;2205.0;29.0;29.2
43;Havo/Vwo;Politie;2002;2.9;2.3;14.22;1839.0;24.2;25.8
44;Havo/Vwo;Gemeenten;2002;12.2;6.9;16.93;1936.0;25.1;31.3
45;Mbo;Totaal cao-sector;2002;2528.7;1500.8;16.21;1910.0;25.6;32.5
46;Mbo;Particuliere bedrijven;2002;1757.9;1193.6;16.04;1982.0;26.6;32.6
47;Mbo;Gesubsidieerde sector;2002;490.9;114.8;15.66;1472.0;19.5;28.9
48;Mbo;Overheid;2002;279.9;192.5;17.96;2227.0;29.8;34.3
49;Mbo;Rijksoverheid;2002;44.8;35.7;18.27;2352.0;31.5;34.4
50;Mbo;Onderwijs;2002;68.5;27.4;16.28;1763.0;23.4;30.3
51;Mbo;Defensie;2002;34.5;33.3;17.27;2459.0;33.0;33.5
52;Mbo;Politie;2002;40.2;32.5;19.74;2641.0;36.1;38.1
53;Mbo;Gemeenten;2002;82.8;57.0;18.34;2240.0;29.6;34.2
54;Hbo;Totaal cao-sector;2002;1211.4;708.6;21.38;2554.0;34.4;43.8
55;Hbo;Particuliere bedrijven;2002;642.0;448.5;21.8;2756.0;37.7;45.5
56;Hbo;Gesubsidieerde sector;2002;209.5;64.1;19.38;2003.0;26.1;38.1
57;Hbo;Overheid;2002;359.9;196.0;21.62;2515.0;33.5;41.9
58;Hbo;Rijksoverheid;2002;25.8;19.9;22.58;2921.0;37.8;41.2
59;Hbo;Onderwijs;2002;250.0;119.5;20.9;2343.0;31.3;40.3
60;Hbo;Defensie;2002;9.8;9.6;25.5;3631.0;47.6;48.3
61;Hbo;Politie;2002;5.6;4.5;23.31;3107.0;42.9;47.2
62;Hbo;Gemeenten;2002;61.4;37.3;22.75;2745.0;36.5;44.4
63;Wo;Totaal cao-sector;2002;581.0;374.3;27.85;3505.0;47.0;56.1
64;Wo;Particuliere bedrijven;2002;311.5;226.5;28.07;3691.0;50.4;58.2
65;Wo;Gesubsidieerde sector;2002;87.7;41.9;27.15;3189.0;42.2;51.8
66;Wo;Overheid;2002;181.8;105.9;27.79;3337.0;43.6;53.5
67;Wo;Rijksoverheid;2002;34.2;24.9;29.51;3824.0;49.1;54.1
