ID;Cijfersoort;RegioS;Perioden;GeweldsdelictenTotaal_1;Mishandeling_2;Bedreiging_3;GeweldMetSeksueleBedoelingen_4;VermogensdelictenTotaal_5;PogingTotInbraak_6;PogingTotInbraak_7;Inbraak_8;Fietsdiefstal_9;Autodiefstal_10;DiefstalUitOfVanafAuto_11;DiefstalAndereVoertuigen_12;PogingTotZakkenrollerijBeroving_13;ZakkenrollerijZonderGeweld_14;ZakkenrollerijMetGeweld_15;OverigeDiefstal_16;VandalismedelictenTotaal_17;VernielingenAanVoertuigen_18;OverigeVernielingen_19;SlachtofferschapTotaal_20;CybercrimeTotaal_21;Identiteitsfraude_22;KoopEnVerkoopfraude_23;Hacken_24;Cyberpesten_25
0;1;Nederland;2012;2.6;0.9;1.6;0.1;13.2;2.9;1.7;1.2;3.7;0.2;2.6;0.7;2.3;1.6;0.1;3.8;7.7;4.9;2.8;19.8;12.1;1.5;2.9;6.0;3.1
1;1;Groningen (PO);2012;3.0;0.8;2.0;;13.0;2.3;1.3;1.0;5.4;;1.7;0.3;2.3;1.7;;4.2;7.5;4.5;3.0;19.3;12.9;0.8;3.6;5.8;4.2
2;1;Friesland (PO);2012;1.4;0.7;0.7;0.0;9.0;1.6;0.7;0.9;2.8;0.0;1.2;0.4;1.2;0.7;0.0;3.2;6.0;3.2;2.8;14.4;9.7;0.7;2.9;5.2;2.2
3;1;Drenthe (PO);2012;2.2;0.9;1.3;0.0;10.0;1.8;0.9;0.9;2.4;;1.6;0.2;1.7;1.2;;3.9;6.1;3.0;3.1;15.9;11.2;0.9;2.3;5.5;3.5
4;1;IJsselland (PO);2012;2.3;0.6;1.6;;9.8;2.2;1.2;1.0;2.9;0.0;1.7;0.4;1.5;1.4;;3.1;7.1;4.3;2.8;16.8;13.2;1.5;3.6;6.6;3.2
5;1;Twente (PO);2012;2.1;0.8;1.2;;12.6;2.7;1.4;1.2;4.3;;1.5;0.7;2.0;1.4;;3.6;7.3;4.8;2.5;18.9;12.2;1.3;3.4;6.5;2.6
6;1;Noord- en Oost-Gelderland (PO);2012;1.8;0.7;1.1;;9.6;2.0;1.2;0.8;2.2;;1.4;0.3;1.6;0.9;0.0;3.8;5.9;3.1;2.8;14.9;11.3;1.4;2.7;5.4;2.6
7;1;Gelderland-Midden (PO);2012;2.5;1.0;1.4;0.0;12.3;3.3;1.9;1.4;2.3;;2.4;0.3;2.0;1.3;;4.0;7.9;5.6;2.3;19.1;12.1;1.4;3.4;5.8;2.9
8;1;Gelderland-Zuid (PO);2012;2.3;1.0;1.3;;15.1;4.6;2.5;2.1;4.7;0.1;2.5;0.6;2.3;1.6;;4.1;7.8;4.9;2.9;21.7;12.1;1.1;2.9;6.0;3.0
9;1;Utrecht (PO);2012;2.6;0.9;1.5;;13.9;3.3;2.1;1.2;3.7;;2.7;0.7;2.2;1.7;;3.7;7.3;4.5;2.8;20.8;12.1;1.3;3.5;5.6;2.8
10;1;Noord-Holland-Noord (PO);2012;2.5;0.9;1.5;;11.2;2.2;1.3;0.9;2.7;;2.5;0.6;1.8;1.3;0.0;3.8;6.6;3.4;3.2;17.8;11.6;1.5;3.0;5.9;2.7
11;1;Zaanstreek-Waterland (PO);2012;3.1;1.0;1.9;;13.3;2.4;1.5;0.9;3.0;;2.5;1.0;2.6;2.0;;4.4;8.1;5.0;3.1;20.5;12.3;1.5;2.5;6.1;3.2
12;1;Kennemerland (PO);2012;2.7;0.8;1.9;0.0;12.9;2.1;1.1;1.0;3.0;0.2;3.5;0.9;1.7;1.2;0.0;4.1;9.3;6.0;3.3;20.8;14.4;2.4;2.5;7.1;4.3
13;1;Amsterdam-Amstelland (PO);2012;3.4;1.2;2.1;;20.1;3.2;2.0;1.2;7.6;;4.1;1.1;3.8;2.6;0.3;4.8;10.1;6.9;3.2;27.9;13.2;2.4;2.2;7.3;3.2
14;1;Gooi en Vechtstreek (PO);2012;2.7;0.9;1.6;;15.1;3.9;2.1;1.7;3.5;0.2;2.9;0.7;2.0;1.4;;4.8;8.4;5.7;2.7;22.9;14.6;3.1;2.9;6.9;4.4
15;1;Haaglanden (PO);2012;2.8;1.0;1.7;0.1;17.0;4.1;2.5;1.6;4.9;0.4;3.6;0.9;3.1;2.2;0.2;4.0;8.5;5.8;2.7;23.3;12.7;1.7;3.0;6.4;3.1
16;1;Hollands Midden (PO);2012;2.7;0.8;1.8;;11.9;2.3;1.3;1.0;2.9;0.3;2.3;0.6;1.8;1.4;;4.0;7.7;4.8;2.9;18.9;12.6;2.1;2.5;5.9;3.2
17;1;Rotterdam-Rijnmond (PO);2012;3.3;1.3;1.8;;15.1;4.0;2.5;1.5;4.1;;3.4;1.1;3.2;2.1;0.3;3.5;8.7;5.9;2.8;22.4;11.9;1.5;3.0;6.3;3.3
18;1;Zuid-Holland-Zuid (PO);2012;2.4;0.5;1.7;0.2;9.8;1.8;1.1;0.8;2.1;0.4;2.5;0.6;1.5;1.0;0.1;2.8;7.5;4.9;2.6;16.9;11.3;1.6;2.6;5.5;2.7
19;1;Zeeland (PO);2012;2.0;0.7;1.3;0.0;7.9;1.6;0.9;0.6;1.7;;1.6;0.4;0.9;0.7;0.0;2.8;6.9;3.9;3.0;14.0;12.3;1.3;3.5;6.2;3.0
20;1;Midden- en West-Brabant (PO);2012;3.0;0.9;1.8;;13.3;3.6;1.7;1.9;3.7;0.4;2.6;0.4;2.2;1.7;0.0;3.9;8.2;6.1;2.1;20.7;12.1;1.7;2.8;5.7;3.5
21;1;Brabant-Noord (PO);2012;2.0;0.8;1.0;0.0;11.8;2.8;1.8;1.0;3.0;0.2;2.3;0.5;2.1;1.5;0.2;3.1;6.7;4.2;2.5;17.2;11.2;2.0;2.8;4.5;2.8
22;1;Brabant-Zuidoost (PO);2012;2.7;1.0;1.5;;14.7;3.2;1.6;1.6;4.3;0.4;2.7;0.7;2.8;2.1;;3.3;6.6;4.7;1.9;20.6;10.7;1.4;2.4;5.8;2.2
23;1;Limburg-Noord (PO);2012;1.7;0.6;1.0;;11.4;2.5;1.5;1.0;3.1;0.2;1.8;0.4;2.3;1.8;;3.4;6.2;3.9;2.3;16.8;11.9;1.1;3.3;5.9;2.9
24;1;Limburg-Zuid (PO);2012;3.3;0.5;2.6;;15.4;3.7;2.4;1.3;3.5;0.4;3.9;1.1;2.8;1.9;0.3;3.9;8.2;4.8;3.4;22.1;11.0;0.9;2.9;4.9;3.4
25;1;Flevoland (PO);2012;2.6;0.9;1.5;;12.3;2.9;1.9;1.0;2.0;;2.5;0.5;2.2;1.7;0.0;4.5;8.7;5.0;3.7;19.8;12.9;1.4;3.3;6.6;3.1
