ID;Geslacht;Leeftijd;RegioS;Perioden;Bevolking_1;k_1BasisonderwijsVmboMbo1_2;k_2HavoVwoMbo24_3;k_3HboWo_4;k_11Basisonderwijs_5;k_12VmboHavoVwoOnderbouwMbo1_6;k_21HavoVwoMbo24_7;k_31HboWoBachelor_8;k_32HboWoMasterDoctor_9;k_111Basisonderwijs_10;k_121VmboBKMbo1_11;k_122VmboGTHavoVwoOnderbouw_12;k_211Mbo2EnMbo3_13;k_212Mbo4_14;k_213HavoVwo_15;k_311HboWoBachelor_16;k_321HboWoMasterDoctor_17
0;Totaal mannen en vrouwen;15 tot 75 jaar;Nederland;2013;12724000.0;31.8;41.5;26.7;10.3;21.5;41.5;17.3;9.5;10.3;13.5;8.0;17.4;14.6;9.4;17.3;9.5
1;Totaal mannen en vrouwen;15 tot 75 jaar;Nederland;2014;12782300.0;31.4;41.4;27.3;10.3;21.1;41.4;17.5;9.8;10.3;13.0;8.0;17.3;14.7;9.4;17.5;9.8
2;Totaal mannen en vrouwen;15 tot 75 jaar;Nederland;2015;12849400.0;30.8;41.4;27.8;10.2;20.6;41.4;17.8;10.0;10.2;12.6;8.0;17.2;14.8;9.4;17.8;10.0
3;Totaal mannen en vrouwen;15 tot 75 jaar;Nederland;2016;12939500.0;30.3;41.6;28.1;10.1;20.2;41.6;17.9;10.2;10.1;12.3;7.9;17.2;15.0;9.4;17.9;10.2
4;Totaal mannen en vrouwen;15 tot 75 jaar;Nederland;2017;13028400.0;29.6;41.7;28.7;9.7;19.9;41.7;18.3;10.3;9.7;12.0;7.9;17.0;15.2;9.5;18.3;10.3
5;Totaal mannen en vrouwen;15 tot 75 jaar;Nederland;2018;13115700.0;28.9;41.5;29.6;9.4;19.5;41.5;19.0;10.6;9.4;11.7;7.8;16.8;15.3;9.4;19.0;10.6
6;Totaal mannen en vrouwen;15 tot 75 jaar;Nederland;2019;13206100.0;28.3;41.4;30.3;9.4;18.9;41.4;19.3;10.9;9.4;11.1;7.8;16.7;15.3;9.4;19.3;10.9
7;Totaal mannen en vrouwen;15 tot 75 jaar;Nederland;2020;13262700.0;27.4;41.5;31.1;9.0;18.4;41.5;19.7;11.3;9.0;10.8;7.6;16.6;15.5;9.5;19.7;11.3
8;Totaal mannen en vrouwen;15 tot 75 jaar;Nederland;2021;13300700.0;26.5;41.8;31.7;8.6;18.0;41.8;19.9;11.8;8.6;10.3;7.6;16.4;15.8;9.5;19.9;11.8
9;Totaal mannen en vrouwen;15 tot 75 jaar;Nederland;2022;13419100.0;26.3;41.7;32.0;8.6;17.6;41.7;20.1;11.9;8.6;10.1;7.6;16.2;15.9;9.6;20.1;11.9
10;Totaal mannen en vrouwen;15 tot 75 jaar;Nederland;2023;13503400.0;26.2;41.2;32.5;8.8;17.4;41.2;20.3;12.3;8.8;10.1;7.3;16.0;15.8;9.4;20.3;12.3
11;Totaal mannen en vrouwen;15 tot 75 jaar;Noord-Nederland (LD);2013;1295900.0;31.4;45.1;23.4;9.6;21.8;45.1;16.8;6.7;9.6;14.4;7.4;19.8;16.7;8.6;16.8;6.7
12;Totaal mannen en vrouwen;15 tot 75 jaar;Noord-Nederland (LD);2014;1297800.0;31.0;45.1;23.9;9.6;21.4;45.1;17.0;6.8;9.6;13.9;7.5;19.7;17.0;8.5;17.0;6.8
13;Totaal mannen en vrouwen;15 tot 75 jaar;Noord-Nederland (LD);2015;1299400.0;30.4;45.4;24.2;9.6;20.8;45.4;17.2;7.0;9.6;13.3;7.5;19.7;17.2;8.5;17.2;7.0
14;Totaal mannen en vrouwen;15 tot 75 jaar;Noord-Nederland (LD);2016;1303200.0;30.1;45.6;24.4;9.4;20.6;45.6;17.2;7.2;9.4;13.2;7.4;19.5;17.5;8.5;17.2;7.2
15;Totaal mannen en vrouwen;15 tot 75 jaar;Noord-Nederland (LD);2017;1305200.0;29.5;45.7;24.8;9.0;20.5;45.7;17.6;7.2;9.0;13.0;7.5;19.5;17.7;8.5;17.6;7.2
16;Totaal mannen en vrouwen;15 tot 75 jaar;Noord-Nederland (LD);2018;1307700.0;28.8;45.8;25.4;8.7;20.1;45.8;17.9;7.4;8.7;12.7;7.4;19.3;17.9;8.6;17.9;7.4
17;Totaal mannen en vrouwen;15 tot 75 jaar;Noord-Nederland (LD);2019;1310300.0;28.2;45.8;26.0;8.8;19.5;45.8;18.4;7.6;8.8;12.2;7.3;19.1;18.1;8.5;18.4;7.6
18;Totaal mannen en vrouwen;15 tot 75 jaar;Noord-Nederland (LD);2020;1311600.0;27.2;46.1;26.6;8.2;19.1;46.1;18.8;7.8;8.2;11.9;7.2;19.1;18.4;8.6;18.8;7.8
19;Totaal mannen en vrouwen;15 tot 75 jaar;Noord-Nederland (LD);2021;1314000.0;26.3;46.7;27.0;7.7;18.6;46.7;19.0;8.0;7.7;11.4;7.2;18.9;19.0;8.8;19.0;8.0
20;Totaal mannen en vrouwen;15 tot 75 jaar;Noord-Nederland (LD);2022;1320800.0;26.0;46.8;27.3;7.7;18.3;46.8;19.2;8.1;7.7;11.1;7.2;18.8;19.2;8.8;19.2;8.1
21;Totaal mannen en vrouwen;15 tot 75 jaar;Noord-Nederland (LD);2023;1326000.0;25.9;46.2;27.9;7.8;18.1;46.2;19.5;8.4;7.8;11.2;6.9;18.6;18.9;8.7;19.5;8.4
22;Totaal mannen en vrouwen;15 tot 75 jaar;Oost-Nederland (LD);2013;2665200.0;32.4;43.0;24.6;10.1;22.4;43.0;17.0;7.7;10.1;14.3;8.0;18.6;16.2;8.2;17.0;7.7
23;Totaal mannen en vrouwen;15 tot 75 jaar;Oost-Nederland (LD);2014;2674500.0;32.1;43.0;25.0;10.1;22.0;43.0;17.2;7.8;10.1;14.0;8.0;18.4;16.4;8.2;17.2;7.8
24;Totaal mannen en vrouwen;15 tot 75 jaar;Oost-Nederland (LD);2015;2688700.0;31.5;43.1;25.4;10.0;21.6;43.1;17.5;7.9;10.0;13.5;8.0;18.4;16.5;8.2;17.5;7.9
25;Totaal mannen en vrouwen;15 tot 75 jaar;Oost-Nederland (LD);2016;2708800.0;31.0;43.4;25.6;9.8;21.2;43.4;17.6;8.0;9.8;13.2;8.0;18.4;16.7;8.4;17.6;8.0
26;Totaal mannen en vrouwen;15 tot 75 jaar;Oost-Nederland (LD);2017;2728300.0;30.3;43.6;26.2;9.5;20.8;43.6;18.0;8.1;9.5;12.9;7.9;18.2;16.9;8.5;18.0;8.1
27;Totaal mannen en vrouwen;15 tot 75 jaar;Oost-Nederland (LD);2018;2748400.0;29.6;43.5;26.8;9.2;20.4;43.5;18.5;8.4;9.2;12.6;7.8;18.0;17.1;8.4;18.5;8.4
28;Totaal mannen en vrouwen;15 tot 75 jaar;Oost-Nederland (LD);2019;2769200.0;29.0;43.5;27.5;9.2;19.8;43.5;18.9;8.6;9.2;12.1;7.8;17.8;17.2;8.5;18.9;8.6
29;Totaal mannen en vrouwen;15 tot 75 jaar;Oost-Nederland (LD);2020;2785600.0;28.1;43.6;28.3;8.7;19.4;43.6;19.3;8.9;8.7;11.7;7.6;17.8;17.3;8.6;19.3;8.9
