ID;Geslacht;RegioS;Perioden;TotaalBevolking15Tot65Jaar_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;WerklozeBeroepsbevolking_4;NietBeroepsbevolking_5;BrutoArbeidsparticipatie_6;NettoArbeidsparticipatie_7;GeregistreerdeWerklozen_8;Werkloosheidspercentage_9
0;Mannen en vrouwen;Nederland;1981;9365;5379;5042;337.0;3986;57.4;53.8;317.0;6.3
1;Mannen en vrouwen;Nederland;1982;9476;5385;4914;471.0;4090;56.8;51.9;468.0;8.7
2;Mannen en vrouwen;Nederland;1983;9577;5458;4873;585.0;4119;57.0;50.9;612.0;10.7
3;Mannen en vrouwen;Nederland;1984;9686;5460;4886;574.0;4227;56.4;50.4;591.0;10.5
4;Mannen en vrouwen;Nederland;1985;9805;5521;4991;530.0;4285;56.3;50.9;511.0;9.6
5;Mannen en vrouwen;Nederland;1986;9901;5671;5181;490.0;4230;57.3;52.3;474.0;8.6
6;Mannen en vrouwen;Nederland;1987;10024;5743;5257;486.0;4281;57.3;52.4;456.0;8.5
7;Mannen en vrouwen;Nederland;1988;10107;5867;5378;490.0;4240;58.0;53.2;453.0;8.3
8;Mannen en vrouwen;Nederland;1989;10168;5929;5477;452.0;4238;58.3;53.9;407.0;7.6
9;Mannen en vrouwen;Nederland;1990;10228;6063;5644;419.0;4165;59.3;55.2;358.0;6.9
10;Mannen en vrouwen;Nederland;1991;10294;6189;5790;400.0;4105;60.1;56.2;334.0;6.5
11;Mannen en vrouwen;Nederland;1992;10349;6296;5885;411.0;4052;60.8;56.9;336.0;6.5
12;Mannen en vrouwen;Nederland;1993;10420;6406;5925;481.0;4014;61.5;56.9;415.0;7.5
13;Mannen en vrouwen;Nederland;1994;10473;6466;5920;547.0;4007;61.7;56.5;486.0;8.5
14;Mannen en vrouwen;Nederland;1995;10498;6596;6063;533.0;3901;62.8;57.8;464.0;8.1
15;Mannen en vrouwen;Nederland;1996;10534;6686;6185;501.0;3848;63.5;58.7;440.0;7.5
16;Mannen en vrouwen;Nederland;1997;10566;6832;6384;448.0;3734;64.7;60.4;375.0;6.6
17;Mannen en vrouwen;Nederland;1998;10606;6941;6587;354.0;3665;65.4;62.1;287.0;5.1
18;Mannen en vrouwen;Nederland;1999;10665;7069;6768;301.0;3596;66.3;63.5;220.0;4.3
19;Mannen en vrouwen;Nederland;2000;10729;7187;6917;270.0;3542;67.0;64.5;188.0;3.8
20;Mannen en vrouwen;Nederland;2001 voor revisie;10801;7273;7021;252.0;3528;67.3;65.0;101.0;3.5
21;Mannen en vrouwen;Nederland;2001 na revisie;10800;7187;6935;252.0;3613;66.5;64.2;146.0;3.5
22;Mannen en vrouwen;Nederland;2002;10863;7312;7010;302.0;3551;67.3;64.5;170.0;4.1
23;Mannen en vrouwen;Nederland;2003;10903;7364;6968;396.0;3539;67.5;63.9;255.0;5.4
24;Mannen en vrouwen;Nederland;2004;10925;7417;6941;476.0;3508;67.9;63.5;319.0;6.4
25;Mannen en vrouwen;Nederland;2005;10940;7455;6973;482.0;3485;68.1;63.7;311.0;6.5
