ID;Geslacht;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1;KorterDan1Jaar_2;KorterDanEenHalfJaar_3;k_6Tot12Maanden_4;LangerDan1Jaar_5;k_1Tot5Jaar_6;k_1Tot2Jaar_7;k_2Tot5Jaar_8;k_5Tot10Jaar_9;k_10Tot20Jaar_10;k_20JaarOfLanger_11;LangerDan1JaarExacteDuurOnbekend_12;Onbekend_13;GemiddeldeAncienniteit_14
0;Totaal mannen en vrouwen;Totaal personen;2013 1e kwartaal;8427;1455;798;657;6962;2499;875;1625;1454;1600;1311;98;10;9.3
1;Totaal mannen en vrouwen;Totaal personen;2013 2e kwartaal;8436;1494;817;677;6933;2459;893;1566;1464;1610;1310;90;9;9.3
2;Totaal mannen en vrouwen;Totaal personen;2013 3e kwartaal;8443;1498;882;616;6939;2427;869;1557;1453;1644;1327;89;6;9.3
3;Totaal mannen en vrouwen;Totaal personen;2013 4e kwartaal;8426;1450;846;604;6969;2399;863;1536;1533;1649;1297;90;7;9.3
4;Totaal mannen en vrouwen;Totaal personen;2013;8433;1474;836;639;6951;2446;875;1571;1476;1626;1311;92;8;9.3
5;Totaal mannen en vrouwen;Totaal personen;2014 1e kwartaal;8320;1421;821;599;6892;2344;835;1509;1570;1627;1263;88;8;9.4
6;Totaal mannen en vrouwen;Totaal personen;2014 2e kwartaal;8360;1455;830;625;6897;2351;852;1499;1579;1623;1255;89;7;9.4
7;Totaal mannen en vrouwen;Totaal personen;2014 3e kwartaal;8417;1554;926;628;6858;2279;813;1466;1511;1671;1308;89;5;9.4
8;Totaal mannen en vrouwen;Totaal personen;2014 4e kwartaal;8433;1544;916;628;6883;2297;794;1503;1547;1654;1293;93;6;9.4
9;Totaal mannen en vrouwen;Totaal personen;2014;8382;1494;873;620;6882;2318;823;1494;1552;1644;1279;90;6;9.4
10;Totaal mannen en vrouwen;Totaal personen;2015 1e kwartaal;8395;1543;877;666;6846;2292;823;1469;1567;1620;1268;99;6;9.5
11;Totaal mannen en vrouwen;Totaal personen;2015 2e kwartaal;8457;1613;935;678;6837;2276;834;1442;1560;1633;1277;91;6;9.4
12;Totaal mannen en vrouwen;Totaal personen;2015 3e kwartaal;8499;1710;1027;683;6782;2225;821;1404;1474;1702;1284;96;7;9.3
13;Totaal mannen en vrouwen;Totaal personen;2015 4e kwartaal;8480;1675;1008;667;6798;2217;825;1392;1541;1658;1292;90;7;9.3
14;Totaal mannen en vrouwen;Totaal personen;2015 ;8458;1635;962;674;6816;2252;826;1427;1536;1653;1280;94;7;9.4
15;Totaal mannen en vrouwen;Totaal personen;2016 1e kwartaal;8456;1665;945;720;6782;2220;892;1328;1578;1626;1267;91;8;9.4
16;Totaal mannen en vrouwen;Totaal personen;2016 2e kwartaal;8552;1734;981;753;6810;2248;917;1330;1548;1643;1273;98;8;9.3
17;Totaal mannen en vrouwen;Totaal personen;2016 3e kwartaal;8628;1817;1096;722;6804;2247;902;1345;1427;1708;1321;101;6;9.3
18;Totaal mannen en vrouwen;Totaal personen;2016 4e kwartaal;8644;1796;1074;722;6841;2297;923;1375;1469;1686;1292;97;7;9.2
19;Totaal mannen en vrouwen;Totaal personen;2016;8570;1753;1024;729;6809;2253;909;1344;1505;1666;1288;97;7;9.3
20;Totaal mannen en vrouwen;Totaal personen;2017 1e kwartaal;8640;1783;989;794;6849;2325;962;1363;1502;1641;1283;98;8;9.3
21;Totaal mannen en vrouwen;Totaal personen;2017 2e kwartaal;8719;1846;1025;820;6865;2379;1002;1377;1436;1658;1291;102;8;9.2
22;Totaal mannen en vrouwen;Totaal personen;2017 3e kwartaal;8804;1882;1108;774;6912;2364;995;1370;1332;1763;1356;97;9;9.2
23;Totaal mannen en vrouwen;Totaal personen;2017 4e kwartaal;8815;1891;1120;771;6914;2432;999;1432;1335;1722;1319;105;11;9.1
24;Totaal mannen en vrouwen;Totaal personen;2017;8744;1851;1061;790;6885;2375;989;1385;1401;1696;1312;101;9;9.2
25;Totaal mannen en vrouwen;Totaal personen;2018 1e kwartaal;8819;1874;1057;818;6936;2449;1013;1436;1396;1684;1302;105;9;9.2
26;Totaal mannen en vrouwen;Totaal personen;2018 2e kwartaal;8913;1944;1084;860;6962;2515;1054;1461;1300;1722;1318;106;7;9.1
27;Totaal mannen en vrouwen;Totaal personen;2018 3e kwartaal;9000;2008;1163;845;6985;2547;1030;1517;1199;1763;1374;102;7;9.0
28;Totaal mannen en vrouwen;Totaal personen;2018 4e kwartaal;9026;1999;1161;838;7020;2599;1052;1547;1211;1747;1354;109;7;8.9
29;Totaal mannen en vrouwen;Totaal personen;2018;8939;1956;1116;840;6976;2528;1037;1490;1276;1729;1337;106;7;9.0
30;Totaal mannen en vrouwen;Totaal personen;2019 1e kwartaal;9030;1945;1067;878;7079;2665;1117;1548;1256;1718;1329;112;7;9.0
31;Totaal mannen en vrouwen;Totaal personen;2019 2e kwartaal;9104;1977;1080;897;7120;2705;1138;1567;1251;1703;1350;111;7;8.9
32;Totaal mannen en vrouwen;Totaal personen;2019 3e kwartaal;9156;1990;1106;884;7158;2721;1110;1611;1170;1748;1403;116;8;8.9
33;Totaal mannen en vrouwen;Totaal personen;2019 4e kwartaal;9177;1915;1072;843;7255;2801;1119;1683;1212;1737;1382;122;7;8.9
34;Totaal mannen en vrouwen;Totaal personen;2019;9117;1957;1081;876;7153;2723;1121;1602;1222;1727;1366;115;7;8.9
