ID;SocialeRelaties;Persoonskenmerken;Perioden;NietZoGelukkig_1;Gelukkig_2;NietZoTevredenMetHetLeven_3;TevredenMetHetLeven_4
0;999;Totaal personen;2003;13.0;87.0;13.0;87.0
1;999;Totaal personen;2004;13.0;87.0;13.0;87.0
2;999;Totaal personen;2005;13.0;87.0;14.0;86.0
3;999;Totaal personen;2006;12.0;88.0;13.0;87.0
4;999;Totaal personen;2007;12.0;88.0;13.0;87.0
5;999;Totaal personen;2008;12.0;88.0;12.0;88.0
6;999;Totaal personen;2009;11.0;89.0;13.0;87.0
7;999;Totaal personen;2010 oude methode;13.0;87.0;14.0;86.0
8;999;Totaal personen;2010 nieuwe methode;16.0;84.0;15.0;85.0
9;999;Totaal personen;2012;17.0;83.0;17.0;83.0
10;999;Geslacht: mannen;2003;12.0;88.0;13.0;87.0
11;999;Geslacht: mannen;2004;11.0;89.0;13.0;87.0
12;999;Geslacht: mannen;2005;13.0;87.0;14.0;86.0
13;999;Geslacht: mannen;2006;10.0;90.0;13.0;87.0
14;999;Geslacht: mannen;2007;11.0;89.0;12.0;88.0
15;999;Geslacht: mannen;2008;12.0;88.0;11.0;89.0
16;999;Geslacht: mannen;2009;10.0;90.0;12.0;88.0
17;999;Geslacht: mannen;2010 oude methode;11.0;89.0;13.0;87.0
18;999;Geslacht: mannen;2010 nieuwe methode;14.0;86.0;15.0;85.0
19;999;Geslacht: mannen;2012;18.0;82.0;17.0;83.0
20;999;Geslacht: vrouwen;2003;14.0;86.0;14.0;86.0
21;999;Geslacht: vrouwen;2004;14.0;86.0;14.0;86.0
22;999;Geslacht: vrouwen;2005;14.0;86.0;14.0;86.0
23;999;Geslacht: vrouwen;2006;13.0;87.0;14.0;86.0
24;999;Geslacht: vrouwen;2007;13.0;87.0;13.0;87.0
25;999;Geslacht: vrouwen;2008;12.0;88.0;12.0;88.0
26;999;Geslacht: vrouwen;2009;13.0;87.0;13.0;87.0
27;999;Geslacht: vrouwen;2010 oude methode;14.0;86.0;15.0;85.0
28;999;Geslacht: vrouwen;2010 nieuwe methode;18.0;82.0;16.0;84.0
29;999;Geslacht: vrouwen;2012;16.0;84.0;17.0;83.0
