ID;Geslacht;Persoonskenmerken;PositieInDeWerkkring;ArbeidspositiePartner;Perioden;WerkzameBeroepsbevolkingMetPartner_1;WerkzameBeroepsbevolkingInkomen_2;GemiddeldPersoonlijkPrimairInkomen_3;GemiddeldPersoonlijkInkomen_4;GemiddeldGestandaardiseerdInkomen_5;WerkzBeroepsbevPartnerInkOnbekend_6
0;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2003;5432;;;;;
1;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2004;5413;;;;;
2;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2005;5409;;;;;
3;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2006;5478;;;;;
4;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2007;5579;;;;;
5;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2008;5714;;;;;
6;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2009;5721;;;;;
7;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2010;5692;;;;;
8;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2011;5652;5578.0;45.2;39.0;30.9;74.0
9;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2012;5646;5558.0;45.7;39.3;31.0;88.0
10;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2013;5547;5393.0;46.9;40.7;31.8;153.0
11;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2014;5502;5312.0;48.0;41.7;33.7;190.0
12;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2015;5545;5391.0;47.8;42.3;33.5;154.0
13;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2016;5538;5333.0;49.2;43.6;35.4;205.0
14;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2017;5609;5289.0;50.4;44.8;36.7;320.0
15;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2018;5678;5396.0;51.7;45.4;37.0;282.0
16;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2019;5747;5459.0;53.5;46.7;39.2;289.0
17;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2020;5767;;;;;
18;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2003;4438;;;;;
19;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2004;4447;;;;;
20;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2005;4477;;;;;
21;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2006;4571;;;;;
22;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2007;4710;;;;;
23;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2008;4863;;;;;
24;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2009;4875;;;;;
25;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2010;4866;;;;;
26;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2011;4837;4777.0;44.1;37.5;31.3;60.0
27;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2012;4848;4775.0;44.9;38.1;31.4;73.0
28;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2013;4764;4634.0;46.1;39.4;32.3;130.0
29;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2014;4698;4537.0;47.4;40.3;34.2;160.0
30;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2015;4759;4630.0;47.1;41.1;34.1;129.0
31;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2016;4766;4592.0;48.6;42.4;36.1;174.0
32;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2017;4830;4552.0;49.9;43.7;37.4;278.0
33;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2018;4897;4656.0;51.4;44.5;37.9;241.0
34;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2019;4961;4714.0;53.3;45.9;40.0;247.0
35;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2020;4986;;;;;
36;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Werkzame beroepsbevolking;2003;4313;;;;;
37;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Werkzame beroepsbevolking;2004;4298;;;;;
