ID;PersonalCharacteristics;Accuracy;CaribbeanNetherlands;Periods;SpeaksOneLanguage_1;SpeaksMoreThanOneLanguage_2;Papiamentu_3;English_4;Dutch_5;Spanish_6;Other_7;Papiamentu_8;English_9;Dutch_10;Spanish_11;Other_12
0;Total persons;Percentage/average;Caribbean Netherlands ;2013;16.8;83.2;69.9;80.1;67.7;65.1;15.3;47.4;25.9;12.6;12.8;1.4
1;Total persons;Percentage/average;Caribbean Netherlands ;2017/2018;24.7;75.3;59.8;79.2;56.7;56.1;15.9;37.2;35.2;11.2;13.5;3.0
2;Total persons;Percentage/average;Bonaire;2013;10.1;89.9;86.9;74.2;76.0;75.7;14.8;63.8;4.5;15.4;15.2;1.2
3;Total persons;Percentage/average;Bonaire;2017/2018;14.0;86.0;87.1;69.6;70.4;70.5;16.2;60.2;6.6;16.1;14.6;2.5
4;Total persons;Percentage/average;St. Eustatius;2013;32.0;68.0;25.2;96.0;49.7;38.7;13.4;;84.7;6.3;7.4;
5;Total persons;Percentage/average;St. Eustatius;2017/2018;47.5;52.5;20.8;92.7;36.0;33.8;8.6;1.4;80.3;3.0;13.1;2.2
6;Total persons;Percentage/average;Saba;2013;43.4;56.6;13.4;99.6;32.3;27.1;23.3;;92.9;;3.3;3.1
7;Total persons;Percentage/average;Saba;2017/2018;32.3;67.7;10.7;96.9;34.0;32.6;25.7;;80.1;4.5;9.5;5.8
8;Total persons;Reliability margin;Caribbean Netherlands ;2013;2.3;2.3;2.8;2.4;2.8;2.9;2.2;3.0;2.6;2.0;2.0;0.7
9;Total persons;Reliability margin;Caribbean Netherlands ;2017/2018;2.1;2.1;2.4;2.0;2.4;2.4;1.8;2.3;2.3;1.5;1.6;0.8
10;Total persons;Reliability margin;Bonaire;2013;2.1;2.1;2.4;3.1;3.0;3.0;2.5;3.4;1.5;2.5;2.5;0.7
11;Total persons;Reliability margin;Bonaire;2017/2018;2.2;2.2;2.1;2.8;2.8;2.8;2.3;3.0;1.5;2.3;2.2;1.0
12;Total persons;Reliability margin;St. Eustatius;2013;7.9;7.9;7.4;3.3;8.5;8.3;5.8;;6.1;4.1;4.4;
13;Total persons;Reliability margin;St. Eustatius;2017/2018;5.0;5.0;4.1;2.6;4.8;4.7;2.8;1.2;4.0;1.7;3.4;1.5
14;Total persons;Reliability margin;Saba;2013;8.1;8.1;5.5;1.0;7.6;7.2;6.8;;4.2;;2.9;2.8
15;Total persons;Reliability margin;Saba;2017/2018;5.8;5.8;3.8;2.1;5.9;5.8;5.4;;4.9;2.5;3.6;2.9
16;Sex: male;Percentage/average;Caribbean Netherlands ;2013;17.3;82.8;67.7;79.6;65.6;67.8;16.3;45.5;28.3;10.9;14.5;0.9
17;Sex: male;Percentage/average;Caribbean Netherlands ;2017/2018;28.0;71.9;58.3;78.7;52.2;53.1;17.7;36.5;37.5;9.5;12.7;3.8
18;Sex: male;Percentage/average;Bonaire;2013;11.1;89.0;84.0;72.8;74.1;78.8;15.3;61.5;5.4;13.5;18.6;1.0
19;Sex: male;Percentage/average;Bonaire;2017/2018;16.4;83.6;84.2;68.2;66.0;68.6;18.1;59.2;7.5;13.8;15.7;3.7
20;Sex: male;Percentage/average;St. Eustatius;2013;30.2;69.8;27.5;98.3;48.3;41.9;14.7;;91.8;5.2;;
21;Sex: male;Percentage/average;St. Eustatius;2017/2018;53.5;46.5;18.4;93.5;28.5;29.9;8.9;;83.5;2.5;11.4;2.3
22;Sex: male;Percentage/average;Saba;2013;44.7;55.3;8.1;100.0;27.1;25.4;28.8;;95.4;;;
23;Sex: male;Percentage/average;Saba;2017/2018;35.7;64.3;14.7;98.6;32.6;25.9;29.9;;88.1;3.1;;6.2
24;Sex: male;Reliability margin;Caribbean Netherlands ;2013;3.1;3.1;3.9;3.3;3.9;3.9;3.0;4.1;3.7;2.6;2.9;0.8
25;Sex: male;Reliability margin;Caribbean Netherlands ;2017/2018;3.0;3.0;3.3;2.8;3.4;3.4;2.6;3.3;3.3;2.0;2.3;1.3
26;Sex: male;Reliability margin;Bonaire;2013;3.0;3.0;3.5;4.3;4.2;3.9;3.5;4.7;2.2;3.3;3.8;0.9
27;Sex: male;Reliability margin;Bonaire;2017/2018;3.2;3.2;3.1;4.0;4.1;4.0;3.3;4.2;2.3;3.0;3.1;1.6
28;Sex: male;Reliability margin;St. Eustatius;2013;10.4;10.4;10.2;3.0;11.4;11.2;8.1;;6.3;5.1;;
29;Sex: male;Reliability margin;St. Eustatius;2017/2018;6.9;6.9;5.4;3.4;6.3;6.4;4.0;;5.2;2.2;4.4;2.1
30;Sex: male;Reliability margin;Saba;2013;11.5;11.5;6.3;;10.3;10.1;10.5;;4.9;;;
31;Sex: male;Reliability margin;Saba;2017/2018;8.4;8.4;6.2;2.1;8.2;7.7;8.0;;5.7;3.0;;4.2
32;Sex: female;Percentage/average;Caribbean Netherlands ;2013;16.3;83.8;72.5;80.7;69.9;62.1;14.2;49.5;23.1;14.5;10.9;2.0
33;Sex: female;Percentage/average;Caribbean Netherlands ;2017/2018;21.1;78.9;61.3;79.8;61.5;59.3;14.0;37.9;32.8;13.0;14.2;2.1
34;Sex: female;Percentage/average;Bonaire;2013;9.1;90.9;90.1;75.7;78.1;72.2;14.2;66.3;3.4;17.6;11.3;1.3
