ID;Persoonskenmerken;Perioden;Consumentenvertrouwen_1;EconomischKlimaat_2;Koopbereidheid_3;EconomischeSituatieLaatste12Maanden_4;EconomischeSituatieKomende12Maanden_5;FinancieleSituatieLaatste12Maanden_6;FinancieleSituatieKomende12Maanden_7;GunstigeTijdVoorGroteAankopen_8;Totaal_9;VeelBeterGeworden_10;EenBeetjeBeterGeworden_11;HetzelfdeGebleven_12;EenBeetjeSlechterGeworden_13;VeelSlechterGeworden_14;WeetNiet_15;Totaal_16;VeelBeterWorden_17;EenBeetjeBeterWorden_18;HetzelfdeBlijven_19;EenBeetjeSlechterWorden_20;VeelSlechterWorden_21;WeetNiet_22;Totaal_23;VeelBeterGeworden_24;EenBeetjeBeterGeworden_25;HetzelfdeGebleven_26;EenBeetjeSlechterGeworden_27;VeelSlechterGeworden_28;WeetNiet_29;Totaal_30;VeelBeterWorden_31;EenBeetjeBeterWorden_32;HetzelfdeBlijven_33;EenBeetjeSlechterWorden_34;VeelSlechterWorden_35;WeetNiet_36;Totaal_37;GunstigeTijd_38;NietGunstigOfOngunstig_39;OngunstigeTijd_40;WeetNiet_41;Totaal_42;SterkGestegen_43;MatigGestegen_44;ZwakGestegen_45;OngeveerHetzelfdeGebleven_46;Gedaald_47;WeetNiet_48;Totaal_49;SterkerStijgen_50;EvenveelStijgen_51;MinderStijgen_52;GelijkBlijven_53;Dalen_54;WeetNiet_55;Totaal_56;SterkStijgen_57;EenBeetjeStijgen_58;HetzelfdeBlijven_59;EenBeetjeDalen_60;SterkDalen_61;WeetNiet_62;Totaal_63;SchuldenMaken_64;SpaartegoedenAanspreken_65;PreciesRondkomen_66;BeetjeGeldOverhouden_67;VeelGeldOverhouden_68;WeetNiet_69;Totaal_70;ZeerWaarschijnlijk_71;Waarschijnlijk_72;Onwaarschijnlijk_73;ZeerOnwaarschijnlijk_74;WeetNiet_75;Totaal_76;EenZeerGoedMoment_77;EenGoedMoment_78;EenSlechtMoment_79;EenZeerSlechtMoment_80;WeetNiet_81;Totaal_82;VeelMeerGeld_83;EenBeetjeMeerGeld_84;OngeveerHetzelfde_85;EenBeetjeMinderGeld_86;VeelMinderGeld_87;WeetNiet_88;Totaal_89;ZeerWaarschijnlijk_90;Waarschijnlijk_91;Onwaarschijnlijk_92;ZeerOnwaarschijnlijk_93;WeetNiet_94;Totaal_95;JaZekerWel_96;JaWaarschijnlijkWel_97;NeeWaarschijnlijkNiet_98;NeeZekerNiet_99;WeetNiet_100;Totaal_101;ZeerWaarschijnlijk_102;Waarschijnlijk_103;Onwaarschijnlijk_104;ZeerOnwaarschijnlijk_105;WeetNiet_106;Totaal_107;BoodschappenAlcoholTabak_108;KledingEnSchoenen_109;AutoEnVervoer_110;VakantiesMeerdaagseStedentrips_111;HorecaSportCultuur_112;WoningEnergieInternetTelefoon_113;OpAllesOpNietsNietsBijzonders_114;WeetNiet_115
0;Totaal personen;2017 1e kwartaal;23;44;9;45;43;0;10;17;100;8;50;26;10;3;3;100;7;47;32;8;2;5;100;4;21;47;21;6;1;100;4;22;56;13;2;3;100;29;54;12;5;100;11;37;22;26;1;3;100;16;39;12;26;1;6;100;3;14;24;51;5;4;100;3;10;27;46;9;5;100;20;40;25;10;5;100;3;34;40;15;8;100;4;13;45;16;15;6;100;8;18;36;35;3;100;3;7;16;71;2;100;9;17;24;48;2;100;7;7;5;23;6;5;41;6
1;Totaal personen;2017 2e kwartaal;24;46;10;48;44;1;11;17;100;11;48;25;9;3;4;100;7;46;32;8;1;6;100;4;22;47;19;7;1;100;3;23;55;12;3;3;100;28;54;11;6;100;13;38;21;23;0;4;100;22;38;5;24;2;8;100;4;13;23;49;6;5;100;4;10;26;45;9;5;100;18;40;25;12;5;100;3;34;41;16;7;100;3;12;48;14;17;6;100;7;18;36;35;4;100;4;7;16;72;2;100;9;17;23;48;2;100;7;7;4;23;6;5;41;5
2;Totaal personen;2017 3e kwartaal;25;47;11;52;43;3;10;19;100;12;50;24;7;3;4;100;7;45;32;8;3;5;100;5;22;48;18;6;1;100;3;22;55;14;2;3;100;31;52;11;6;100;14;40;18;23;0;5;100;25;38;6;23;1;7;100;4;12;23;49;8;4;100;3;11;25;46;10;5;100;19;40;25;11;5;100;3;32;42;15;7;100;3;13;49;13;16;5;100;8;20;35;35;3;100;3;7;18;70;2;100;9;17;25;47;2;100;8;7;5;22;6;6;41;5
3;Totaal personen;2017 4e kwartaal;22;41;9;46;36;-1;9;19;100;11;47;26;9;3;4;100;6;43;32;11;3;5;100;5;20;49;20;5;1;100;3;23;53;16;2;3;100;30;52;11;6;100;15;41;20;20;0;4;100;39;36;4;15;2;5;100;2;10;24;51;9;4;100;4;10;27;45;10;4;100;18;39;27;11;5;100;3;33;42;16;7;100;4;12;49;14;16;5;100;8;18;36;34;3;100;4;7;16;71;3;100;10;17;22;49;2;100;8;8;4;22;6;6;41;5
4;Totaal personen;2017;24;45;10;48;41;1;10;18;100;11;49;25;9;3;4;100;7;45;32;9;2;5;100;5;21;48;19;6;1;100;4;23;55;14;2;3;100;30;53;11;6;100;13;39;20;23;0;4;100;26;38;7;22;2;6;100;3;12;23;50;7;4;100;4;10;26;45;9;5;100;19;40;26;11;5;100;3;33;41;16;7;100;4;13;48;14;16;6;100;8;19;36;35;3;100;3;7;16;71;2;100;10;17;24;48;2;100;8;7;5;23;6;6;41;5
5;Totaal personen;2018 1e kwartaal;24;45;11;48;42;0;11;22;100;12;47;26;8;3;4;100;7;44;34;8;2;4;100;4;22;47;20;6;1;100;4;23;54;14;2;3;100;32;52;10;6;100;15;45;18;18;0;4;100;28;40;5;20;1;6;100;2;9;22;52;10;4;100;3;10;26;47;9;5;100;19;40;25;11;5;100;3;34;40;15;8;100;3;13;50;13;15;6;100;8;18;36;34;4;100;4;7;18;69;2;100;10;18;22;47;2;100;8;7;4;22;5;6;42;6
6;Totaal personen;2018 2e kwartaal;24;44;10;52;37;0;10;20;100;14;48;23;8;3;4;100;7;41;36;9;2;5;100;4;21;47;20;5;1;100;3;22;57;13;2;3;100;30;55;10;5;100;21;43;17;14;0;4;100;24;43;7;18;2;7;100;2;9;24;52;9;4;100;3;9;27;47;8;5;100;18;41;24;11;5;100;4;40;38;11;7;100;3;12;50;14;15;6;100;8;18;36;35;4;100;4;6;18;70;2;100;10;19;22;48;2;100;8;7;4;23;6;6;41;5
7;Totaal personen;2018 3e kwartaal;22;41;10;49;32;2;9;19;100;14;46;24;9;3;4;100;6;39;37;10;2;5;100;5;22;47;20;5;1;100;4;21;56;14;2;3;100;29;54;11;6;100;22;45;15;13;0;4;100;31;41;6;15;1;6;100;2;10;26;48;9;4;100;3;10;26;47;9;5;100;18;42;24;11;5;100;4;39;36;13;7;100;3;12;50;15;15;6;100;8;19;35;35;3;100;4;7;18;69;2;100;9;19;23;47;2;100;7;7;4;23;7;5;42;5
8;Totaal personen;2018 4e kwartaal;9;19;2;30;8;-6;1;11;100;9;40;29;14;4;4;100;4;29;38;20;5;4;100;4;20;47;23;6;1;100;3;22;50;21;3;2;100;25;55;14;5;100;23;45;17;13;0;3;100;43;37;5;11;1;4;100;2;13;32;44;5;5;100;4;11;26;46;9;5;100;17;40;26;12;6;100;5;37;37;13;7;100;3;12;46;14;18;6;100;8;17;36;37;3;100;3;6;18;70;2;100;9;19;23;47;2;100;8;8;4;25;5;6;40;4
9;Totaal personen;2018;20;37;8;45;30;-1;8;18;100;12;45;26;10;3;4;100;6;39;36;12;3;5;100;4;21;47;21;6;1;100;3;22;54;15;2;3;100;29;54;11;6;100;20;45;17;14;0;4;100;31;40;6;16;1;6;100;2;10;26;49;8;4;100;3;10;26;47;9;5;100;18;41;25;11;5;100;4;38;38;13;7;100;3;12;49;14;16;6;100;8;18;36;35;3;100;4;7;18;70;2;100;10;19;22;47;2;100;8;7;4;23;6;6;41;5
10;Totaal personen;2019 1e kwartaal;-1;1;-2;13;-11;-6;-1;2;100;6;34;29;21;6;4;100;3;22;36;27;8;4;100;5;20;42;25;6;1;100;4;20;50;21;4;2;100;20;56;18;6;100;29;43;17;9;0;2;100;38;35;8;15;1;3;100;2;14;38;38;3;4;100;3;12;27;44;10;4;100;17;40;27;11;5;100;5;38;36;13;8;100;3;11;46;17;18;5;100;8;17;35;37;3;100;4;7;17;71;2;100;10;18;22;48;2;100;8;7;4;23;7;5;41;4
