ID;Geslacht;Leeftijd;Onderwijsvolgend;Perioden;BeroepsEnNietBeroepsbevolking_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7;ZelfstandigeZonderPersoneelZzp_8;ZelfstandigeMetPersoneel_9;MeewerkendGezinslid_10;PositieInDeWerkkringOnbekend_11;Deeltijd_12;MinderDan20UurPerWeek_13;MinderDan12UurPerWeek_14;k_12Tot20UurPerWeek_15;k_20Tot35UurPerWeek_16;k_20Tot28UurPerWeek_17;k_28Tot35UurPerWeek_18;Voltijd_19;WerklozeBeroepsbevolking_20;Werkloosheidspercentage_21;NietBeroepsbevolking_22;BrutoArbeidsparticipatie_23;NettoArbeidsparticipatie_24
0;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2003 1e kwartaal;1918;1310;1182;1138;666;473;43;35;3;5;0;748;552;435;117;196;70;126;434;129;9.8;607;68.3;61.6
1;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2003 2e kwartaal;1920;1330;1201;1162;670;491;39;32;1;5;0;775;568;441;127;207;80;127;426;129;9.7;590;69.3;62.6
2;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2003 3e kwartaal;1922;1354;1222;1190;664;526;32;27;1;4;0;773;538;401;137;235;89;146;449;132;9.8;568;70.4;63.6
3;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2003 4e kwartaal;1924;1311;1177;1140;667;473;37;30;1;5;0;758;551;433;118;206;74;133;419;134;10.2;613;68.1;61.2
4;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2003;1921;1326;1195;1157;667;491;38;31;2;5;0;763;553;428;125;211;78;133;432;131;9.9;595;69.0;62.2
5;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2004 1e kwartaal;1926;1289;1139;1103;643;460;36;30;2;4;0;740;549;430;119;191;67;124;399;151;11.7;637;67.0;59.1
6;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2004 2e kwartaal;1928;1304;1155;1115;628;487;40;34;3;3;0;755;564;436;129;191;75;116;400;150;11.5;623;67.7;59.9
7;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2004 3e kwartaal;1930;1321;1176;1137;612;525;39;30;4;5;0;747;528;399;130;219;89;130;429;145;10.9;609;68.4;60.9
8;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2004 4e kwartaal;1932;1286;1137;1096;601;495;41;34;3;4;0;752;562;448;114;190;72;118;384;149;11.6;646;66.6;58.8
9;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2004;1929;1300;1152;1113;621;492;39;32;3;4;0;748;551;428;123;198;76;122;403;149;11.4;629;67.4;59.7
10;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2005 1e kwartaal;1934;1281;1117;1072;591;481;44;37;4;4;0;748;565;450;114;184;70;113;368;164;12.8;653;66.2;57.7
11;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2005 2e kwartaal;1936;1306;1149;1103;590;513;45;34;4;6;1;769;573;449;125;196;80;116;379;157;12.0;630;67.5;59.3
12;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2005 3e kwartaal;1938;1328;1178;1139;582;557;39;30;4;4;0;765;543;411;132;222;95;127;414;150;11.3;609;68.6;60.8
13;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2005 4e kwartaal;1939;1300;1153;1113;582;531;40;32;4;4;1;775;581;454;128;194;74;120;379;147;11.3;639;67.1;59.5
14;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2005;1937;1304;1149;1107;586;521;42;33;4;5;1;764;565;441;125;199;80;119;385;154;11.8;633;67.3;59.3
15;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2006 1e kwartaal;1941;1285;1135;1091;568;524;43;35;3;5;0;769;583;458;125;187;76;111;365;150;11.7;656;66.2;58.4
16;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2006 2e kwartaal;1943;1294;1168;1124;565;559;43;36;4;3;0;792;595;460;135;197;81;116;376;127;9.8;649;66.6;60.1
17;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2006 3e kwartaal;1945;1332;1209;1169;558;610;40;31;4;4;0;783;570;422;147;213;92;122;426;123;9.2;613;68.5;62.2
18;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2006 4e kwartaal;1947;1314;1191;1139;568;570;51;40;4;7;0;795;605;470;135;190;81;109;396;124;9.4;633;67.5;61.1
19;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2006;1944;1306;1175;1131;565;566;45;36;4;5;0;785;588;453;135;197;82;114;391;131;10.0;638;67.2;60.5
20;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2007 1e kwartaal;1951;1322;1185;1133;558;575;52;40;5;7;0;795;616;473;144;179;75;104;390;136;10.3;629;67.8;60.8
21;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2007 2e kwartaal;1955;1355;1229;1177;563;615;52;40;5;7;0;838;634;475;159;203;93;110;391;126;9.3;600;69.3;62.9
22;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2007 3e kwartaal;1959;1400;1272;1226;562;664;46;36;4;6;0;846;615;442;173;231;107;124;426;128;9.1;559;71.4;64.9
23;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2007 4e kwartaal;1964;1371;1251;1204;576;628;46;40;2;4;0;851;642;490;153;209;88;120;400;120;8.8;593;69.8;63.7
24;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2007;1957;1362;1234;1185;565;620;49;39;4;6;0;832;627;470;157;205;91;115;402;128;9.4;595;69.6;63.1
25;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2008 1e kwartaal;1969;1367;1240;1190;581;609;49;43;2;5;0;863;655;494;160;208;85;123;377;127;9.3;603;69.4;63.0
26;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2008 2e kwartaal;1975;1395;1274;1220;573;647;54;48;3;4;0;884;658;488;170;226;96;131;390;121;8.6;580;70.6;64.5
27;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2008 3e kwartaal;1981;1416;1302;1252;585;668;49;41;3;5;1;878;618;449;169;260;116;144;424;114;8.1;565;71.5;65.7
28;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2008 4e kwartaal;1988;1387;1270;1218;576;641;52;45;2;4;1;880;646;491;156;233;98;135;391;116;8.4;601;69.8;63.9
29;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2008;1978;1391;1272;1220;579;641;51;44;3;5;1;876;644;480;164;232;99;133;396;119;8.6;587;70.3;64.3
30;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2009 1e kwartaal;1992;1393;1256;1196;571;626;59;51;3;5;1;888;660;502;158;227;96;132;369;137;9.8;599;69.9;63.1
31;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2009 2e kwartaal;1995;1407;1268;1213;568;645;54;46;2;6;1;911;672;498;175;239;102;137;357;139;9.9;589;70.5;63.6
32;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2009 3e kwartaal;1998;1418;1274;1221;543;678;53;45;2;6;0;893;628;463;165;265;122;143;381;144;10.1;581;70.9;63.7
33;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2009 4e kwartaal;2002;1376;1226;1169;532;638;56;47;2;7;0;884;659;510;149;225;99;125;342;151;11.0;625;68.8;61.2
34;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2009;1997;1398;1256;1200;553;647;56;47;2;6;0;894;655;494;161;239;105;134;362;143;10.2;598;70.0;62.9
35;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2010 1e kwartaal;2004;1361;1196;1141;505;636;55;47;2;5;0;875;667;512;154;208;88;120;321;165;12.1;643;67.9;59.7
36;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2010 2e kwartaal;2006;1371;1219;1161;495;666;57;50;3;5;0;899;673;511;162;226;103;123;320;153;11.1;634;68.4;60.8
37;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2010 3e kwartaal;2007;1391;1245;1193;494;699;51;44;2;5;0;906;637;473;164;269;130;139;339;146;10.5;616;69.3;62.0
38;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2010 4e kwartaal;2009;1354;1212;1154;498;656;58;49;3;6;0;891;666;507;160;225;101;124;321;143;10.5;654;67.4;60.3
39;Totaal mannen en vrouwen;15 tot 25 jaar;Totaal;2010;2006;1370;1218;1162;498;664;55;47;3;5;0;893;661;501;160;232;105;127;325;152;11.1;637;68.3;60.7
