ID;Geslacht;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1;Deeltijd_2;MinderDan20UurPerWeek_3;MinderDan12UurPerWeek_4;k_12Tot20UurPerWeek_5;k_20Tot35UurPerWeek_6;k_20Tot28UurPerWeek_7;k_28Tot35UurPerWeek_8;Voltijd_9;GemiddeldeArbeidsduurInUren_10
0;Totaal mannen en vrouwen;Totaal personen;2013 1e kwartaal;8427;3962;1651;1059;592;2311;1224;1087;4465;30.9
1;Totaal mannen en vrouwen;Totaal personen;2013 2e kwartaal;8436;3972;1651;1053;599;2321;1210;1111;4464;30.9
2;Totaal mannen en vrouwen;Totaal personen;2013 3e kwartaal;8443;3952;1621;1029;592;2331;1215;1117;4491;31.0
3;Totaal mannen en vrouwen;Totaal personen;2013 4e kwartaal;8426;3982;1667;1080;587;2315;1184;1131;4444;30.9
4;Totaal mannen en vrouwen;Totaal personen;2013;8433;3967;1648;1055;592;2320;1208;1111;4466;30.9
5;Totaal mannen en vrouwen;Totaal personen;2014 1e kwartaal;8320;3929;1638;1082;556;2291;1182;1109;4392;30.9
6;Totaal mannen en vrouwen;Totaal personen;2014 2e kwartaal;8360;3953;1643;1060;583;2310;1197;1113;4407;30.9
7;Totaal mannen en vrouwen;Totaal personen;2014 3e kwartaal;8417;3945;1609;1017;592;2336;1189;1147;4472;31.2
8;Totaal mannen en vrouwen;Totaal personen;2014 4e kwartaal;8433;3979;1648;1071;578;2330;1190;1140;4454;31.0
9;Totaal mannen en vrouwen;Totaal personen;2014;8382;3951;1635;1057;577;2317;1189;1127;4431;31.0
10;Totaal mannen en vrouwen;Totaal personen;2015 1e kwartaal;8395;3988;1650;1082;569;2338;1189;1149;4407;30.9
11;Totaal mannen en vrouwen;Totaal personen;2015 2e kwartaal;8457;4024;1661;1071;591;2363;1216;1147;4432;30.9
12;Totaal mannen en vrouwen;Totaal personen;2015 3e kwartaal;8499;4005;1625;1012;614;2380;1237;1143;4494;31.1
13;Totaal mannen en vrouwen;Totaal personen;2015 4e kwartaal;8480;4000;1643;1045;598;2357;1212;1146;4479;31.0
14;Totaal mannen en vrouwen;Totaal personen;2015 ;8458;4005;1645;1052;593;2360;1213;1146;4453;31.0
15;Totaal mannen en vrouwen;Totaal personen;2016 1e kwartaal;8456;3999;1634;1050;583;2365;1192;1173;4457;31.0
16;Totaal mannen en vrouwen;Totaal personen;2016 2e kwartaal;8552;4032;1639;1044;595;2393;1211;1182;4520;31.1
17;Totaal mannen en vrouwen;Totaal personen;2016 3e kwartaal;8628;4039;1597;996;601;2442;1217;1225;4589;31.3
18;Totaal mannen en vrouwen;Totaal personen;2016 4e kwartaal;8644;4058;1623;1038;585;2435;1190;1245;4586;31.3
19;Totaal mannen en vrouwen;Totaal personen;2016;8570;4032;1623;1032;591;2409;1203;1206;4538;31.2
20;Totaal mannen en vrouwen;Totaal personen;2017 1e kwartaal;8640;4065;1614;1040;575;2450;1202;1248;4575;31.2
21;Totaal mannen en vrouwen;Totaal personen;2017 2e kwartaal;8719;4104;1623;1027;596;2481;1220;1260;4615;31.2
22;Totaal mannen en vrouwen;Totaal personen;2017 3e kwartaal;8804;4122;1590;987;603;2532;1251;1281;4683;31.4
23;Totaal mannen en vrouwen;Totaal personen;2017 4e kwartaal;8815;4158;1619;1042;577;2539;1231;1308;4658;31.2
24;Totaal mannen en vrouwen;Totaal personen;2017;8744;4112;1612;1024;588;2500;1226;1274;4633;31.3
25;Totaal mannen en vrouwen;Totaal personen;2018 1e kwartaal;8819;4165;1612;1039;573;2553;1240;1312;4654;31.2
26;Totaal mannen en vrouwen;Totaal personen;2018 2e kwartaal;8913;4227;1616;1014;602;2611;1273;1338;4685;31.2
27;Totaal mannen en vrouwen;Totaal personen;2018 3e kwartaal;9000;4234;1577;975;602;2657;1304;1353;4766;31.4
28;Totaal mannen en vrouwen;Totaal personen;2018 4e kwartaal;9026;4280;1614;1014;601;2665;1293;1372;4746;31.3
29;Totaal mannen en vrouwen;Totaal personen;2018;8939;4227;1605;1010;595;2622;1278;1344;4713;31.3
30;Totaal mannen en vrouwen;Totaal personen;2019 1e kwartaal;9030;4308;1615;1026;589;2693;1311;1382;4722;31.2
31;Totaal mannen en vrouwen;Totaal personen;2019 2e kwartaal;9104;4332;1620;1029;591;2712;1281;1431;4773;31.3
32;Totaal mannen en vrouwen;Totaal personen;2019 3e kwartaal;9156;4348;1580;981;599;2768;1313;1455;4808;31.4
33;Totaal mannen en vrouwen;Totaal personen;2019 4e kwartaal;9177;4367;1610;1019;591;2757;1301;1456;4810;31.3
34;Totaal mannen en vrouwen;Totaal personen;2019;9117;4339;1606;1014;593;2732;1301;1431;4778;31.3
35;Totaal mannen en vrouwen;Totaal personen;2020 1e kwartaal;9174;4417;1613;1029;584;2805;1271;1534;4757;31.2
