ID;Geslacht;Leeftijd;DiagnosenGGZHoofdgroepen;GestandaardiseerdInkomen;Verblijf;Perioden;PrimaireDiagnosen_1;PrimaireOfNevendiagnosen_2;PrimaireDiagnosen_3;PrimaireOfNevendiagnosen_4
0;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Totaal met en zonder verblijf;2015;697525.0;697525.0;5127;5127.0
1;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Totaal met en zonder verblijf;2016;696675.0;696675.0;5079;5079.0
2;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Totaal met en zonder verblijf;2017;698980.0;698980.0;5054;5054.0
3;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Totaal met en zonder verblijf;2018;740865.0;740865.0;5309;5309.0
4;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Totaal met en zonder verblijf;2019;716935.0;716935.0;5086;5086.0
5;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Totaal met en zonder verblijf;2020;709540.0;709540.0;4990;4990.0
6;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Totaal met en zonder verblijf;2021;750100.0;750100.0;5237;5237.0
7;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen zonder verblijf;2015;644010.0;644010.0;4733;4733.0
8;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen zonder verblijf;2016;644925.0;644925.0;4702;4702.0
9;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen zonder verblijf;2017;650065.0;650065.0;4700;4700.0
10;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen zonder verblijf;2018;688845.0;688845.0;4936;4936.0
11;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen zonder verblijf;2019;665860.0;665860.0;4723;4723.0
12;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen zonder verblijf;2020;663220.0;663220.0;4665;4665.0
13;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen zonder verblijf;2021;698370.0;698370.0;4876;4876.0
14;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen met verblijf;2015;53510.0;53510.0;393;393.0
15;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen met verblijf;2016;51750.0;51750.0;377;377.0
16;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen met verblijf;2017;48915.0;48915.0;353;353.0
17;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen met verblijf;2018;52025.0;52025.0;372;372.0
18;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen met verblijf;2019;51075.0;51075.0;362;362.0
19;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen met verblijf;2020;46320.0;46320.0;325;325.0
20;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal alle inkomens (personen);Personen met verblijf;2021;51730.0;51730.0;361;361.0
21;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Totaal met en zonder verblijf;2015;128625.0;128625.0;10200;10200.0
22;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Totaal met en zonder verblijf;2016;126405.0;126405.0;9921;9921.0
23;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Totaal met en zonder verblijf;2017;127410.0;127410.0;9868;9868.0
24;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Totaal met en zonder verblijf;2018;136565.0;136565.0;10459;10459.0
25;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Totaal met en zonder verblijf;2019;130205.0;130205.0;9845;9845.0
26;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Totaal met en zonder verblijf;2020;131300.0;131300.0;9822;9822.0
27;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Totaal met en zonder verblijf;2021;144235.0;144235.0;10614;10614.0
28;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Personen zonder verblijf;2015;115245.0;115245.0;9139;9139.0
29;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Personen zonder verblijf;2016;113225.0;113225.0;8887;8887.0
30;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Personen zonder verblijf;2017;114525.0;114525.0;8870;8870.0
31;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Personen zonder verblijf;2018;122940.0;122940.0;9416;9416.0
32;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Personen zonder verblijf;2019;116115.0;116115.0;8779;8779.0
33;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Personen zonder verblijf;2020;117965.0;117965.0;8825;8825.0
34;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Personen zonder verblijf;2021;129110.0;129110.0;9501;9501.0
35;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Personen met verblijf;2015;13380.0;13380.0;1061;1061.0
36;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Personen met verblijf;2016;13180.0;13180.0;1034;1034.0
37;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Personen met verblijf;2017;12890.0;12890.0;998;998.0
38;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Personen met verblijf;2018;13625.0;13625.0;1043;1043.0
39;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Personen met verblijf;2019;14090.0;14090.0;1065;1065.0
40;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Personen met verblijf;2020;13335.0;13335.0;997;997.0
