ID;Geboortegeneratie;GemiddeldKindertalPerVrouw_1;KinderlozeVrouwen_2;VrouwenMet1Kind_3;VrouwenMet2Kinderen_4;VrouwenMet3OfMeerKinderen_5;LeeftijdMoederBijGeboorte1eKind_6
0;1935;2.5;11.7;10.2;32.5;45.6;25.5
1;1936;2.43;11.9;10.0;34.6;43.5;25.4
2;1937;2.41;10.2;10.9;36.5;42.4;25.3
3;1938;2.32;12.1;10.1;37.8;40.0;25.2
4;1939;2.27;11.6;10.3;40.1;38.0;25.1
5;1940;2.21;11.9;10.1;42.4;35.6;25.0
6;1941;2.18;10.0;12.1;44.3;33.6;24.8
7;1942;2.12;11.1;12.7;44.8;31.4;24.7
8;1943;2.08;10.3;13.6;47.3;28.8;24.6
9;1944;2.05;10.5;13.6;48.8;27.1;24.5
10;1945;2.0;11.7;13.6;49.6;25.1;24.5
11;1946;1.95;11.7;14.7;50.6;23.0;24.6
12;1947;1.92;12.8;14.4;50.4;22.4;24.6
13;1948;1.92;12.8;15.1;49.7;22.4;24.7
14;1949;1.89;13.9;15.1;48.8;22.2;24.9
15;1950;1.9;14.6;15.1;47.2;23.1;25.1
16;1951;1.87;15.3;15.2;46.5;22.9;25.3
17;1952;1.88;15.9;15.3;45.4;23.5;25.5
18;1953;1.87;16.3;15.4;44.5;23.8;25.8
19;1954;1.88;16.5;15.4;43.6;24.6;26.0
20;1955;1.87;17.1;15.2;42.9;24.9;26.3
21;1956;1.87;16.9;15.2;42.5;25.4;26.7
22;1957;1.87;17.2;15.0;42.2;25.6;26.9
23;1958;1.87;17.6;14.8;41.9;25.6;27.2
24;1959;1.85;17.7;15.2;41.9;25.2;27.4
25;1960;1.86;17.2;15.6;41.7;25.4;27.5
26;1961;1.83;18.0;15.5;42.0;24.5;27.7
27;1962;1.83;17.7;15.8;42.3;24.2;27.9
28;1963;1.81;18.0;16.2;42.3;23.4;28.1
29;1964;1.79;18.3;16.6;42.2;23.0;28.2
30;1965;1.78;18.1;17.0;42.3;22.6;28.4
31;1966;1.78;18.1;17.2;42.4;22.3;28.6
32;1967;1.77;18.1;17.3;42.8;21.8;28.8
33;1968;1.77;17.7;18.2;42.6;21.6;28.9
34;1969;1.75;17.7;18.5;42.6;21.2;28.9
35;1970;1.76;17.7;18.5;42.5;21.3;29.0
36;1971;1.75;17.8;18.5;42.4;21.3;29.0
37;1972;1.76;17.6;18.8;42.0;21.7;29.0
38;1973;1.76;17.6;18.6;42.2;21.7;29.0
39;1974;1.76;17.8;18.4;41.9;22.0;29.0
40;1975;1.76;17.9;18.3;41.8;22.1;29.0
41;1976;1.76;17.9;18.1;41.9;22.1;29.1
42;1977;1.77;18.0;17.9;42.1;22.0;29.0
43;1978;1.77;18.1;17.5;42.3;22.0;28.9
44;1979;1.77;18.3;17.2;42.6;21.9;28.9
45;1980;1.77;18.4;16.8;42.9;21.9;28.9
46;1981;1.77;18.5;16.6;43.1;21.8;28.8
47;1982;1.77;18.7;16.5;43.2;21.7;28.8
48;1983;1.77;18.7;16.4;43.3;21.6;28.7
49;1984;1.76;18.9;16.3;43.4;21.5;28.8
50;1985;1.76;19.0;16.2;43.5;21.3;28.8
51;1986;1.76;19.1;16.0;43.6;21.2;28.9
52;1987;1.76;19.2;15.9;43.8;21.1;29.0
53;1988;1.76;19.3;15.8;43.9;21.0;29.0
54;1989;1.76;19.4;15.7;44.0;20.8;29.0
55;1990;1.76;19.5;15.6;44.1;20.7;29.0
56;1991;1.75;19.6;15.5;44.2;20.6;29.0
57;1992;1.75;19.7;15.4;44.4;20.5;29.0
58;1993;1.75;19.8;15.3;44.5;20.4;29.0
59;1994;1.75;19.9;15.3;44.6;20.3;29.0
60;1995;1.75;20.0;15.2;44.6;20.2;29.0
61;1996;1.75;20.0;15.1;44.7;20.1;29.0
62;1997;1.75;20.1;15.1;44.8;20.1;29.1
63;1998;1.75;20.1;15.1;44.8;20.0;29.1
64;1999;1.75;20.1;15.0;44.8;20.0;29.1
65;2000;1.75;20.1;15.0;44.9;20.0;29.1
66;2001;1.75;20.1;15.0;44.9;20.0;29.1
67;2002;1.75;20.1;15.0;44.9;20.0;29.1
68;2003;1.75;20.1;15.0;44.9;20.0;29.1
69;2004;1.75;20.1;15.0;44.9;20.0;29.1
70;2005;1.75;20.1;15.0;44.9;20.0;29.1
71;2006;1.75;20.1;15.0;44.9;20.0;29.1
72;2007;1.75;20.1;15.0;44.9;20.0;29.1
73;2008;1.75;20.1;15.0;44.9;20.0;29.1
74;2009;1.75;20.1;15.0;44.9;20.0;29.1
75;2010;1.75;20.1;15.0;44.9;20.0;29.1
76;2011;1.75;20.1;15.0;44.9;20.0;29.1
77;2012;1.75;20.1;15.0;44.9;20.0;29.1
78;2013;1.75;20.1;15.0;44.9;20.0;29.1
79;2014;1.75;20.1;15.0;44.9;20.0;29.1
80;2015;1.75;20.1;15.0;44.9;20.0;29.1
81;2016;1.75;20.1;15.0;44.9;20.0;29.1
82;2017;1.75;20.1;15.0;44.9;20.0;29.1
83;2018;1.75;20.1;15.0;44.9;20.0;29.1
84;2019;1.75;20.1;15.0;44.9;20.0;29.1
85;2020;1.75;20.1;15.0;44.9;20.0;29.1
