ID;BeleggingenVanLevensverzekeraars;Perioden;GemiddeldBelegdBedrag_1;NettoDirecteOpbrengsten_2;NettoDirectRendement_3
0;Alle beleggingen;2000;220448;12549;5.7
1;Alle beleggingen;2001;234413;12137;5.2
2;Alle beleggingen;2002;242885;11818;4.9
3;Alle beleggingen;2003;246391;12205;5.0
4;Alle beleggingen;2004;237640;11612;4.9
5;Alle beleggingen;2005;272157;13140;4.8
6;Alle beleggingen;2006;281601;12627;4.5
7;Alle beleggingen;2007;297614;11054;3.7
8;Alle beleggingen;2008;294440;7744;2.6
9;Alle beleggingen;2009;296884;10908;3.7
10;Alle beleggingen;2010;310458;10377;3.3
11;Alle beleggingen;2011;330171;8825;2.7
12;Alle beleggingen;2012;358116;8899;2.5
13;Alle beleggingen;2013;362673;8235;2.3
14;Alle beleggingen;2014;384600;8383;2.2
15;Alle beleggingen;2015;404766;9061;2.2
16;Onroerende zaken;2000;11553;723;6.3
17;Onroerende zaken;2001;15389;893;5.8
18;Onroerende zaken;2002;14384;927;6.4
19;Onroerende zaken;2003;13481;910;6.8
20;Onroerende zaken;2004;13274;795;6.0
21;Onroerende zaken;2005;13405;794;5.9
22;Onroerende zaken;2006;12068;775;6.4
23;Onroerende zaken;2007;11826;150;1.3
24;Onroerende zaken;2008;10363;142;1.4
25;Onroerende zaken;2009;10484;170;1.6
26;Onroerende zaken;2010;6358;173;2.7
27;Onroerende zaken;2011;2180;153;7.0
28;Onroerende zaken;2012;2085;117;5.6
29;Onroerende zaken;2013;1964;117;6.0
30;Onroerende zaken;2014;1828;115;6.3
31;Onroerende zaken;2015;2512;161;6.4
32;Niet-geconsolideerde deelnemingen;2000;6407;389;6.1
33;Niet-geconsolideerde deelnemingen;2001;8238;334;4.1
34;Niet-geconsolideerde deelnemingen;2002;9224;251;2.7
35;Niet-geconsolideerde deelnemingen;2003;6440;393;6.1
36;Niet-geconsolideerde deelnemingen;2004;8858;331;3.7
37;Niet-geconsolideerde deelnemingen;2005;10031;682;6.8
38;Niet-geconsolideerde deelnemingen;2006;8996;855;9.5
39;Niet-geconsolideerde deelnemingen;2007;6433;1489;23.1
40;Niet-geconsolideerde deelnemingen;2008;5806;-178;-3.1
41;Niet-geconsolideerde deelnemingen;2009;5102;422;8.3
42;Niet-geconsolideerde deelnemingen;2010;11099;495;4.5
43;Niet-geconsolideerde deelnemingen;2011;18564;418;2.3
44;Niet-geconsolideerde deelnemingen;2012;21264;674;3.2
45;Niet-geconsolideerde deelnemingen;2013;24569;216;0.9
46;Niet-geconsolideerde deelnemingen;2014;26254;856;3.3
47;Niet-geconsolideerde deelnemingen;2015;25589;1252;4.9
48;Aandelen;2000;40020;1805;4.5
49;Aandelen;2001;36081;1844;5.1
50;Aandelen;2002;28913;985;3.4
51;Aandelen;2003;21689;1244;5.7
52;Aandelen;2004;21433;942;4.4
53;Aandelen;2005;20365;985;4.8
54;Aandelen;2006;31322;1697;5.4
55;Aandelen;2007;32788;1174;3.6
56;Aandelen;2008;29183;1176;4.0
57;Aandelen;2009;22971;816;3.6
58;Aandelen;2010;19110;964;5.0
59;Aandelen;2011;16142;818;5.1
60;Aandelen;2012;13015;791;6.1
61;Aandelen;2013;13054;838;6.4
62;Aandelen;2014;13568;651;4.8
63;Aandelen;2015;14855;1072;7.2
64;Obligaties;2000;41579;2843;6.8
65;Obligaties;2001;45120;2887;6.4
66;Obligaties;2002;53020;3496;6.6
67;Obligaties;2003;55534;3251;5.9
68;Obligaties;2004;67865;3657;5.4
69;Obligaties;2005;86171;3911;4.5
70;Obligaties;2006;89377;3653;4.1
71;Obligaties;2007;94703;4327;4.6
72;Obligaties;2008;101214;4583;4.5
73;Obligaties;2009;106612;4647;4.4
74;Obligaties;2010;111218;4477;4.0
75;Obligaties;2011;114034;4416;3.9
76;Obligaties;2012;122964;4004;3.3
77;Obligaties;2013;126655;3903;3.1
