ID;Geslacht;Functies;Perioden;Personeel_1
0;Mannen en vrouwen;Totaal personeel;2012;11121
1;Mannen en vrouwen;Totaal personeel;2013;10778
2;Mannen en vrouwen;Totaal personeel;2014;10203
3;Mannen en vrouwen;Totaal personeel;2015;9352
4;Mannen en vrouwen;Totaal personeel;2016;8421
5;Mannen en vrouwen;Totaal lijnmanagement;2012;962
6;Mannen en vrouwen;Totaal lijnmanagement;2013;910
7;Mannen en vrouwen;Totaal lijnmanagement;2014;863
8;Mannen en vrouwen;Totaal lijnmanagement;2015;795
9;Mannen en vrouwen;Totaal lijnmanagement;2016;700
10;Mannen en vrouwen;Middenmanager;2012;143
11;Mannen en vrouwen;Middenmanager;2013;134
12;Mannen en vrouwen;Middenmanager;2014;131
13;Mannen en vrouwen;Middenmanager;2015;118
14;Mannen en vrouwen;Middenmanager;2016;105
15;Mannen en vrouwen;Operationeel manager;2012;819
16;Mannen en vrouwen;Operationeel manager;2013;776
17;Mannen en vrouwen;Operationeel manager;2014;732
18;Mannen en vrouwen;Operationeel manager;2015;677
19;Mannen en vrouwen;Operationeel manager;2016;595
20;Mannen en vrouwen;Totaal uitvoering;2012;9075
21;Mannen en vrouwen;Totaal uitvoering;2013;8789
22;Mannen en vrouwen;Totaal uitvoering;2014;8364
23;Mannen en vrouwen;Totaal uitvoering;2015;7678
24;Mannen en vrouwen;Totaal uitvoering;2016;7055
25;Mannen en vrouwen;(Inrichtings)beveiliger;2012;2699
26;Mannen en vrouwen;(Inrichtings)beveiliger;2013;2651
27;Mannen en vrouwen;(Inrichtings)beveiliger;2014;2470
28;Mannen en vrouwen;(Inrichtings)beveiliger;2015;2279
29;Mannen en vrouwen;(Inrichtings)beveiliger;2016;2076
30;Mannen en vrouwen;Forensisch therapeutisch werker;2012;780
31;Mannen en vrouwen;Forensisch therapeutisch werker;2013;779
32;Mannen en vrouwen;Forensisch therapeutisch werker;2014;750
33;Mannen en vrouwen;Forensisch therapeutisch werker;2015;725
34;Mannen en vrouwen;Forensisch therapeutisch werker;2016;688
35;Mannen en vrouwen;Inrichtingswerker;2012;3755
36;Mannen en vrouwen;Inrichtingswerker;2013;3630
37;Mannen en vrouwen;Inrichtingswerker;2014;3396
38;Mannen en vrouwen;Inrichtingswerker;2015;3028
39;Mannen en vrouwen;Inrichtingswerker;2016;2789
40;Mannen en vrouwen;Medewerker behandelen en ontwikkelen;2012;18
41;Mannen en vrouwen;Medewerker behandelen en ontwikkelen;2013;19
42;Mannen en vrouwen;Medewerker behandelen en ontwikkelen;2014;26
43;Mannen en vrouwen;Medewerker behandelen en ontwikkelen;2015;28
44;Mannen en vrouwen;Medewerker behandelen en ontwikkelen;2016;26
45;Mannen en vrouwen;Medewerker educatie en vorming;2012;333
46;Mannen en vrouwen;Medewerker educatie en vorming;2013;325
47;Mannen en vrouwen;Medewerker educatie en vorming;2014;306
48;Mannen en vrouwen;Medewerker educatie en vorming;2015;259
49;Mannen en vrouwen;Medewerker educatie en vorming;2016;224
