ID;TypeZelfstandige;Geslacht;BedrijfstakkenBranchesSBI2008;Kenmerken;Perioden;Zelfstandigen_1;GemiddeldPersoonlijkInkomen_2;MediaanPersoonlijkInkomen_3;GemiddeldInkomenAlsZelfstandige_4;MediaanInkomenAlsZelfstandige_5;GemiddeldGestandaardiseerdInkomen_6;MediaanGestandaardiseerdInkomen_7;ZelfstandigenMetBedrijfsvermogen_8;MediaanVermogen_9;MediaanBedrijfsvermogen_10;Zelfstandigen_11;GemiddeldPersoonlijkInkomen_12;MediaanPersoonlijkInkomen_13;GemiddeldInkomenAlsZelfstandige_14;MediaanInkomenAlsZelfstandige_15;GemiddeldGestandaardiseerdInkomen_16;MediaanGestandaardiseerdInkomen_17;ZelfstandigenMetBedrijfsvermogen_18;MediaanVermogen_19;MediaanBedrijfsvermogen_20
0;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2007;1005.5;38.0;28.4;36.8;26.9;32.8;26.5;839.7;226.4;33.2;1523.0;37.6;28.8;25.5;12.1;31.4;25.8;1055.9;199.7;26.6
1;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2008;1054.8;38.7;28.9;37.8;27.6;31.4;26.9;885.0;211.1;32.8;1604.8;38.3;29.4;26.2;12.2;30.5;26.3;1116.3;184.8;25.9
2;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2009;1076.8;36.6;26.6;35.7;25.5;29.8;25.9;933.9;182.0;29.1;1654.3;36.9;28.1;24.5;11.1;29.4;25.8;1185.0;160.0;23.0
3;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2010;1056.4;38.3;28.2;37.2;26.9;30.7;26.3;;;;1645.5;38.2;29.3;25.2;12.3;30.0;26.0;;;
4;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2011;1093.1;38.8;29.4;38.3;28.2;34.9;29.6;949.2;167.5;27.9;1679.1;38.9;30.3;26.2;13.2;33.9;29.1;1205.2;148.4;22.6
5;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2012;1106.2;38.1;28.2;37.5;27.1;34.7;29.3;966.6;145.4;27.7;1695.5;38.6;29.7;25.8;12.9;33.8;28.9;1230.3;127.7;22.4
6;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2013;1120.2;37.9;27.8;37.0;26.5;33.9;29.0;977.2;116.5;27.3;1710.5;38.6;29.3;25.6;12.9;33.4;28.9;1245.4;99.7;22.3
7;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2014;1149.7;39.1;28.9;38.1;27.5;38.5;30.4;1000.7;112.3;26.4;1733.1;39.8;30.1;26.8;14.0;37.3;30.1;1273.6;97.9;21.7
8;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2015;1180.0;39.8;29.9;38.8;28.4;35.7;30.9;1017.2;118.2;27.3;1763.6;40.3;30.7;27.5;14.7;35.1;30.6;1295.1;104.5;22.5
9;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2016;1208.4;41.5;31.6;40.5;30.0;38.3;32.8;1054.1;127.5;29.0;1791.0;41.6;32.0;28.8;15.8;37.4;32.4;1340.2;113.6;23.9
10;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2017;1223.5;43.6;33.2;42.1;31.6;40.2;34.2;1072.6;144.3;30.9;1841.8;45.3;33.5;30.0;16.6;39.9;33.6;1377.4;130.8;26.1
11;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2018;1261.8;44.9;35.0;43.8;33.4;41.6;35.0;1110.1;170.4;33.6;1896.2;44.2;34.6;30.7;17.4;40.0;34.2;1412.6;151.7;27.7
12;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2019;1294.4;46.5;36.5;45.2;34.8;47.5;36.7;1143.6;194.0;35.8;1957.7;45.3;35.6;31.6;18.0;44.9;35.8;1453.3;174.2;29.9
13;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2020;1291.9;47.4;37.3;45.5;34.9;46.0;38.1;1150.4;221.7;38.9;1976.7;45.8;35.8;31.4;16.8;43.7;37.0;1488.8;194.7;31.9
14;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2021;1330.8;50.3;40.1;48.5;38.0;47.8;40.1;1181.2;257.4;41.6;2089.9;48.3;38.2;32.7;17.7;45.6;39.0;1529.0;229.1;34.4
15;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2022;1395.9;52.4;42.9;50.8;40.8;50.5;42.1;1227.0;328.9;45.5;2167.5;50.2;40.7;34.6;20.4;48.1;41.1;1579.8;301.0;38.1
16;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2023;1433.1;54.2;45.0;52.7;43.3;53.5;44.2;1268.9;336.3;48.0;2247.5;52.4;43.2;35.7;20.6;51.3;43.5;1631.5;306.7;40.4
17;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2007;17.1;22.6;19.6;20.6;17.0;28.0;25.8;13.9;57.2;14.1;46.3;16.4;12.4;8.7;2.3;24.3;22.3;23.0;36.0;10.8
18;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2008;18.9;22.9;19.6;20.9;17.2;27.9;26.2;15.4;46.0;13.0;51.0;16.7;12.6;8.9;2.4;24.2;22.7;25.4;28.6;10.0
19;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2009;20.0;20.8;17.8;19.2;15.5;26.1;24.9;16.8;33.1;10.6;54.1;15.8;12.0;8.1;2.3;23.5;22.2;28.1;22.5;8.2
20;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2010;19.9;22.2;18.5;20.1;15.8;27.3;25.2;;;;54.6;16.1;12.1;8.5;2.5;24.0;22.4;;;
21;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2011;28.2;23.1;19.5;21.3;17.3;30.1;28.0;20.3;30.2;10.9;69.3;17.5;13.2;9.8;3.0;26.6;25.0;32.6;21.9;9.8
22;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2012;28.9;22.0;18.2;20.2;16.0;29.8;27.4;20.9;26.8;11.1;72.0;16.7;12.4;9.2;2.7;26.5;24.8;33.8;19.1;9.9
23;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2013;30.6;21.3;17.5;19.4;15.0;29.7;27.3;21.5;19.9;10.8;77.9;16.2;12.0;8.8;2.8;26.6;24.9;35.3;13.0;9.9
24;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2014;32.7;21.8;17.9;19.9;15.3;31.7;28.5;22.7;21.6;10.7;78.0;17.0;12.8;9.6;3.3;28.4;25.8;36.5;14.5;9.7
25;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2015;34.2;23.1;18.6;21.0;16.0;32.3;29.6;23.5;27.1;11.3;81.6;17.7;13.2;10.1;3.3;28.4;26.5;38.5;18.3;9.9
26;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2016;35.3;24.1;19.4;22.0;17.0;33.8;31.2;24.8;31.4;12.0;83.9;18.1;13.6;10.5;3.5;29.8;28.0;41.1;22.0;10.7
27;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2017;35.2;25.6;20.7;23.4;18.3;36.4;32.7;25.3;39.7;13.1;89.5;18.3;13.4;10.5;3.1;31.7;29.2;43.4;28.6;12.1
28;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2018;36.8;27.4;22.3;25.0;20.0;37.2;33.7;26.6;47.8;14.2;98.5;18.7;13.4;10.7;2.8;32.0;29.9;46.9;36.3;13.3
29;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2019;39.9;28.7;23.7;26.3;21.1;40.1;35.4;29.1;53.9;14.1;119.2;18.0;12.0;10.1;2.1;34.3;31.2;53.4;47.4;15.2
30;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2020;41.7;30.4;25.0;27.0;21.2;42.2;37.8;30.8;68.7;15.4;133.3;18.1;12.3;9.6;1.7;35.1;32.8;60.0;61.2;16.5
