ID;InstitutionalInvestors;Periods;Purchases_1;Sales_2;OtherChanges_3;EndOfTheYear_4
0;Total institutional investors;1999;5.7;4.9;4.4;52.8
1;Total institutional investors;2000;14.0;6.6;5.5;65.6
2;Total institutional investors;2001;7.1;5.2;4.5;72.0
3;Total institutional investors;2002;5.5;15.6;-0.2;61.7
4;Total institutional investors;2003 1st quarter;1.3;1.9;-0.2;60.9
5;Total institutional investors;2003 2nd quarter;0.9;1.5;0.0;60.4
6;Total institutional investors;2003 3rd quarter;0.8;0.4;0.1;61.0
7;Total institutional investors;2003 4th quarter;2.2;3.0;-0.2;60.0
8;Total institutional investors;2003;5.2;6.7;-0.2;60.0
9;Total institutional investors;2004 1st quarter;0.5;1.0;-0.1;59.4
10;Total institutional investors;2004 2nd quarter;1.2;1.7;0.8;59.8
11;Total institutional investors;2004 3rd quarter;0.6;1.1;0.3;59.5
12;Total institutional investors;2004 4th quarter;1.3;2.1;0.5;59.2
13;Total institutional investors;2004;3.6;5.8;1.5;59.2
14;Total institutional investors;2005 1st quarter;0.9;1.4;-1.5;57.3
15;Total institutional investors;2005 2nd quarter;1.6;1.7;0.5;57.8
16;Total institutional investors;2005 3rd quarter;1.3;2.3;1.7;58.4
17;Total institutional investors;2005 4th quarter;1.6;2.1;2.7;60.6
18;Total institutional investors;2005;5.4;7.5;3.4;60.6
19;Total institutional investors;2006 1st quarter;2.2;1.5;-2.7;58.7
20;Total institutional investors;2006 2nd quarter;1.5;1.1;0.8;59.9
21;Total institutional investors;2006 3rd quarter;1.4;1.3;0.4;60.4
22;Total institutional investors;2006 4th quarter;2.2;1.7;0.4;61.3
23;Total institutional investors;2006;7.3;5.6;-1.0;61.3
24;Total institutional investors;2007 1st quarter;1.4;0.9;0.9;62.5
25;Total institutional investors;2007 2nd quarter;1.6;2.1;-10.6;51.5
26;Total institutional investors;2007 3rd quarter;1.5;0.8;0.0;52.2
27;Total institutional investors;2007 4th quarter;2.3;3.0;-0.6;50.9
28;Total institutional investors;2007;6.8;6.8;-10.4;50.9
29;Total institutional investors;2008 1st quarter;1.2;0.6;-0.1;51.4
30;Total institutional investors;2008 2nd quarter;0.4;0.6;-0.4;50.9
31;Total institutional investors;2008 3rd quarter;0.4;0.8;-0.3;50.2
32;Total institutional investors;2008 4th quarter;0.8;0.9;-1.6;48.5
33;Total institutional investors;2008;2.8;2.9;-2.3;48.5
34;Total institutional investors;2009 1st quarter;0.5;0.1;-0.1;48.8
35;Total institutional investors;2009 2nd quarter;0.4;0.3;-1.0;47.8
36;Total institutional investors;2009 3rd quarter;0.3;0.3;-1.3;46.6
37;Total institutional investors;2009 4th quarter;0.9;0.8;-0.9;45.9
38;Total institutional investors;2009;2.2;1.5;-3.3;45.9
39;Total institutional investors;2010 1st quarter;4.4;4.9;-0.3;45.1
40;Total institutional investors;2010 2nd quarter;0.1;0.5;0.2;45.0
41;Total institutional investors;2010 3nd quarter;0.5;0.6;0.0;44.8
42;Total institutional investors;2010 4th quarter;2.4;1.0;0.1;46.3
43;Total institutional investors;2010;7.4;6.9;0.0;46.3
44;Total institutional investors;2011 1st quarter;0.9;0.7;0.5;46.9
45;Total institutional investors;2011 2nd quarter;0.4;0.4;-0.4;46.4
46;Total institutional investors;2011 3nd quarter;0.5;0.6;0.6;47.0
47;Total institutional investors;2011 4th quarter;1.2;0.9;-1.4;45.8
48;Total institutional investors;2011;3.0;2.6;-0.7;45.8
