ID;Onderwijsdeelname;KenmerkenArbeid;Uitkering;IngeschrevenUWVWerkbedrijf;Regio;Perioden;Jongeren15Tot27Jaar_1
0;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2005;2351600.0
1;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2006;2363600.0
2;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2007;2374000.0
3;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2008;2392100.0
4;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2009;2418600.0
5;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2010;2442700.0
6;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2011;2458600.0
7;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2012;2468600.0
8;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2013;2475500.0
9;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2014;2488600.0
10;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2015;2512000.0
11;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2005;249200.0
12;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2006;249400.0
13;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2007;249400.0
14;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2008;250000.0
15;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2009;252300.0
16;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2010;254500.0
17;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2011;256200.0
18;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2012;256500.0
19;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2013;256700.0
20;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2014;258000.0
21;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2015;259100.0
22;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2005;507300.0
23;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2006;508600.0
24;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2007;509200.0
25;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2008;512400.0
26;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2009;517200.0
27;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2010;521200.0
28;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2011;523400.0
29;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2012;525400.0
30;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2013;525800.0
31;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2014;527600.0
