ID;Geslacht;LeeftijdOp31December;Onderwijsniveau;Marges;Perioden;Levensverwachting_1;Sterftekans_2;LevensverwInAlsGoedErvarenGezondh_3;LevensverwZonderLichBeperkingen_4;LevensverwZonderChronischeZiektes_5;LevensverwInGoedeGeestelijkeGezondh_6
0;Totaal mannen en vrouwen;0 jaar;Laag onderwijsniveau;Waarde;2011/2014;79.6;0.0056;57.9;65.7;41.5;70.0
1;Totaal mannen en vrouwen;0 jaar;Laag onderwijsniveau;Waarde;2013/2016;79.3;0.0074;57.2;64.8;39.3;68.9
2;Totaal mannen en vrouwen;0 jaar;Laag onderwijsniveau;Waarde;2015/2018;78.9;0.0062;56.9;65.2;38.3;68.3
3;Totaal mannen en vrouwen;0 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2011/2014;79.3;;57.2;;40.6;
4;Totaal mannen en vrouwen;0 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2013/2016;79.0;;56.5;;38.4;
5;Totaal mannen en vrouwen;0 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2015/2018;78.6;;56.1;;37.4;
6;Totaal mannen en vrouwen;0 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2011/2014;79.9;;58.5;;42.4;
7;Totaal mannen en vrouwen;0 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2013/2016;79.7;;58.0;;40.2;
8;Totaal mannen en vrouwen;0 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2015/2018;79.3;;57.7;;39.2;
9;Totaal mannen en vrouwen;0 jaar;Middelbaar onderwijsniveau;Waarde;2011/2014;81.7;0.003;65.4;72.1;43.6;73.9
10;Totaal mannen en vrouwen;0 jaar;Middelbaar onderwijsniveau;Waarde;2013/2016;81.8;0.0029;65.4;72.3;43.4;73.7
11;Totaal mannen en vrouwen;0 jaar;Middelbaar onderwijsniveau;Waarde;2015/2018;82.1;0.0043;64.7;73.0;42.7;73.6
12;Totaal mannen en vrouwen;0 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2011/2014;81.5;;64.9;;42.9;
13;Totaal mannen en vrouwen;0 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2013/2016;81.6;;64.8;;42.8;
14;Totaal mannen en vrouwen;0 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2015/2018;81.8;;64.1;;42.1;
