ID;LandVanUiteindelijkeZeggenschapUCI;KenmerkenBedrijf;HoogstBehaaldOnderwijsniveau;KenmerkenBaanEnWerknemer;Perioden;BanenVanWerknemers_1
0;Totaal binnen- en buitenland;Totaal baan;Totaal;Totaal;2008;7950.0
1;Totaal binnen- en buitenland;Totaal baan;Totaal;Totaal;2009;7838.0
2;Totaal binnen- en buitenland;Totaal baan;Totaal;Totaal;2010;7861.0
3;Totaal binnen- en buitenland;Totaal baan;Totaal;Totaal;2011;7999.0
4;Totaal binnen- en buitenland;Totaal baan;Totaal;Totaal;2012;7927.0
5;Totaal binnen- en buitenland;Totaal baan;Totaal;Totaal;2013;7782.0
6;Totaal binnen- en buitenland;Totaal baan;Totaal;Totaal;2014;7774.0
7;Totaal binnen- en buitenland;Totaal baan;Totaal;Totaal;2015;7862.0
8;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: bepaalde tijd;2008;2208.0
9;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: bepaalde tijd;2009;2213.0
10;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: bepaalde tijd;2010;2240.0
11;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: bepaalde tijd;2011;2329.0
12;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: bepaalde tijd;2012;2360.0
13;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: bepaalde tijd;2013;2367.0
14;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: bepaalde tijd;2014;2460.0
15;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: bepaalde tijd;2015;2631.0
16;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: onbepaalde tijd;2008;5536.0
17;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: onbepaalde tijd;2009;5407.0
18;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: onbepaalde tijd;2010;5409.0
19;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: onbepaalde tijd;2011;5447.0
20;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: onbepaalde tijd;2012;5344.0
21;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: onbepaalde tijd;2013;5195.0
22;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: onbepaalde tijd;2014;5093.0
23;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: onbepaalde tijd;2015;4999.0
24;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: niet van toepassing;2008;206.0
25;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: niet van toepassing;2009;198.0
26;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: niet van toepassing;2010;197.0
27;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: niet van toepassing;2011;224.0
28;Totaal binnen- en buitenland;Totaal baan;Totaal;Contractsoort: niet van toepassing;2012;223.0
