ID;Overheidslaag;StandMutatie;Perioden;EMUSaldo_1;VorderingenTotaal_2;TotaalLanglopendeVorderingen_3;EffectenEnDeelnemingen_4;DeelnemInEigenBedrijfsmDiensten_5;OverigeLanglopendeVorderingen_6;TotaalKortlopendeVorderingen_7;RCOpEigenBedrijfsmatigDienst_8;RCOpDerdenNietFinancieleInstell_9;KasEnDaggeldleningTermijndepositoS_10;LiquideMiddelen_11;OverigeKortlopendeVorderingen_12;SchuldenTotaal_13;TotaalLanglopendeSchulden_14;ObligatiesEnMediumTermNotes_15;BelegdeResDoorEigBedrijfsmDienst_16;BelegdeReservesDoorDerden_17;Waarborgsommen_18;OverigeLanglopendeSchulden_19;KortlopendeSchuldenTotaal_20;RCBijEigenBedrijfsmatigeDiensten_21;RCBijDerdenNietFinancieleInstell_22;KasEnDaggeldleningTermijndepositoS_23;OverigeKortlopendeSchulden_24
0;Overheid totaal;Stand;2001 beginstand;;44.4;28.4;4.2;3.5;20.7;16.0;0.1;0.3;4.3;2.5;12.7;50.5;36.2;3.6;0.7;0.2;0.2;31.6;14.3;0.1;0.1;2.6;11.4
1;Overheid totaal;Stand;2001 1e kwartaal;;45.5;27.9;4.2;3.4;20.3;17.6;0.2;0.3;3.1;2.4;14.3;49.8;35.7;3.7;0.7;0.2;0.1;31.0;14.1;0.1;0.1;1.9;12.1
2;Overheid totaal;Stand;2001 2e kwartaal;;45.6;27.9;4.3;3.4;20.2;17.7;0.4;0.2;3.3;2.7;14.3;50.0;35.9;3.8;0.7;0.2;0.1;31.0;14.1;0.0;0.1;2.2;11.7
3;Overheid totaal;Stand;2001 3e kwartaal;;44.9;27.8;4.4;3.6;19.8;17.0;0.4;0.2;3.5;2.8;13.4;49.9;35.6;3.9;0.7;0.3;0.3;30.5;14.3;0.1;0.2;2.5;11.5
4;Overheid totaal;Stand;2001 4e kwartaal;;43.8;27.4;4.5;3.7;19.2;16.5;0.2;0.2;3.5;2.8;12.9;50.5;35.5;3.9;0.6;0.2;0.1;30.6;15.0;0.3;0.2;2.4;12.1
5;Overheid totaal;Stand;2001 eindstand;;43.8;27.4;4.5;3.7;19.2;16.5;0.2;0.2;3.5;2.8;12.9;50.5;35.5;3.9;0.6;0.2;0.1;30.6;15.0;0.3;0.2;2.4;12.1
6;Overheid totaal;Stand;2002 beginstand;;44.0;27.7;4.7;3.7;19.3;16.3;0.1;0.2;3.5;2.8;9.6;50.5;35.7;3.4;0.6;0.2;0.1;31.3;14.8;0.3;0.2;2.6;11.8
7;Overheid totaal;Stand;2002 1e kwartaal;;47.7;27.2;4.6;3.6;19.0;20.5;0.3;0.1;3.2;2.7;14.1;52.2;35.9;3.3;0.9;0.2;0.1;31.4;16.3;0.3;0.0;3.1;12.9
8;Overheid totaal;Stand;2002 2e kwartaal;;47.8;27.5;4.6;4.0;18.9;20.4;0.4;0.1;3.3;2.9;13.8;52.0;35.6;3.1;0.9;0.2;0.1;31.3;16.4;0.3;0.2;3.0;12.9
9;Overheid totaal;Stand;2002 3e kwartaal;;45.1;27.0;4.5;3.9;18.6;18.2;0.3;0.1;3.2;2.6;12.0;50.7;35.2;2.9;0.9;0.2;0.1;31.1;15.5;0.4;0.1;3.0;12.0
10;Overheid totaal;Stand;2002 4e kwartaal;;42.8;26.1;4.3;3.7;18.1;16.7;0.2;0.2;2.9;2.5;10.9;51.5;35.3;3.1;0.9;0.3;0.1;30.9;16.2;0.2;0.2;3.4;12.5
11;Overheid totaal;Stand;2002 eindstand;;42.8;26.1;4.3;3.7;18.1;16.7;0.2;0.2;2.9;2.5;10.9;51.5;35.3;3.1;0.9;0.3;0.1;30.9;16.2;0.2;0.2;3.4;12.5
12;Overheid totaal;Stand;2003 beginstand*;;43.2;26.4;4.6;3.6;18.2;16.8;0.1;0.4;1.6;4.3;10.4;50.9;35.2;1.7;0.9;0.3;0.1;32.2;15.8;0.2;0.2;3.6;11.9
13;Overheid totaal;Stand;2003 1e kwartaal*;;46.7;25.3;4.4;3.5;17.4;21.4;0.2;0.4;1.8;4.3;14.7;52.0;35.8;1.7;0.9;0.2;0.1;32.8;16.4;0.1;0.2;3.6;12.5
14;Overheid totaal;Stand;2003 2e kwartaal*;;47.1;25.3;3.9;3.9;17.5;21.8;0.3;0.4;1.6;4.6;15.0;52.8;35.8;1.4;1.0;0.3;0.1;32.9;17.1;0.1;0.3;3.6;13.1
15;Overheid totaal;Stand;2003 3e kwartaal*;;44.9;24.5;3.5;3.9;17.1;20.4;0.6;0.3;1.5;4.9;13.2;51.9;35.0;1.2;1.1;0.2;0.1;32.4;17.0;0.2;0.4;3.8;12.7
16;Overheid totaal;Stand;2003 4e kwartaal*;;42.0;23.8;3.7;3.6;16.5;18.1;0.1;0.3;1.4;5.2;11.1;50.9;35.5;1.7;0.9;0.3;0.1;32.5;15.6;0.1;0.4;3.3;11.8
17;Overheid totaal;Stand;2003 eindstand*;;42.0;23.8;3.7;3.6;16.5;18.1;0.1;0.3;1.4;5.2;11.1;50.9;35.5;1.7;0.9;0.3;0.1;32.5;15.6;0.1;0.4;3.3;11.8
18;Overheid totaal;Stand;2004 beginstand*;;44.3;25.6;4.3;1.9;19.3;18.8;0.0;0.0;1.8;3.8;13.1;52.6;35.8;3.2;0.8;0.1;0.1;31.6;16.8;0.1;0.3;3.5;12.9
