ID;Geslacht;Geboorteland;PlaatsInHetGezin;Perioden;Immigratie_1;EmigratieInclusiefAdministratieveC_2;EmigratieExclusiefAdministratieveC_3;MigratiesaldoInclusiefAdministratie_4;MigratiesaldoExclusiefAdministratie_5;AdministratieveOpnemingen_6;AdministratieveAfvoeringen_7;SaldoAdministratieveCorrecties_8
0;Mannen en vrouwen;Totaal geboorteland;Totaal personen;1995;96099;82195;63321;13904;32778;12173;31047;-18874
1;Mannen en vrouwen;Totaal geboorteland;Totaal personen;1996;108749;91945;65325;16804;43424;14181;40801;-26620
2;Mannen en vrouwen;Totaal geboorteland;Totaal personen;1997;109860;81973;62218;27887;47642;14866;34621;-19755
3;Mannen en vrouwen;Totaal geboorteland;Totaal personen;1998;122407;79289;60441;43118;61966;16379;35227;-18848
4;Mannen en vrouwen;Totaal geboorteland;Totaal personen;1999;119151;78779;59023;40372;60128;17235;36991;-19756
5;Mannen en vrouwen;Totaal geboorteland;Totaal personen;2000;132850;78977;61201;53873;71649;18710;36486;-17776
6;Mannen en vrouwen;Totaal geboorteland;Totaal personen;2001;133404;82566;63318;50838;70086;19161;38409;-19248
7;Mannen en vrouwen;Totaal geboorteland;Totaal personen;2002;121250;96918;66728;24332;54522;21743;51933;-30190
8;Mannen en vrouwen;Totaal geboorteland;Totaal personen;2003;104514;104831;68885;-317;35629;24872;60818;-35946
9;Mannen en vrouwen;Totaal geboorteland;Totaal personen;2004;94019;110235;75049;-16216;18970;27960;63146;-35186
10;Mannen en vrouwen;Totaal geboorteland;Totaal personen;2005;92297;119725;83399;-27428;8898;30491;66817;-36326
11;Mannen en vrouwen;Totaal geboorteland;Totaal personen;2006;101150;132470;91028;-31320;10122;34251;75693;-41442
12;Mannen en vrouwen;Totaal geboorteland;Totaal personen;2007;116819;122576;91287;-5757;25532;38733;70022;-31289
13;Mannen en vrouwen;Totaal geboorteland;Totaal personen;2008;143516;117779;90067;25737;53449;42250;69962;-27712
14;Mannen en vrouwen;Totaal geboorteland;Totaal personen;2009;146378;111897;85357;34481;61021;41653;68193;-26540
15;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;1995;26789;33912;28589;-7123;-1800;1115;6438;-5323
16;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;1996;27319;35965;30008;-8646;-2689;1322;7279;-5957
17;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;1997;27076;32435;27546;-5359;-470;1241;6130;-4889
