ID;Geslacht;Inkomensbestanddelen;KenmerkenVanPersonen;Perioden;PersonenMetInkomen_1;PersonenMetInkomenRelatief_2;TotaalInkomen_3;GemiddeldInkomen_4;MediaanInkomen_5;AandeelVanBrutoInkomen_6
0;Totaal mannen en vrouwen;1 Inkomen als werknemer;Totaal personen;2011;8035.6;62.7;290670.0;36.2;30.7;67.9
1;Totaal mannen en vrouwen;1 Inkomen als werknemer;Totaal personen;2012;7999.4;62.1;295084.0;36.9;31.0;67.7
2;Totaal mannen en vrouwen;1 Inkomen als werknemer;Totaal personen;2013;7903.4;61.0;296314.0;37.5;31.4;67.0
3;Totaal mannen en vrouwen;1 Inkomen als werknemer;Totaal personen;2014;7875.4;60.6;300571.0;38.2;31.9;66.5
4;Totaal mannen en vrouwen;1 Inkomen als werknemer;Totaal personen;2015;7917.6;60.4;300893.0;38.0;32.0;66.2
5;Totaal mannen en vrouwen;1 Inkomen als werknemer;Totaal personen;2016;7997.4;60.5;308302.0;38.6;32.5;66.0
6;Totaal mannen en vrouwen;1 Inkomen als werknemer;Totaal personen;2017;8150.0;60.8;319506.0;39.2;33.2;65.2
7;Totaal mannen en vrouwen;1 Inkomen als werknemer;Totaal personen;2018;8319.4;61.4;333698.0;40.1;34.1;66.5
8;Totaal mannen en vrouwen;1 Inkomen als werknemer;Totaal personen;2019;8457.3;61.7;352092.0;41.6;35.5;66.9
9;Totaal mannen en vrouwen;1 Inkomen als werknemer;Totaal personen;2020;8437.4;61.1;366104.0;43.4;37.4;66.9
10;Totaal mannen en vrouwen;1 Inkomen als werknemer;Totaal personen;2021;8557.5;61.3;381300.0;44.6;38.1;66.7
11;Totaal mannen en vrouwen;1 Inkomen als werknemer;Totaal personen;2022;8745.0;61.7;412409.0;47.2;40.6;67.3
12;Totaal mannen en vrouwen;1 Inkomen als werknemer;Totaal personen;2023;8858.0;61.7;444486.0;50.2;43.3;67.3
13;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 0 tot 15 jaar;2011;81.7;82.9;45.0;0.6;0.4;54.0
14;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 0 tot 15 jaar;2012;76.5;82.0;45.0;0.6;0.4;53.4
15;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 0 tot 15 jaar;2013;71.9;81.3;43.0;0.6;0.4;52.4
16;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 0 tot 15 jaar;2014;71.5;82.0;42.0;0.6;0.4;52.6
17;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 0 tot 15 jaar;2015;78.3;83.6;48.0;0.6;0.4;55.9
18;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 0 tot 15 jaar;2016;83.3;85.1;52.0;0.6;0.4;58.2
19;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 0 tot 15 jaar;2017;94.0;87.2;61.0;0.6;0.4;62.4
20;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 0 tot 15 jaar;2018;108.6;89.3;75.0;0.7;0.5;68.4
21;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 0 tot 15 jaar;2019;115.6;90.3;85.0;0.7;0.5;70.6
22;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 0 tot 15 jaar;2020;99.0;88.7;81.0;0.8;0.5;73.7
23;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 0 tot 15 jaar;2021;122.3;90.9;97.0;0.8;0.5;73.0
24;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 0 tot 15 jaar;2022;154.2;92.5;139.0;0.9;0.6;78.8
25;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 0 tot 15 jaar;2023;167.3;93.4;169.0;1.0;0.7;81.5
26;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 15 tot 25 jaar;2011;1649.5;90.0;18237.0;11.1;5.2;83.4
27;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 15 tot 25 jaar;2012;1625.0;89.1;17691.0;10.9;5.2;82.8
28;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 15 tot 25 jaar;2013;1589.1;87.6;16926.0;10.7;5.1;81.1
29;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 15 tot 25 jaar;2014;1586.7;87.3;16717.0;10.5;5.0;80.5
30;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 15 tot 25 jaar;2015;1611.9;88.1;17036.0;10.6;5.1;80.9
31;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 15 tot 25 jaar;2016;1642.9;89.6;17719.0;10.8;5.2;82.4
32;Totaal mannen en vrouwen;1 Inkomen als werknemer;Leeftijd: 15 tot 25 jaar;2017;1682.8;90.8;18938.0;11.3;5.6;83.9
