ID;Geslacht;Onderwijssoort;Regiokenmerken;Perioden;LeerlingenStudenten_1
0;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Nederland;2011/'12;1559270.0
1;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Nederland;2012/'13;1537930.0
2;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Nederland;2013/'14;1514860.0
3;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Nederland;2014/'15;1494400.0
4;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Nederland;2015/'16;1477850.0
5;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Nederland;2016/'17;1461160.0
6;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Nederland;2017/'18;1447970.0
7;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Nederland;2018/'19;1440430.0
8;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Nederland;2019/'20;1432180.0
9;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Nederland;2020/'21;1421780.0
10;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Nederland;2021/'22;1406280.0
11;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Nederland;2022/'23;1404080.0
12;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Nederland;2023/'24;1393190.0
13;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Nederland;2024/'25;1386700.0
14;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Noord-Nederland (LD);2011/'12;159100.0
15;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Noord-Nederland (LD);2012/'13;155830.0
16;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Noord-Nederland (LD);2013/'14;152570.0
17;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Noord-Nederland (LD);2014/'15;149540.0
18;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Noord-Nederland (LD);2015/'16;146730.0
19;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Noord-Nederland (LD);2016/'17;143670.0
20;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Noord-Nederland (LD);2017/'18;141310.0
21;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Noord-Nederland (LD);2018/'19;139590.0
22;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Noord-Nederland (LD);2019/'20;137390.0
23;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Noord-Nederland (LD);2020/'21;135320.0
24;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Noord-Nederland (LD);2021/'22;133380.0
25;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Noord-Nederland (LD);2022/'23;132130.0
26;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Noord-Nederland (LD);2023/'24;130220.0
27;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Noord-Nederland (LD);2024/'25;128820.0
28;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Oost-Nederland (LD);2011/'12;353710.0
29;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Oost-Nederland (LD);2012/'13;347790.0
30;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Oost-Nederland (LD);2013/'14;340960.0
31;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Oost-Nederland (LD);2014/'15;334490.0
32;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Oost-Nederland (LD);2015/'16;328020.0
33;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Oost-Nederland (LD);2016/'17;323030.0
34;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Oost-Nederland (LD);2017/'18;319230.0
35;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Oost-Nederland (LD);2018/'19;315780.0
36;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Oost-Nederland (LD);2019/'20;313170.0
37;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Oost-Nederland (LD);2020/'21;310740.0
38;Totaal mannen en vrouwen;Totaal (speciaal) basisonderwijs;Oost-Nederland (LD);2021/'22;307080.0
