ID;Geslacht;Migratieachtergrond;Generatie;Perioden;Immigratie_1;EmigratieInclusiefAdministratieveC_2;MigratiesaldoInclusiefAdministratie_3;AdministratieveOpnemingen_4;AdministratieveAfvoeringen_5;SaldoAdministratieveCorrecties_6
0;Totaal mannen en vrouwen;Totaal;Totaal;1995 januari;8362.0;6768.0;1594.0;1025.0;2461.0;-1436.0
1;Totaal mannen en vrouwen;Totaal;Totaal;1995 februari;6621.0;5341.0;1280.0;1070.0;2133.0;-1063.0
2;Totaal mannen en vrouwen;Totaal;Totaal;1995 maart;7596.0;5988.0;1608.0;1238.0;1942.0;-704.0
3;Totaal mannen en vrouwen;Totaal;Totaal;1995 april;6288.0;5490.0;798.0;884.0;2082.0;-1198.0
4;Totaal mannen en vrouwen;Totaal;Totaal;1995 mei;6672.0;5501.0;1171.0;974.0;1863.0;-889.0
5;Totaal mannen en vrouwen;Totaal;Totaal;1995 juni;7195.0;6335.0;860.0;905.0;2171.0;-1266.0
6;Totaal mannen en vrouwen;Totaal;Totaal;1995 juli;8628.0;9069.0;-441.0;951.0;3282.0;-2331.0
7;Totaal mannen en vrouwen;Totaal;Totaal;1995 augustus;10334.0;8177.0;2157.0;944.0;2416.0;-1472.0
8;Totaal mannen en vrouwen;Totaal;Totaal;1995 september;9083.0;7842.0;1241.0;998.0;2840.0;-1842.0
9;Totaal mannen en vrouwen;Totaal;Totaal;1995 oktober;9211.0;7579.0;1632.0;1142.0;3161.0;-2019.0
10;Totaal mannen en vrouwen;Totaal;Totaal;1995 november;8868.0;7469.0;1399.0;1144.0;3852.0;-2708.0
11;Totaal mannen en vrouwen;Totaal;Totaal;1995 december;7241.0;6636.0;605.0;898.0;2844.0;-1946.0
12;Totaal mannen en vrouwen;Totaal;Totaal;1995;96099.0;82195.0;13904.0;12173.0;31047.0;-18874.0
13;Totaal mannen en vrouwen;Totaal;Totaal;1996 januari;9296.0;7267.0;2029.0;1267.0;3192.0;-1925.0
14;Totaal mannen en vrouwen;Totaal;Totaal;1996 februari;7617.0;7461.0;156.0;1217.0;4079.0;-2862.0
15;Totaal mannen en vrouwen;Totaal;Totaal;1996 maart;8162.0;8363.0;-201.0;1146.0;4570.0;-3424.0
16;Totaal mannen en vrouwen;Totaal;Totaal;1996 april;7770.0;7684.0;86.0;1126.0;4124.0;-2998.0
17;Totaal mannen en vrouwen;Totaal;Totaal;1996 mei;7955.0;7203.0;752.0;1215.0;3790.0;-2575.0
18;Totaal mannen en vrouwen;Totaal;Totaal;1996 juni;7964.0;6957.0;1007.0;1069.0;2730.0;-1661.0
19;Totaal mannen en vrouwen;Totaal;Totaal;1996 juli;10402.0;8905.0;1497.0;1298.0;2881.0;-1583.0
20;Totaal mannen en vrouwen;Totaal;Totaal;1996 augustus;11502.0;8026.0;3476.0;1231.0;2566.0;-1335.0
21;Totaal mannen en vrouwen;Totaal;Totaal;1996 september;10967.0;9206.0;1761.0;1143.0;4346.0;-3203.0
22;Totaal mannen en vrouwen;Totaal;Totaal;1996 oktober;10690.0;7529.0;3161.0;1346.0;3453.0;-2107.0
23;Totaal mannen en vrouwen;Totaal;Totaal;1996 november;9084.0;6618.0;2466.0;1156.0;2901.0;-1745.0
24;Totaal mannen en vrouwen;Totaal;Totaal;1996 december;7340.0;6726.0;614.0;967.0;2169.0;-1202.0
25;Totaal mannen en vrouwen;Totaal;Totaal;1996;108749.0;91945.0;16804.0;14181.0;40801.0;-26620.0
26;Totaal mannen en vrouwen;Totaal;Totaal;1997 januari;9684.0;6962.0;2722.0;1287.0;2701.0;-1414.0
27;Totaal mannen en vrouwen;Totaal;Totaal;1997 februari;7656.0;6090.0;1566.0;1154.0;2942.0;-1788.0
28;Totaal mannen en vrouwen;Totaal;Totaal;1997 maart;7283.0;6468.0;815.0;1143.0;3055.0;-1912.0
29;Totaal mannen en vrouwen;Totaal;Totaal;1997 april;8502.0;6881.0;1621.0;1280.0;3334.0;-2054.0
30;Totaal mannen en vrouwen;Totaal;Totaal;1997 mei;7393.0;5465.0;1928.0;1086.0;2341.0;-1255.0
31;Totaal mannen en vrouwen;Totaal;Totaal;1997 juni;8574.0;6702.0;1872.0;1304.0;2779.0;-1475.0
32;Totaal mannen en vrouwen;Totaal;Totaal;1997 juli;10345.0;8244.0;2101.0;1343.0;2777.0;-1434.0
33;Totaal mannen en vrouwen;Totaal;Totaal;1997 augustus;11915.0;8224.0;3691.0;1130.0;3339.0;-2209.0
34;Totaal mannen en vrouwen;Totaal;Totaal;1997 september;12145.0;7685.0;4460.0;1276.0;2981.0;-1705.0
35;Totaal mannen en vrouwen;Totaal;Totaal;1997 oktober;10336.0;7060.0;3276.0;1666.0;3298.0;-1632.0
36;Totaal mannen en vrouwen;Totaal;Totaal;1997 november;8200.0;5661.0;2539.0;1156.0;2444.0;-1288.0
37;Totaal mannen en vrouwen;Totaal;Totaal;1997 december;7827.0;6531.0;1296.0;1041.0;2630.0;-1589.0
38;Totaal mannen en vrouwen;Totaal;Totaal;1997;109860.0;81973.0;27887.0;14866.0;34621.0;-19755.0
39;Totaal mannen en vrouwen;Totaal;Totaal;1998 januari;10327.0;6028.0;4299.0;1242.0;2531.0;-1289.0
40;Totaal mannen en vrouwen;Totaal;Totaal;1998 februari;7953.0;5869.0;2084.0;1233.0;2511.0;-1278.0
41;Totaal mannen en vrouwen;Totaal;Totaal;1998 maart;9135.0;7039.0;2096.0;1308.0;3387.0;-2079.0
42;Totaal mannen en vrouwen;Totaal;Totaal;1998 april;8223.0;6556.0;1667.0;1286.0;3374.0;-2088.0
43;Totaal mannen en vrouwen;Totaal;Totaal;1998 mei;8073.0;5679.0;2394.0;1163.0;2819.0;-1656.0
44;Totaal mannen en vrouwen;Totaal;Totaal;1998 juni;9605.0;7874.0;1731.0;1333.0;4011.0;-2678.0
45;Totaal mannen en vrouwen;Totaal;Totaal;1998 juli;11427.0;9232.0;2195.0;1611.0;3720.0;-2109.0
46;Totaal mannen en vrouwen;Totaal;Totaal;1998 augustus;13245.0;6999.0;6246.0;1310.0;2483.0;-1173.0
47;Totaal mannen en vrouwen;Totaal;Totaal;1998 september;13584.0;7025.0;6559.0;1383.0;2736.0;-1353.0
48;Totaal mannen en vrouwen;Totaal;Totaal;1998 oktober;11350.0;5559.0;5791.0;1751.0;2420.0;-669.0
49;Totaal mannen en vrouwen;Totaal;Totaal;1998 november;10082.0;5207.0;4875.0;1423.0;2387.0;-964.0
50;Totaal mannen en vrouwen;Totaal;Totaal;1998 december;9403.0;6222.0;3181.0;1336.0;2848.0;-1512.0
51;Totaal mannen en vrouwen;Totaal;Totaal;1998;122407.0;79289.0;43118.0;16379.0;35227.0;-18848.0
52;Totaal mannen en vrouwen;Totaal;Totaal;1999 januari;9330.0;5948.0;3382.0;1431.0;2699.0;-1268.0
53;Totaal mannen en vrouwen;Totaal;Totaal;1999 februari;8386.0;5209.0;3177.0;1424.0;2747.0;-1323.0
54;Totaal mannen en vrouwen;Totaal;Totaal;1999 maart;9767.0;6847.0;2920.0;1619.0;3797.0;-2178.0
55;Totaal mannen en vrouwen;Totaal;Totaal;1999 april;8019.0;5674.0;2345.0;1352.0;2802.0;-1450.0
56;Totaal mannen en vrouwen;Totaal;Totaal;1999 mei;7540.0;5113.0;2427.0;1216.0;2565.0;-1349.0
57;Totaal mannen en vrouwen;Totaal;Totaal;1999 juni;9082.0;6885.0;2197.0;1554.0;3408.0;-1854.0
58;Totaal mannen en vrouwen;Totaal;Totaal;1999 juli;11200.0;8137.0;3063.0;1461.0;2730.0;-1269.0
59;Totaal mannen en vrouwen;Totaal;Totaal;1999 augustus;13008.0;7402.0;5606.0;1358.0;2617.0;-1259.0
60;Totaal mannen en vrouwen;Totaal;Totaal;1999 september;13074.0;7425.0;5649.0;1492.0;3333.0;-1841.0
61;Totaal mannen en vrouwen;Totaal;Totaal;1999 oktober;10194.0;7093.0;3101.0;1395.0;3594.0;-2199.0
62;Totaal mannen en vrouwen;Totaal;Totaal;1999 november;10326.0;6742.0;3584.0;1531.0;3825.0;-2294.0
63;Totaal mannen en vrouwen;Totaal;Totaal;1999 december;9225.0;6304.0;2921.0;1402.0;2874.0;-1472.0
64;Totaal mannen en vrouwen;Totaal;Totaal;1999;119151.0;78779.0;40372.0;17235.0;36991.0;-19756.0
65;Totaal mannen en vrouwen;Totaal;Totaal;2000 januari;10035.0;6516.0;3519.0;1634.0;3417.0;-1783.0
66;Totaal mannen en vrouwen;Totaal;Totaal;2000 februari;10249.0;5587.0;4662.0;1634.0;3013.0;-1379.0
