ID;Regions;Periods;RentIncreaseInclRentHarmonisation_1;RentIncreaseExclRentHarmonisation_2;RentHarmonisation_3
0;The Netherlands;2005;2.0;1.8;0.2
1;The Netherlands;2006;2.7;2.4;0.3
2;The Netherlands;2007;1.4;1.1;0.3
3;The Netherlands;2008;1.9;1.5;0.4
4;The Netherlands;2009;2.8;2.4;0.4
5;The Netherlands;2010;1.6;1.2;0.4
6;Drenthe (PV);2005;1.7;1.6;0.1
7;Drenthe (PV);2006;2.4;2.3;0.1
8;Drenthe (PV);2007;1.4;1.1;0.3
9;Drenthe (PV);2008;1.9;1.6;0.3
10;Drenthe (PV);2009;2.8;2.4;0.4
11;Drenthe (PV);2010;1.9;1.2;0.7
12;Flevoland (PV);2005;1.9;1.8;0.1
13;Flevoland (PV);2006;3.1;2.9;0.2
14;Flevoland (PV);2007;1.5;1.2;0.3
15;Flevoland (PV);2008;1.9;1.8;0.1
16;Flevoland (PV);2009;2.7;2.5;0.2
17;Flevoland (PV);2010;1.8;1.3;0.5
18;Friesland (PV);2005;2.0;1.8;0.2
19;Friesland (PV);2006;2.8;2.4;0.4
20;Friesland (PV);2007;1.6;1.5;0.1
21;Friesland (PV);2008;1.8;1.5;0.3
22;Friesland (PV);2009;2.8;2.5;0.3
23;Friesland (PV);2010;1.7;1.2;0.5
24;Gelderland (PV);2005;1.9;1.7;0.2
25;Gelderland (PV);2006;2.7;2.4;0.3
26;Gelderland (PV);2007;1.4;1.1;0.3
27;Gelderland (PV);2008;2.0;1.5;0.5
28;Gelderland (PV);2009;2.8;2.4;0.4
29;Gelderland (PV);2010;1.7;1.3;0.4
30;Groningen (PV);2005;1.6;1.6;0.0
31;Groningen (PV);2006;2.5;2.3;0.2
32;Groningen (PV);2007;1.3;1.3;0.0
33;Groningen (PV);2008;2.2;1.5;0.7
34;Groningen (PV);2009;3.0;2.4;0.6
35;Groningen (PV);2010;1.9;1.1;0.8
36;Limburg (PV);2005;1.7;1.7;0.0
37;Limburg (PV);2006;2.4;2.3;0.1
38;Limburg (PV);2007;1.3;1.0;0.3
39;Limburg (PV);2008;1.6;1.2;0.4
40;Limburg (PV);2009;2.9;2.4;0.5
41;Limburg (PV);2010;1.5;1.2;0.3
42;Noord-Brabant (PV);2005;2.0;1.6;0.4
43;Noord-Brabant (PV);2006;2.7;2.4;0.3
44;Noord-Brabant (PV);2007;1.4;1.2;0.2
45;Noord-Brabant (PV);2008;2.0;1.7;0.3
46;Noord-Brabant (PV);2009;2.7;2.4;0.3
47;Noord-Brabant (PV);2010;1.6;1.2;0.4
48;Noord-Holland (PV);2005;2.0;1.7;0.3
49;Noord-Holland (PV);2006;3.1;2.6;0.5
50;Noord-Holland (PV);2007;1.5;1.2;0.3
51;Noord-Holland (PV);2008;1.9;1.5;0.4
52;Noord-Holland (PV);2009;2.7;2.3;0.4
53;Noord-Holland (PV);2010;1.8;1.3;0.5
54;Overijssel (PV);2005;1.7;1.7;0.0
55;Overijssel (PV);2006;2.7;2.4;0.3
56;Overijssel (PV);2007;1.6;1.1;0.5
57;Overijssel (PV);2008;2.3;1.6;0.7
58;Overijssel (PV);2009;2.8;2.3;0.5
59;Overijssel (PV);2010;1.6;1.1;0.5
60;Utrecht (PV);2005;1.9;1.6;0.3
61;Utrecht (PV);2006;2.7;2.5;0.2
62;Utrecht (PV);2007;1.2;1.0;0.2
63;Utrecht (PV);2008;1.9;1.6;0.3
64;Utrecht (PV);2009;2.7;2.2;0.5
65;Utrecht (PV);2010;1.6;1.2;0.4
66;Zeeland (PV);2005;2.2;2.1;0.1
67;Zeeland (PV);2006;2.2;2.2;0.0
68;Zeeland (PV);2007;1.2;1.0;0.2
69;Zeeland (PV);2008;2.2;1.8;0.4
70;Zeeland (PV);2009;2.8;2.4;0.4
71;Zeeland (PV);2010;1.8;1.3;0.5
72;Zuid-Holland (PV);2005;1.9;1.7;0.2
73;Zuid-Holland (PV);2006;2.7;2.4;0.3
74;Zuid-Holland (PV);2007;1.2;0.9;0.3
75;Zuid-Holland (PV);2008;1.9;1.5;0.4
76;Zuid-Holland (PV);2009;2.9;2.3;0.6
77;Zuid-Holland (PV);2010;1.6;1.2;0.4
78;Amsterdam;2005;2.2;1.7;0.5
79;Amsterdam;2006;3.4;2.6;0.8
80;Amsterdam;2007;1.5;1.2;0.3
81;Amsterdam;2008;1.9;1.5;0.4
82;Amsterdam;2009;2.7;2.3;0.4
83;Amsterdam;2010;1.6;1.2;0.4
84;The Hague;2005;2.2;2.0;0.2
85;The Hague;2006;2.7;2.2;0.5
86;The Hague;2007;1.5;1.1;0.4
87;The Hague;2008;1.9;1.4;0.5
88;The Hague;2009;2.8;2.3;0.5
89;The Hague;2010;1.7;1.5;0.2
90;Rotterdam;2005;2.0;1.7;0.3
91;Rotterdam;2006;2.8;2.4;0.4
92;Rotterdam;2007;1.2;0.7;0.5
93;Rotterdam;2008;2.1;1.6;0.5
94;Rotterdam;2009;3.1;2.4;0.7
95;Rotterdam;2010;1.6;1.2;0.4
96;Utrecht;2005;2.2;1.9;0.3
97;Utrecht;2006;2.7;2.6;0.1
98;Utrecht;2007;1.1;1.1;0.0
99;Utrecht;2008;2.1;1.6;0.5
100;Utrecht;2009;2.5;2.2;0.3
101;Utrecht;2010;1.7;1.3;0.4
