ID;Geslacht;LeeftijdBeginPeriode;Herkomstgroepering;SBI93NaInstroomOfVoorUitstroom;InkomstenbronVoorInstroomNaUitstroom;Perioden;InstroomInArbeidAlsWerknemer_1;UitstroomUitArbeidAlsWerknemer_2
0;Totaal mannen en vrouwen;0;0;0;0;24 september 1999 tot 29 september 2000;684.3;531.3
1;Totaal mannen en vrouwen;0;0;0;0;29 september 2000 tot 28 september 2001;679.7;537.8
2;Totaal mannen en vrouwen;0;0;0;0;28 september 2001 tot 27 september 2002;615.1;565.1
3;Totaal mannen en vrouwen;0;0;0;0;27 september 2002 tot 26 september 2003;541.1;582.7
4;Totaal mannen en vrouwen;0;0;0;0;26 september 2003 tot 24 september 2004;522.5;607.1
5;Totaal mannen en vrouwen;0;0;0;0;24 september 2004 tot 30 september 2005;586.3;566.7
6;Totaal mannen en vrouwen;0;0;0;0;30 september 2005 tot 29 september 2006;679.4;586.0
7;Totaal mannen en vrouwen;0;0;0;0;29 september 2006 tot 28 september 2007;731.1;493.9
8;Totaal mannen en vrouwen;0;0;0;0;28 september 2007 tot 26 september 2008;651.4;569.8
9;Totaal mannen en vrouwen;0;0;0;1;24 september 1999 tot 29 september 2000;32.5;55.8
10;Totaal mannen en vrouwen;0;0;0;1;29 september 2000 tot 28 september 2001;37.2;54.2
11;Totaal mannen en vrouwen;0;0;0;1;28 september 2001 tot 27 september 2002;33.9;48.8
12;Totaal mannen en vrouwen;0;0;0;1;27 september 2002 tot 26 september 2003;30.8;43.9
13;Totaal mannen en vrouwen;0;0;0;1;26 september 2003 tot 24 september 2004;28.2;44.0
14;Totaal mannen en vrouwen;0;0;0;1;24 september 2004 tot 30 september 2005;29.0;41.2
15;Totaal mannen en vrouwen;0;0;0;1;30 september 2005 tot 29 september 2006;34.1;56.8
16;Totaal mannen en vrouwen;0;0;0;1;29 september 2006 tot 28 september 2007;36.7;56.7
17;Totaal mannen en vrouwen;0;0;0;1;28 september 2007 tot 26 september 2008;36.3;57.7
18;Totaal mannen en vrouwen;0;0;0;2;24 september 1999 tot 29 september 2000;0.0;0.0
19;Totaal mannen en vrouwen;0;0;0;2;29 september 2000 tot 28 september 2001;0.0;0.0
20;Totaal mannen en vrouwen;0;0;0;2;28 september 2001 tot 27 september 2002;0.0;0.0
