ID;Geslacht;Leeftijd;BedrijfstakkenBranchesSBI2008;Perioden;OntslagenWerknemers_1
0;Totaal mannen en vrouwen;15 tot 75 jaar;A-U Alle economische activiteiten;2015;47.5
1;Totaal mannen en vrouwen;15 tot 75 jaar;A-U Alle economische activiteiten;2016;40.4
2;Totaal mannen en vrouwen;15 tot 75 jaar;A-U Alle economische activiteiten;2017;20.0
3;Totaal mannen en vrouwen;15 tot 75 jaar;A-U Alle economische activiteiten;2018;22.9
4;Totaal mannen en vrouwen;15 tot 75 jaar;A-U Alle economische activiteiten;2019;24.4
5;Totaal mannen en vrouwen;15 tot 75 jaar;A-U Alle economische activiteiten;2020;18.2
6;Totaal mannen en vrouwen;15 tot 75 jaar;A-U Alle economische activiteiten;2021;7.4
7;Totaal mannen en vrouwen;15 tot 75 jaar;A-U Alle economische activiteiten;2022;13.4
8;Totaal mannen en vrouwen;15 tot 75 jaar;A-U Alle economische activiteiten;2023;21.4
9;Totaal mannen en vrouwen;15 tot 75 jaar;A Landbouw, bosbouw en visserij;2015;0.2
10;Totaal mannen en vrouwen;15 tot 75 jaar;A Landbouw, bosbouw en visserij;2016;0.1
11;Totaal mannen en vrouwen;15 tot 75 jaar;A Landbouw, bosbouw en visserij;2017;0.1
12;Totaal mannen en vrouwen;15 tot 75 jaar;A Landbouw, bosbouw en visserij;2018;0.1
13;Totaal mannen en vrouwen;15 tot 75 jaar;A Landbouw, bosbouw en visserij;2019;0.2
14;Totaal mannen en vrouwen;15 tot 75 jaar;A Landbouw, bosbouw en visserij;2020;0.1
15;Totaal mannen en vrouwen;15 tot 75 jaar;A Landbouw, bosbouw en visserij;2021;0.0
16;Totaal mannen en vrouwen;15 tot 75 jaar;A Landbouw, bosbouw en visserij;2022;0.2
17;Totaal mannen en vrouwen;15 tot 75 jaar;A Landbouw, bosbouw en visserij;2023;0.1
18;Totaal mannen en vrouwen;15 tot 75 jaar;B Delfstoffenwinning;2015;
19;Totaal mannen en vrouwen;15 tot 75 jaar;B Delfstoffenwinning;2016;0.0
20;Totaal mannen en vrouwen;15 tot 75 jaar;B Delfstoffenwinning;2017;0.0
21;Totaal mannen en vrouwen;15 tot 75 jaar;B Delfstoffenwinning;2018;0.0
22;Totaal mannen en vrouwen;15 tot 75 jaar;B Delfstoffenwinning;2019;
23;Totaal mannen en vrouwen;15 tot 75 jaar;B Delfstoffenwinning;2020;0.0
24;Totaal mannen en vrouwen;15 tot 75 jaar;B Delfstoffenwinning;2021;0.0
25;Totaal mannen en vrouwen;15 tot 75 jaar;B Delfstoffenwinning;2022;0.0
26;Totaal mannen en vrouwen;15 tot 75 jaar;B Delfstoffenwinning;2023;0.0
27;Totaal mannen en vrouwen;15 tot 75 jaar;B-E Nijverheid (geen bouw) en energie;2015;4.1
28;Totaal mannen en vrouwen;15 tot 75 jaar;B-E Nijverheid (geen bouw) en energie;2016;3.2
29;Totaal mannen en vrouwen;15 tot 75 jaar;B-E Nijverheid (geen bouw) en energie;2017;2.9
30;Totaal mannen en vrouwen;15 tot 75 jaar;B-E Nijverheid (geen bouw) en energie;2018;3.0
31;Totaal mannen en vrouwen;15 tot 75 jaar;B-E Nijverheid (geen bouw) en energie;2019;2.9
32;Totaal mannen en vrouwen;15 tot 75 jaar;B-E Nijverheid (geen bouw) en energie;2020;1.9
33;Totaal mannen en vrouwen;15 tot 75 jaar;B-E Nijverheid (geen bouw) en energie;2021;1.1
34;Totaal mannen en vrouwen;15 tot 75 jaar;B-E Nijverheid (geen bouw) en energie;2022;2.5
35;Totaal mannen en vrouwen;15 tot 75 jaar;B-E Nijverheid (geen bouw) en energie;2023;4.2
36;Totaal mannen en vrouwen;15 tot 75 jaar;B-F Nijverheid en energie;2015;10.3
37;Totaal mannen en vrouwen;15 tot 75 jaar;B-F Nijverheid en energie;2016;5.5
38;Totaal mannen en vrouwen;15 tot 75 jaar;B-F Nijverheid en energie;2017;4.6
39;Totaal mannen en vrouwen;15 tot 75 jaar;B-F Nijverheid en energie;2018;4.4
40;Totaal mannen en vrouwen;15 tot 75 jaar;B-F Nijverheid en energie;2019;3.8
41;Totaal mannen en vrouwen;15 tot 75 jaar;B-F Nijverheid en energie;2020;3.5
42;Totaal mannen en vrouwen;15 tot 75 jaar;B-F Nijverheid en energie;2021;1.7
43;Totaal mannen en vrouwen;15 tot 75 jaar;B-F Nijverheid en energie;2022;3.4
44;Totaal mannen en vrouwen;15 tot 75 jaar;B-F Nijverheid en energie;2023;5.6
45;Totaal mannen en vrouwen;15 tot 75 jaar;C Industrie;2015;3.9
46;Totaal mannen en vrouwen;15 tot 75 jaar;C Industrie;2016;3.1
47;Totaal mannen en vrouwen;15 tot 75 jaar;C Industrie;2017;2.8
48;Totaal mannen en vrouwen;15 tot 75 jaar;C Industrie;2018;2.9
49;Totaal mannen en vrouwen;15 tot 75 jaar;C Industrie;2019;2.7
50;Totaal mannen en vrouwen;15 tot 75 jaar;C Industrie;2020;1.9
51;Totaal mannen en vrouwen;15 tot 75 jaar;C Industrie;2021;1.0
52;Totaal mannen en vrouwen;15 tot 75 jaar;C Industrie;2022;2.4
53;Totaal mannen en vrouwen;15 tot 75 jaar;C Industrie;2023;4.1
54;Totaal mannen en vrouwen;15 tot 75 jaar;D Energievoorziening;2015;0.0
55;Totaal mannen en vrouwen;15 tot 75 jaar;D Energievoorziening;2016;0.0
56;Totaal mannen en vrouwen;15 tot 75 jaar;D Energievoorziening;2017;0.0
57;Totaal mannen en vrouwen;15 tot 75 jaar;D Energievoorziening;2018;0.0
58;Totaal mannen en vrouwen;15 tot 75 jaar;D Energievoorziening;2019;
59;Totaal mannen en vrouwen;15 tot 75 jaar;D Energievoorziening;2020;
60;Totaal mannen en vrouwen;15 tot 75 jaar;D Energievoorziening;2021;0.0
61;Totaal mannen en vrouwen;15 tot 75 jaar;D Energievoorziening;2022;0.0
62;Totaal mannen en vrouwen;15 tot 75 jaar;D Energievoorziening;2023;
63;Totaal mannen en vrouwen;15 tot 75 jaar;E Waterbedrijven en afvalbeheer;2015;0.1
64;Totaal mannen en vrouwen;15 tot 75 jaar;E Waterbedrijven en afvalbeheer;2016;0.1
65;Totaal mannen en vrouwen;15 tot 75 jaar;E Waterbedrijven en afvalbeheer;2017;0.0
66;Totaal mannen en vrouwen;15 tot 75 jaar;E Waterbedrijven en afvalbeheer;2018;0.0
67;Totaal mannen en vrouwen;15 tot 75 jaar;E Waterbedrijven en afvalbeheer;2019;0.1
68;Totaal mannen en vrouwen;15 tot 75 jaar;E Waterbedrijven en afvalbeheer;2020;0.0
69;Totaal mannen en vrouwen;15 tot 75 jaar;E Waterbedrijven en afvalbeheer;2021;0.0
70;Totaal mannen en vrouwen;15 tot 75 jaar;E Waterbedrijven en afvalbeheer;2022;0.0
71;Totaal mannen en vrouwen;15 tot 75 jaar;E Waterbedrijven en afvalbeheer;2023;0.1
72;Totaal mannen en vrouwen;15 tot 75 jaar;F Bouwnijverheid;2015;6.2
73;Totaal mannen en vrouwen;15 tot 75 jaar;F Bouwnijverheid;2016;2.2
74;Totaal mannen en vrouwen;15 tot 75 jaar;F Bouwnijverheid;2017;1.7
75;Totaal mannen en vrouwen;15 tot 75 jaar;F Bouwnijverheid;2018;1.5
76;Totaal mannen en vrouwen;15 tot 75 jaar;F Bouwnijverheid;2019;1.0
77;Totaal mannen en vrouwen;15 tot 75 jaar;F Bouwnijverheid;2020;1.5
78;Totaal mannen en vrouwen;15 tot 75 jaar;F Bouwnijverheid;2021;0.6
79;Totaal mannen en vrouwen;15 tot 75 jaar;F Bouwnijverheid;2022;0.9
80;Totaal mannen en vrouwen;15 tot 75 jaar;F Bouwnijverheid;2023;1.4
81;Totaal mannen en vrouwen;15 tot 75 jaar;G-I Handel, vervoer en horeca;2015;25.5
82;Totaal mannen en vrouwen;15 tot 75 jaar;G-I Handel, vervoer en horeca;2016;14.2
83;Totaal mannen en vrouwen;15 tot 75 jaar;G-I Handel, vervoer en horeca;2017;7.9
84;Totaal mannen en vrouwen;15 tot 75 jaar;G-I Handel, vervoer en horeca;2018;7.6
85;Totaal mannen en vrouwen;15 tot 75 jaar;G-I Handel, vervoer en horeca;2019;12.1
86;Totaal mannen en vrouwen;15 tot 75 jaar;G-I Handel, vervoer en horeca;2020;8.7
87;Totaal mannen en vrouwen;15 tot 75 jaar;G-I Handel, vervoer en horeca;2021;1.9
88;Totaal mannen en vrouwen;15 tot 75 jaar;G-I Handel, vervoer en horeca;2022;5.5
89;Totaal mannen en vrouwen;15 tot 75 jaar;G-I Handel, vervoer en horeca;2023;9.1
90;Totaal mannen en vrouwen;15 tot 75 jaar;G-N Commerciële dienstverlening;2015;31.2
91;Totaal mannen en vrouwen;15 tot 75 jaar;G-N Commerciële dienstverlening;2016;19.6
92;Totaal mannen en vrouwen;15 tot 75 jaar;G-N Commerciële dienstverlening;2017;12.5
93;Totaal mannen en vrouwen;15 tot 75 jaar;G-N Commerciële dienstverlening;2018;12.6
94;Totaal mannen en vrouwen;15 tot 75 jaar;G-N Commerciële dienstverlening;2019;17.4
95;Totaal mannen en vrouwen;15 tot 75 jaar;G-N Commerciële dienstverlening;2020;13.3
96;Totaal mannen en vrouwen;15 tot 75 jaar;G-N Commerciële dienstverlening;2021;4.5
97;Totaal mannen en vrouwen;15 tot 75 jaar;G-N Commerciële dienstverlening;2022;8.0
98;Totaal mannen en vrouwen;15 tot 75 jaar;G-N Commerciële dienstverlening;2023;13.6
99;Totaal mannen en vrouwen;15 tot 75 jaar;G Handel;2015;16.7
100;Totaal mannen en vrouwen;15 tot 75 jaar;G Handel;2016;9.7
101;Totaal mannen en vrouwen;15 tot 75 jaar;G Handel;2017;5.1
102;Totaal mannen en vrouwen;15 tot 75 jaar;G Handel;2018;3.9
103;Totaal mannen en vrouwen;15 tot 75 jaar;G Handel;2019;9.3
104;Totaal mannen en vrouwen;15 tot 75 jaar;G Handel;2020;4.3
105;Totaal mannen en vrouwen;15 tot 75 jaar;G Handel;2021;1.3
106;Totaal mannen en vrouwen;15 tot 75 jaar;G Handel;2022;3.0
107;Totaal mannen en vrouwen;15 tot 75 jaar;G Handel;2023;6.2
108;Totaal mannen en vrouwen;15 tot 75 jaar;H Vervoer en opslag;2015;2.7
109;Totaal mannen en vrouwen;15 tot 75 jaar;H Vervoer en opslag;2016;3.4
110;Totaal mannen en vrouwen;15 tot 75 jaar;H Vervoer en opslag;2017;1.7
111;Totaal mannen en vrouwen;15 tot 75 jaar;H Vervoer en opslag;2018;2.5
112;Totaal mannen en vrouwen;15 tot 75 jaar;H Vervoer en opslag;2019;1.6
113;Totaal mannen en vrouwen;15 tot 75 jaar;H Vervoer en opslag;2020;1.8
114;Totaal mannen en vrouwen;15 tot 75 jaar;H Vervoer en opslag;2021;0.3
115;Totaal mannen en vrouwen;15 tot 75 jaar;H Vervoer en opslag;2022;1.5
116;Totaal mannen en vrouwen;15 tot 75 jaar;H Vervoer en opslag;2023;1.3
117;Totaal mannen en vrouwen;15 tot 75 jaar;I Horeca;2015;6.2
118;Totaal mannen en vrouwen;15 tot 75 jaar;I Horeca;2016;1.1
119;Totaal mannen en vrouwen;15 tot 75 jaar;I Horeca;2017;1.2
120;Totaal mannen en vrouwen;15 tot 75 jaar;I Horeca;2018;1.2
121;Totaal mannen en vrouwen;15 tot 75 jaar;I Horeca;2019;1.2
122;Totaal mannen en vrouwen;15 tot 75 jaar;I Horeca;2020;2.6
