ID;Geslacht;Persoonskenmerken;RegioS;Perioden;Personen_1;PersonenMetPersoonlijkInkomen_2;AandeelPersonen_3;GemiddeldGestandaardiseerdInkomen_4;MediaanGestandaardiseerdInkomen_5;GemiddeldPersoonlijkInkomen_6;MediaanPersoonlijkInkomen_7
0;Totaal mannen en vrouwen;Totaal personen;Nederland;2011;16309.7;12807.2;100;26.9;24.2;28.8;23.1
1;Totaal mannen en vrouwen;Totaal personen;Nederland;2012;16378.0;12891.6;100;27.1;24.4;29.1;23.1
2;Totaal mannen en vrouwen;Totaal personen;Nederland;2013;16429.5;12951.4;100;27.3;24.6;29.4;23.1
3;Totaal mannen en vrouwen;Totaal personen;Nederland;2014;16454.5;13005.8;100;28.9;25.4;29.9;23.3
4;Totaal mannen en vrouwen;Totaal personen;Nederland;2015;16528.1;13115.5;100;28.7;25.9;30.4;23.5
5;Totaal mannen en vrouwen;Totaal personen;Nederland;2016;16595.2;13225.4;100;30.0;27.0;31.0;24.0
6;Totaal mannen en vrouwen;Totaal personen;Nederland;2017;16707.3;13396.7;100;31.1;27.8;32.0;24.6
7;Totaal mannen en vrouwen;Totaal personen;Nederland;2018;16806.3;13551.8;100;31.5;28.2;32.3;25.3
8;Totaal mannen en vrouwen;Totaal personen;Nederland;2019;16909.9;13702.3;100;33.9;29.7;33.4;26.3
9;Totaal mannen en vrouwen;Totaal personen;Nederland;2020;17018.5;13805.8;100;34.5;31.0;34.3;27.2
10;Totaal mannen en vrouwen;Totaal personen;Nederland;2021;17098.8;13960.8;100;36.1;32.4;35.7;28.1
11;Totaal mannen en vrouwen;Totaal personen;Nederland;2022;17203.8;14179.3;100;38.2;34.3;37.4;29.7
12;Totaal mannen en vrouwen;Totaal personen;Nederland;2023;17389.9;14348.7;100;41.2;37.0;39.7;32.0
13;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2011;1679.9;1319.5;100;24.6;22.5;25.7;21.0
14;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2012;1680.4;1324.6;100;24.7;22.7;25.8;21.0
15;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2013;1680.2;1327.3;100;25.0;23.0;26.2;21.1
16;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2014;1676.1;1329.0;100;26.2;23.8;26.6;21.2
17;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2015;1676.9;1335.9;100;26.1;24.2;26.8;21.4
18;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2016;1674.6;1340.6;100;27.3;25.2;27.5;21.9
19;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2017;1678.1;1352.4;100;28.2;25.9;28.2;22.4
20;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2018;1679.5;1362.1;100;28.6;26.4;28.6;23.1
21;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2019;1682.3;1372.1;100;30.3;27.7;29.5;24.0
22;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2020;1685.7;1378.3;100;31.2;29.0;30.4;24.8
23;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2021;1689.9;1392.8;100;32.7;30.3;31.4;25.7
24;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2022;1697.0;1412.0;100;34.5;32.0;32.9;27.2
25;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2023;1709.9;1425.1;100;37.2;34.7;35.1;29.3
26;Totaal mannen en vrouwen;Totaal personen;Oost-Nederland (LD);2011;3461.4;2687.0;100;26.2;23.9;27.5;22.6
