ID;Geslacht;Persoonskenmerken;Arbeidsgehandicapten;Perioden;BeroepsEnNietBeroepsbevolking_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7;ZelfstandigeZonderPersoneelZzp_8;ZelfstandigeMetPersoneel_9;MeewerkendGezinslid_10;PositieInDeWerkkringOnbekend_11;Deeltijd_12;MinderDan20UurPerWeek_13;MinderDan12UurPerWeek_14;k_12Tot20UurPerWeek_15;k_20Tot35UurPerWeek_16;k_20Tot28UurPerWeek_17;k_28Tot35UurPerWeek_18;Voltijd_19;WerklozeBeroepsbevolking_20;Werkloosheidspercentage_21;NietBeroepsbevolking_22;BrutoArbeidsparticipatie_23;NettoArbeidsparticipatie_24
0;Totaal mannen en vrouwen;Totaal personen;Totaal;2003;10903.0;8104.0;7710.0;6756.0;5648.0;1108.0;954.0;582.0;325.0;47.0;0.0;3285.0;1471.0;818.0;653.0;1814.0;908.0;906.0;4425.0;394.0;4.9;2799.0;74.3;70.7
1;Totaal mannen en vrouwen;Totaal personen;Totaal;2004;10925.0;8150.0;7688.0;6695.0;5551.0;1144.0;994.0;612.0;336.0;46.0;0.0;3304.0;1476.0;823.0;654.0;1828.0;932.0;896.0;4384.0;462.0;5.7;2775.0;74.6;70.4
2;Totaal mannen en vrouwen;Totaal personen;Totaal;2005;10940.0;8218.0;7732.0;6730.0;5519.0;1211.0;1002.0;621.0;334.0;47.0;0.0;3392.0;1514.0;834.0;680.0;1878.0;929.0;949.0;4340.0;487.0;5.9;2722.0;75.1;70.7
3;Totaal mannen en vrouwen;Totaal personen;Totaal;2006;10952.0;8264.0;7849.0;6793.0;5476.0;1318.0;1055.0;665.0;344.0;46.0;0.0;3421.0;1518.0;828.0;689.0;1904.0;942.0;962.0;4427.0;415.0;5.0;2688.0;75.5;71.7
4;Totaal mannen en vrouwen;Totaal personen;Totaal;2007;;;;;;;;;;;;;;;;;;;;;;;;
5;Totaal mannen en vrouwen;Totaal personen;Totaal;2008;;;;;;;;;;;;;;;;;;;;;;;;
6;Totaal mannen en vrouwen;Totaal personen;Totaal;2009;11010.0;8601.0;8217.0;7042.0;5475.0;1567.0;1175.0;791.0;345.0;39.0;0.0;3738.0;1536.0;835.0;700.0;2203.0;1096.0;1107.0;4479.0;384.0;4.5;2410.0;78.1;74.6
7;Totaal mannen en vrouwen;Totaal personen;Totaal;2010;11017.0;8583.0;8150.0;6997.0;5554.0;1443.0;1153.0;783.0;322.0;47.0;0.0;3779.0;1525.0;835.0;690.0;2253.0;1143.0;1110.0;4371.0;434.0;5.1;2434.0;77.9;74.0
8;Totaal mannen en vrouwen;Totaal personen;Totaal;2011;10994.0;8594.0;8164.0;7015.0;5648.0;1368.0;1148.0;799.0;303.0;46.0;0.0;3841.0;1557.0;847.0;710.0;2284.0;1130.0;1154.0;4323.0;430.0;5.0;2400.0;78.2;74.3
9;Totaal mannen en vrouwen;Totaal personen;Totaal;2012;10992.0;8684.0;8173.0;6999.0;5560.0;1438.0;1175.0;835.0;295.0;45.0;0.0;3880.0;1568.0;860.0;708.0;2312.0;1130.0;1182.0;4293.0;511.0;5.9;2308.0;79.0;74.4
10;Totaal mannen en vrouwen;Totaal personen;Totaal;2013;11013.0;8751.0;8111.0;6900.0;5368.0;1533.0;1211.0;885.0;287.0;39.0;0.0;3926.0;1579.0;903.0;676.0;2347.0;1166.0;1181.0;4185.0;640.0;7.3;2263.0;79.5;73.6
11;Totaal mannen en vrouwen;Totaal personen;Totaal;2014;10980.0;8684.0;8036.0;6829.0;5232.0;1597.0;1207.0;867.0;301.0;39.0;0.0;3851.0;1531.0;898.0;633.0;2321.0;1126.0;1194.0;4185.0;648.0;7.5;2297.0;79.1;73.2
12;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2003;1813.0;889.0;826.0;710.0;615.0;96.0;115.0;80.0;30.0;5.0;0.0;409.0;163.0;79.0;84.0;246.0;131.0;115.0;417.0;64.0;7.2;924.0;49.1;45.5
13;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2004;1805.0;898.0;815.0;698.0;602.0;96.0;117.0;80.0;33.0;4.0;0.0;401.0;166.0;82.0;84.0;235.0;128.0;106.0;414.0;83.0;9.2;907.0;49.7;45.1
14;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2005;1767.0;868.0;785.0;672.0;574.0;98.0;113.0;75.0;34.0;5.0;0.0;402.0;169.0;82.0;87.0;233.0;120.0;113.0;383.0;83.0;9.5;899.0;49.1;44.4
15;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2006;1727.0;843.0;766.0;646.0;541.0;105.0;120.0;81.0;36.0;3.0;0.0;397.0;163.0;80.0;83.0;234.0;129.0;105.0;368.0;77.0;9.2;884.0;48.8;44.3
16;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2007;;;;;;;;;;;;;;;;;;;;;;;;
17;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2008;;;;;;;;;;;;;;;;;;;;;;;;
18;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2009;1655.0;838.0;778.0;654.0;519.0;134.0;124.0;89.0;30.0;5.0;0.0;432.0;166.0;80.0;86.0;266.0;141.0;125.0;346.0;60.0;7.2;817.0;50.6;47.0
19;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2010;1482.0;701.0;640.0;537.0;452.0;85.0;103.0;74.0;26.0;4.0;0.0;369.0;144.0;70.0;74.0;226.0;128.0;98.0;271.0;61.0;8.7;781.0;47.3;43.2
20;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2011;1391.0;628.0;570.0;484.0;406.0;77.0;86.0;66.0;17.0;3.0;0.0;342.0;146.0;71.0;75.0;196.0;102.0;94.0;228.0;58.0;9.2;763.0;45.1;41.0
21;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2012;1357.0;609.0;542.0;456.0;379.0;76.0;86.0;66.0;19.0;1.0;0.0;325.0;133.0;61.0;72.0;192.0;102.0;90.0;217.0;67.0;11.0;749.0;44.8;39.9
22;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2013;1562.0;687.0;593.0;488.0;399.0;89.0;105.0;80.0;22.0;4.0;0.0;375.0;154.0;84.0;70.0;221.0;123.0;98.0;219.0;94.0;13.7;874.0;44.0;38.0
23;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2014;1541.0;639.0;540.0;448.0;354.0;94.0;92.0;70.0;18.0;3.0;0.0;353.0;149.0;79.0;70.0;204.0;115.0;89.0;187.0;99.0;15.5;902.0;41.5;35.0
24;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2003;9090.0;7215.0;6884.0;6046.0;5033.0;1012.0;839.0;502.0;296.0;42.0;0.0;2877.0;1308.0;739.0;569.0;1568.0;778.0;791.0;4008.0;330.0;4.6;1875.0;79.4;75.7
25;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2004;9120.0;7253.0;6874.0;5997.0;4948.0;1048.0;877.0;532.0;303.0;41.0;0.0;2904.0;1310.0;741.0;570.0;1593.0;803.0;790.0;3970.0;379.0;5.2;1868.0;79.5;75.4
26;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2005;9173.0;7350.0;6946.0;6058.0;4945.0;1113.0;888.0;546.0;300.0;42.0;0.0;2990.0;1345.0;752.0;593.0;1645.0;809.0;836.0;3957.0;404.0;5.5;1823.0;80.1;75.7
27;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2006;9224.0;7420.0;7083.0;6147.0;4934.0;1213.0;936.0;584.0;309.0;43.0;0.0;3024.0;1354.0;748.0;606.0;1670.0;813.0;857.0;4059.0;337.0;4.5;1804.0;80.4;76.8
28;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2007;;;;;;;;;;;;;;;;;;;;;;;;
29;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2008;;;;;;;;;;;;;;;;;;;;;;;;
30;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2009;9355.0;7763.0;7440.0;6388.0;4955.0;1433.0;1051.0;702.0;316.0;34.0;0.0;3306.0;1369.0;755.0;614.0;1937.0;955.0;982.0;4133.0;324.0;4.2;1592.0;83.0;79.5
31;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2010;9535.0;7882.0;7510.0;6460.0;5102.0;1359.0;1049.0;710.0;296.0;43.0;0.0;3409.0;1381.0;765.0;617.0;2028.0;1015.0;1012.0;4100.0;372.0;4.7;1653.0;82.7;78.8
32;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2011;9602.0;7966.0;7594.0;6532.0;5241.0;1291.0;1062.0;733.0;286.0;43.0;0.0;3499.0;1411.0;776.0;635.0;2088.0;1028.0;1060.0;4095.0;372.0;4.7;1636.0;83.0;79.1
33;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2012;9634.0;8075.0;7632.0;6543.0;5181.0;1362.0;1089.0;769.0;276.0;44.0;0.0;3556.0;1435.0;800.0;636.0;2120.0;1028.0;1092.0;4076.0;444.0;5.5;1559.0;83.8;79.2
34;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2013;9452.0;8063.0;7517.0;6412.0;4968.0;1444.0;1105.0;805.0;265.0;35.0;0.0;3551.0;1425.0;819.0;606.0;2126.0;1043.0;1083.0;3966.0;546.0;6.8;1389.0;85.3;79.5
35;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2014;9439.0;8045.0;7496.0;6381.0;4878.0;1503.0;1114.0;796.0;282.0;36.0;0.0;3499.0;1381.0;819.0;563.0;2117.0;1012.0;1106.0;3997.0;549.0;6.8;1395.0;85.2;79.4
36;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;2003;1921.0;1326.0;1195.0;1160.0;673.0;487.0;35.0;27.0;2.0;6.0;0.0;761.0;550.0;428.0;122.0;211.0;83.0;128.0;434.0;131.0;9.9;595.0;69.0;62.2
