ID;Functions;Providers;Periods;HealthAndSocialCareExpenditure_1
0;Total expenditure on health and care;Total health care providers;2021;129060
1;Total expenditure on health and care;Total health care providers;2022;132858
2;Total expenditure on health and care;Total health care providers;2023;142824
3;Total expenditure on health and care;HP1: Hospitals;2021;36889
4;Total expenditure on health and care;HP1: Hospitals;2022;37937
5;Total expenditure on health and care;HP1: Hospitals;2023;40611
6;Total expenditure on health and care;HP11: General and university hospitals;2021;29075
7;Total expenditure on health and care;HP11: General and university hospitals;2022;29641
8;Total expenditure on health and care;HP11: General and university hospitals;2023;31534
9;Total expenditure on health and care;HP12: Mental health institutions,;2021;6366
10;Total expenditure on health and care;HP12: Mental health institutions,;2022;6824
11;Total expenditure on health and care;HP12: Mental health institutions,;2023;7494
12;Total expenditure on health and care;HP13: Specialised hospitals;2021;1448
13;Total expenditure on health and care;HP13: Specialised hospitals;2022;1473
14;Total expenditure on health and care;HP13: Specialised hospitals;2023;1583
15;Total expenditure on health and care;HP2: Nursing and residential care facil.;2021;32532
16;Total expenditure on health and care;HP2: Nursing and residential care facil.;2022;33136
17;Total expenditure on health and care;HP2: Nursing and residential care facil.;2023;36114
18;Total expenditure on health and care;HP21: Nursing care facilities;2021;21443
19;Total expenditure on health and care;HP21: Nursing care facilities;2022;21686
20;Total expenditure on health and care;HP21: Nursing care facilities;2023;23711
21;Total expenditure on health and care;HP22-29: Facilities for the disabled;2021;11089
22;Total expenditure on health and care;HP22-29: Facilities for the disabled;2022;11450
23;Total expenditure on health and care;HP22-29: Facilities for the disabled;2023;12403
24;Total expenditure on health and care;HP3: Providers of ambulatory health care;2021;19720
25;Total expenditure on health and care;HP3: Providers of ambulatory health care;2022;21264
26;Total expenditure on health and care;HP3: Providers of ambulatory health care;2023;23095
27;Total expenditure on health and care;HP31: Medical practices;2021;3981
28;Total expenditure on health and care;HP31: Medical practices;2022;3939
29;Total expenditure on health and care;HP31: Medical practices;2023;4323
30;Total expenditure on health and care;HP32: Dental practices;2021;3080
31;Total expenditure on health and care;HP32: Dental practices;2022;3129
32;Total expenditure on health and care;HP32: Dental practices;2023;3400
33;Total expenditure on health and care;HP33 : Other health care practitioners;2021;6488
34;Total expenditure on health and care;HP33 : Other health care practitioners;2022;6990
35;Total expenditure on health and care;HP33 : Other health care practitioners;2023;7501
36;Total expenditure on health and care;HP34: Ambulatory health care centres;2021;4794
37;Total expenditure on health and care;HP34: Ambulatory health care centres;2022;5653
38;Total expenditure on health and care;HP34: Ambulatory health care centres;2023;6257
39;Total expenditure on health and care;HP35: Providers home healthcare services;2021;1376
40;Total expenditure on health and care;HP35: Providers home healthcare services;2022;1552
41;Total expenditure on health and care;HP35: Providers home healthcare services;2023;1614
42;Total expenditure on health and care;HP4: Providers of ancillary services;2021;1122
43;Total expenditure on health and care;HP4: Providers of ancillary services;2022;934
44;Total expenditure on health and care;HP4: Providers of ancillary services;2023;878
45;Total expenditure on health and care;HP41: Patient transportation, emergency;2021;501
46;Total expenditure on health and care;HP41: Patient transportation, emergency;2022;488
