ID;Arbeidspositie;ArbeidspositieVoorgaandePeriode;Persoonskenmerken;Perioden;BeroepsEnNietBeroepsbevolking_1
0;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2013 1e kwartaal;12617.0
1;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2013 2e kwartaal;12631.0
2;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2013 3e kwartaal;12645.0
3;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2013 4e kwartaal;12659.0
4;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2014 1e kwartaal;12665.0
5;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2014 2e kwartaal;12665.0
6;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2014 3e kwartaal;12664.0
7;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2014 4e kwartaal;12664.0
8;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2015 1e kwartaal;12669.0
9;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2015 2e kwartaal;12680.0
10;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2015 3e kwartaal;12691.0
11;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2015 4e kwartaal;12701.0
12;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2016 1e kwartaal;12722.0
13;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2016 2e kwartaal;12753.0
14;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2016 3e kwartaal;12783.0
15;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2016 4e kwartaal;12814.0
16;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2017 1e kwartaal;12840.0
17;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2017 2e kwartaal;12860.0
18;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2017 3e kwartaal;12880.0
19;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2017 4e kwartaal;12901.0
20;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2018 1e kwartaal;12917.0
21;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2018 2e kwartaal;12930.0
22;Beroeps- en niet beroepsbevolking;Beroeps- en niet beroepsbevolking;Totaal personen;2018 3e kwartaal;12943.0
