ID;Geslacht;Leeftijd;Onderwijsniveau;Onderwijsvolgend;Onderwijskenmerken;Perioden;DeelnemersLevenLangOntwikkelen_1
0;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Totaal personen;2021;4298
1;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Totaal personen;2022;4291
2;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Totaal personen;2023;4311
3;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Volgt bekostigd onderwijs;2021;1866
4;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Volgt bekostigd onderwijs;2022;1881
5;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Volgt bekostigd onderwijs;2023;1860
6;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Volgt niet-bekostigd onderwijs;2021;2432
7;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Volgt niet-bekostigd onderwijs;2022;2410
8;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Volgt niet-bekostigd onderwijs;2023;2451
9;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Volgt onderwijs, bekostiging onbekend;2021;0
10;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Volgt onderwijs, bekostiging onbekend;2022;0
11;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Volgt onderwijs, bekostiging onbekend;2023;0
12;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 week of korter;2021;716
13;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 week of korter;2022;682
14;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 week of korter;2023;710
15;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 week tot 6 maanden;2021;735
16;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 week tot 6 maanden;2022;707
17;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 week tot 6 maanden;2023;683
18;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 tot 4 weken;2021;218
19;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 tot 4 weken;2022;201
20;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 tot 4 weken;2023;189
21;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 tot 3 maanden;2021;321
22;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 tot 3 maanden;2022;304
23;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 tot 3 maanden;2023;290
24;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 3 tot 6 maanden;2021;197
25;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 3 tot 6 maanden;2022;203
26;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 3 tot 6 maanden;2023;205
27;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 6 tot 12 maanden;2021;257
28;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 6 tot 12 maanden;2022;258
29;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 6 tot 12 maanden;2023;298
30;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 12 maanden of langer;2021;2315
31;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 12 maanden of langer;2022;2321
32;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 12 maanden of langer;2023;2295
33;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 tot 2 jaar;2021;299
34;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 tot 2 jaar;2022;306
35;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 1 tot 2 jaar;2023;337
36;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 2 tot 3 jaar;2021;217
37;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 2 tot 3 jaar;2022;227
38;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur 2 tot 3 jaar;2023;227
39;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur langer dan 3 jaar;2021;1799
40;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur langer dan 3 jaar;2022;1788
41;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur langer dan 3 jaar;2023;1731
42;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur onbekend;2021;275
43;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur onbekend;2022;322
44;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Opleidingsduur onbekend;2023;326
45;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Act.ond.niv: Basisonderwijs, vmbo, mbo;2021;238
46;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Act.ond.niv: Basisonderwijs, vmbo, mbo;2022;260
47;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Act.ond.niv: Basisonderwijs, vmbo, mbo;2023;310
48;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Act.ond.niveau: 11 Basisonderwijs;2021;30
49;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Act.ond.niveau: 11 Basisonderwijs;2022;30
50;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Act.ond.niveau: 11 Basisonderwijs;2023;41
51;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Act.ond.niveau: 12 Vmbo, mbo1, ...;2021;207
52;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Act.ond.niveau: 12 Vmbo, mbo1, ...;2022;230
53;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Act.ond.niveau: 12 Vmbo, mbo1, ...;2023;269
54;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Act.ond.niv: Havo, vwo, mbo2-4;2021;946
55;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Act.ond.niv: Havo, vwo, mbo2-4;2022;965
56;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Act.ond.niv: Havo, vwo, mbo2-4;2023;1012
57;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Totaal;Act.ond.niveau: 21 Havo, vwo, mbo2-4;2021;946
