ID;Besteding;CPIReeksen;Perioden;Prijsindexcijfers_1;Maandmutatie_2;Jaarmutatie_3;Wegingscoefficienten_4
0;0   Totaal bestedingen;CPI alle huishoudens;1996 januari;100.6;;;100000
1;0   Totaal bestedingen;CPI alle huishoudens;1996 februari;101.0;0.4;;100000
2;0   Totaal bestedingen;CPI alle huishoudens;1996 maart;102.0;1.0;;100000
3;0   Totaal bestedingen;CPI alle huishoudens;1996 april;102.3;0.3;;100000
4;0   Totaal bestedingen;CPI alle huishoudens;1996 mei;102.0;-0.3;;100000
5;0   Totaal bestedingen;CPI alle huishoudens;1996 juni;101.6;-0.4;;100000
6;0   Totaal bestedingen;CPI alle huishoudens;1996 juli;101.9;0.3;;100000
7;0   Totaal bestedingen;CPI alle huishoudens;1996 augustus;101.7;-0.2;;100000
8;0   Totaal bestedingen;CPI alle huishoudens;1996 september;102.7;1.0;;100000
9;0   Totaal bestedingen;CPI alle huishoudens;1996 oktober;102.9;0.2;;100000
10;0   Totaal bestedingen;CPI alle huishoudens;1996 november;102.8;-0.1;;100000
11;0   Totaal bestedingen;CPI alle huishoudens;1996 december;102.7;-0.1;;100000
12;0   Totaal bestedingen;CPI alle huishoudens;1996;102.0;;;100000
13;0   Totaal bestedingen;CPI alle huishoudens;1997 januari;102.8;0.1;2.2;100000
14;0   Totaal bestedingen;CPI alle huishoudens;1997 februari;103.0;0.2;2.0;100000
15;0   Totaal bestedingen;CPI alle huishoudens;1997 maart;103.8;0.8;1.8;100000
16;0   Totaal bestedingen;CPI alle huishoudens;1997 april;103.9;0.1;1.6;100000
17;0   Totaal bestedingen;CPI alle huishoudens;1997 mei;104.2;0.3;2.2;100000
18;0   Totaal bestedingen;CPI alle huishoudens;1997 juni;103.6;-0.6;2.0;100000
19;0   Totaal bestedingen;CPI alle huishoudens;1997 juli;104.0;0.4;2.1;100000
20;0   Totaal bestedingen;CPI alle huishoudens;1997 augustus;104.3;0.3;2.6;100000
21;0   Totaal bestedingen;CPI alle huishoudens;1997 september;105.2;0.9;2.4;100000
22;0   Totaal bestedingen;CPI alle huishoudens;1997 oktober;105.3;0.1;2.3;100000
23;0   Totaal bestedingen;CPI alle huishoudens;1997 november;105.4;0.1;2.5;100000
24;0   Totaal bestedingen;CPI alle huishoudens;1997 december;105.1;-0.3;2.3;100000
25;0   Totaal bestedingen;CPI alle huishoudens;1997;104.2;;2.2;100000
26;0   Totaal bestedingen;CPI alle huishoudens;1998 januari;104.7;-0.4;1.8;100000
27;0   Totaal bestedingen;CPI alle huishoudens;1998 februari;105.3;0.6;2.2;100000
28;0   Totaal bestedingen;CPI alle huishoudens;1998 maart;106.2;0.9;2.3;100000
29;0   Totaal bestedingen;CPI alle huishoudens;1998 april;106.4;0.2;2.4;100000
30;0   Totaal bestedingen;CPI alle huishoudens;1998 mei;106.3;-0.1;2.0;100000
31;0   Totaal bestedingen;CPI alle huishoudens;1998 juni;105.9;-0.4;2.2;100000
32;0   Totaal bestedingen;CPI alle huishoudens;1998 juli;106.1;0.2;2.0;100000
33;0   Totaal bestedingen;CPI alle huishoudens;1998 augustus;106.1;0.0;1.7;100000
34;0   Totaal bestedingen;CPI alle huishoudens;1998 september;107.0;0.8;1.7;100000
35;0   Totaal bestedingen;CPI alle huishoudens;1998 oktober;107.3;0.3;1.9;100000
36;0   Totaal bestedingen;CPI alle huishoudens;1998 november;107.2;-0.1;1.7;100000
37;0   Totaal bestedingen;CPI alle huishoudens;1998 december;106.9;-0.3;1.7;100000
38;0   Totaal bestedingen;CPI alle huishoudens;1998;106.3;;2.0;100000
39;0   Totaal bestedingen;CPI alle huishoudens;1999 januari;107.0;0.1;2.2;100000
40;0   Totaal bestedingen;CPI alle huishoudens;1999 februari;107.5;0.5;2.1;100000
41;0   Totaal bestedingen;CPI alle huishoudens;1999 maart;108.5;0.9;2.2;100000
42;0   Totaal bestedingen;CPI alle huishoudens;1999 april;108.7;0.2;2.2;100000
43;0   Totaal bestedingen;CPI alle huishoudens;1999 mei;108.7;0.0;2.3;100000
44;0   Totaal bestedingen;CPI alle huishoudens;1999 juni;108.3;-0.4;2.3;100000
45;0   Totaal bestedingen;CPI alle huishoudens;1999 juli;108.3;0.0;2.1;100000
46;0   Totaal bestedingen;CPI alle huishoudens;1999 augustus;108.9;0.6;2.6;100000
47;0   Totaal bestedingen;CPI alle huishoudens;1999 september;109.4;0.5;2.2;100000
48;0   Totaal bestedingen;CPI alle huishoudens;1999 oktober;109.5;0.1;2.1;100000
49;0   Totaal bestedingen;CPI alle huishoudens;1999 november;109.6;0.1;2.2;100000
50;0   Totaal bestedingen;CPI alle huishoudens;1999 december;109.2;-0.4;2.2;100000
51;0   Totaal bestedingen;CPI alle huishoudens;1999;108.6;;2.2;100000
52;0   Totaal bestedingen;CPI alle huishoudens;2000 januari;109.1;-0.1;2.0;100000
