ID;Geslacht;Niveau;Leerweg;Studierichting;Migratieachtergrond;Perioden;GediplomeerdenMbo_1
0;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Totaal;2015/'16;154473
1;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Totaal;2016/'17;157167
2;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Totaal;2017/'18;151780
3;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Totaal;2018/'19;153981
4;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Totaal;2019/'20;154637
5;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Totaal;2020/'21;157296
6;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Nederlandse achtergrond;2015/'16;114077
7;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Nederlandse achtergrond;2016/'17;116900
8;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Nederlandse achtergrond;2017/'18;111294
9;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Nederlandse achtergrond;2018/'19;111741
10;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Nederlandse achtergrond;2019/'20;111230
11;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Nederlandse achtergrond;2020/'21;111880
12;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Met migratieachtergrond;2015/'16;40151
13;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Met migratieachtergrond;2016/'17;40098
14;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Met migratieachtergrond;2017/'18;40369
15;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Met migratieachtergrond;2018/'19;42168
16;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Met migratieachtergrond;2019/'20;43321
17;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Met migratieachtergrond;2020/'21;45367
18;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Westerse migratieachtergrond;2015/'16;9255
19;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Westerse migratieachtergrond;2016/'17;8898
20;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Westerse migratieachtergrond;2017/'18;8764
21;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Westerse migratieachtergrond;2018/'19;8499
22;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Westerse migratieachtergrond;2019/'20;8721
23;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Westerse migratieachtergrond;2020/'21;9034
24;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Niet-westerse migratieachtergrond;2015/'16;30896
25;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Niet-westerse migratieachtergrond;2016/'17;31200
26;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Niet-westerse migratieachtergrond;2017/'18;31605
27;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Niet-westerse migratieachtergrond;2018/'19;33669
28;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Niet-westerse migratieachtergrond;2019/'20;34600
29;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Niet-westerse migratieachtergrond;2020/'21;36333
