ID;EigenaarOfHuurder;Huishoudkenmerken;Woningkenmerken;Marges;Perioden;TevredenheidMetDeHuidigeWoning_1;TevredenheidMetDeHuidigeWoonomgeving_2
0;Totaal;Particuliere huishoudens;Totaal woningen;Waarde;2002;89.2;84.3
1;Totaal;Particuliere huishoudens;Totaal woningen;Waarde;2006;89.7;85.0
2;Totaal;Particuliere huishoudens;Totaal woningen;Waarde;2009;90.0;83.4
3;Totaal;Particuliere huishoudens;Totaal woningen;Waarde;2012;89.0;84.1
4;Totaal;Particuliere huishoudens;Totaal woningen;Waarde;2015;86.9;82.0
5;Totaal;Particuliere huishoudens;Totaal woningen;Waarde;2018;84.6;83.3
6;Totaal;Particuliere huishoudens;Totaal woningen;Waarde;2021;85.6;83.8
7;Totaal;Particuliere huishoudens;Totaal woningen;Waarde;2024;82.5;82.6
8;Totaal;Particuliere huishoudens;Totaal woningen;Ondergrens 95%-interval;2002;88.9;84.0
9;Totaal;Particuliere huishoudens;Totaal woningen;Ondergrens 95%-interval;2006;89.4;84.6
10;Totaal;Particuliere huishoudens;Totaal woningen;Ondergrens 95%-interval;2009;89.6;83.0
11;Totaal;Particuliere huishoudens;Totaal woningen;Ondergrens 95%-interval;2012;88.6;83.7
12;Totaal;Particuliere huishoudens;Totaal woningen;Ondergrens 95%-interval;2015;86.6;81.6
13;Totaal;Particuliere huishoudens;Totaal woningen;Ondergrens 95%-interval;2018;84.2;83.0
14;Totaal;Particuliere huishoudens;Totaal woningen;Ondergrens 95%-interval;2021;85.1;83.4
15;Totaal;Particuliere huishoudens;Totaal woningen;Ondergrens 95%-interval;2024;82.0;82.1
16;Totaal;Particuliere huishoudens;Totaal woningen;Bovengrens 95%-interval;2002;89.4;84.6
17;Totaal;Particuliere huishoudens;Totaal woningen;Bovengrens 95%-interval;2006;90.0;85.3
18;Totaal;Particuliere huishoudens;Totaal woningen;Bovengrens 95%-interval;2009;90.2;83.7
19;Totaal;Particuliere huishoudens;Totaal woningen;Bovengrens 95%-interval;2012;89.3;84.4
20;Totaal;Particuliere huishoudens;Totaal woningen;Bovengrens 95%-interval;2015;87.3;82.4
21;Totaal;Particuliere huishoudens;Totaal woningen;Bovengrens 95%-interval;2018;84.9;83.7
22;Totaal;Particuliere huishoudens;Totaal woningen;Bovengrens 95%-interval;2021;86.0;84.2
23;Totaal;Particuliere huishoudens;Totaal woningen;Bovengrens 95%-interval;2024;82.9;83.0
24;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Waarde;2002;93.2;87.8
25;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Waarde;2006;93.6;87.8
26;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Waarde;2009;93.4;86.0
27;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Waarde;2012;92.6;87.1
28;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Waarde;2015;90.8;85.0
29;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Waarde;2018;88.7;86.5
30;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Waarde;2021;90.3;87.2
31;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Waarde;2024;87.9;85.8
32;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Ondergrens 95%-interval;2002;92.9;87.4
33;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Ondergrens 95%-interval;2006;93.3;87.4
34;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Ondergrens 95%-interval;2009;93.1;85.6
35;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Ondergrens 95%-interval;2012;92.2;86.7
36;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Ondergrens 95%-interval;2015;90.4;84.6
37;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Ondergrens 95%-interval;2018;88.3;86.1
38;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Ondergrens 95%-interval;2021;89.9;86.7
39;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Ondergrens 95%-interval;2024;87.4;85.4
40;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Bovengrens 95%-interval;2002;93.5;88.1
41;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Bovengrens 95%-interval;2006;93.9;88.2
42;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Bovengrens 95%-interval;2009;93.7;86.4
43;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Bovengrens 95%-interval;2012;92.9;87.5
44;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Bovengrens 95%-interval;2015;91.2;85.4
45;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Bovengrens 95%-interval;2018;89.1;86.9
46;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Bovengrens 95%-interval;2021;90.7;87.6
47;Totaal;Particuliere huishoudens;Woningtype: eengezinswoningen;Bovengrens 95%-interval;2024;88.3;86.3
48;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Waarde;2002;97.5;92.8
49;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Waarde;2006;97.7;92.5
50;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Waarde;2009;97.6;90.5
51;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Waarde;2012;96.5;91.4
52;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Waarde;2015;95.8;91.0
53;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Waarde;2018;95.1;92.4
54;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Waarde;2021;96.1;92.9
55;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Waarde;2024;93.8;92.0
56;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Ondergrens 95%-interval;2002;97.1;92.2
57;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Ondergrens 95%-interval;2006;97.2;91.8
58;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Ondergrens 95%-interval;2009;97.1;89.7
59;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Ondergrens 95%-interval;2012;96.0;90.6
60;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Ondergrens 95%-interval;2015;95.2;90.2
61;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Ondergrens 95%-interval;2018;94.6;91.7
62;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Ondergrens 95%-interval;2021;95.5;92.2
63;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Ondergrens 95%-interval;2024;93.1;91.2
64;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Bovengrens 95%-interval;2002;97.8;93.3
65;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Bovengrens 95%-interval;2006;98.1;93.2
66;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Bovengrens 95%-interval;2009;98.0;91.3
67;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Bovengrens 95%-interval;2012;97.0;92.1
68;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Bovengrens 95%-interval;2015;96.3;91.7
69;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Bovengrens 95%-interval;2018;95.7;93.0
70;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Bovengrens 95%-interval;2021;96.6;93.6
71;Totaal;Particuliere huishoudens;Woningtype: vrijstaande woning;Bovengrens 95%-interval;2024;94.5;92.7
72;Totaal;Particuliere huishoudens;Woningtype: 2-onder-1-kapwoning;Waarde;2002;96.4;92.3
73;Totaal;Particuliere huishoudens;Woningtype: 2-onder-1-kapwoning;Waarde;2006;96.0;90.8
