ID;LocusOfControlUCI;SectorBranchesSIC2008;Periods;EnterprisesWithEmployees_1;NumberOfJobs_2;Men_3;Women_4;YoungerThan50_5;k_50YearsOrOlder_6;NativeDutchBackground_7;ForeignBackground_8;NewEntrants_9;Stayers_10;Switchers_11;HighPaid_12;MediumPaid_13;LowPaid_14;TaxableAnnualWagePerJob_15
0;Domestically controlled;A-U All economic activities;2008;481205;6960;53;47;76;24;81;19;10;74;16;18;50;32;40
1;Domestically controlled;A-U All economic activities;2009;455615;6847;52;48;75;25;81;19;9;77;14;17;51;33;40
2;Domestically controlled;A-U All economic activities;2010;419360;6849;51;49;74;26;81;19;10;80;10;17;50;33;41
3;Domestically controlled;A-U All economic activities;2011;449785;6910;51;49;73;27;82;18;10;79;11;17;50;33;42
4;Domestically controlled;Agriculture, mining and energy;2008;17125;157;72;28;76;24;83;17;13;76;11;21;47;32;39
5;Domestically controlled;Agriculture, mining and energy;2009;16080;157;72;28;76;24;82;18;12;77;12;18;47;35;40
6;Domestically controlled;Agriculture, mining and energy;2010;15905;161;72;28;75;25;83;17;11;80;9;19;48;32;41
7;Domestically controlled;Agriculture, mining and energy;2011;16470;165;72;28;74;26;83;17;13;78;9;20;48;32;42
8;Domestically controlled;C Manufacturing;2008;26185;615;78;22;72;28;82;18;6;84;10;20;63;17;38
9;Domestically controlled;C Manufacturing;2009;26120;620;77;23;71;29;82;18;4;87;9;18;63;19;39
10;Domestically controlled;C Manufacturing;2010;24130;608;77;23;69;31;82;18;5;88;7;18;62;20;39
11;Domestically controlled;C Manufacturing;2011;24490;590;77;23;68;32;82;18;6;86;8;18;62;20;40
12;Domestically controlled;F Construction;2008;33235;382;90;10;74;26;90;10;5;82;13;24;66;10;41
13;Domestically controlled;F Construction;2009;32025;379;90;10;74;26;90;10;4;84;12;21;68;11;42
14;Domestically controlled;F Construction;2010;29625;375;90;10;73;27;90;10;4;88;8;22;67;11;43
15;Domestically controlled;F Construction;2011;30065;370;89;11;72;28;90;10;6;85;9;22;67;11;44
16;Domestically controlled;46 Wholesale trade (no motor vehicles);2008;37255;353;70;30;78;22;83;17;8;77;16;23;57;20;41
17;Domestically controlled;46 Wholesale trade (no motor vehicles);2009;35650;353;70;30;78;22;83;17;6;81;12;21;57;22;42
18;Domestically controlled;46 Wholesale trade (no motor vehicles);2010;33390;352;71;29;77;23;83;17;7;83;10;21;57;22;42
