ID;Geslacht;Onderwijssoort;Cluster;Herkomstland;GeboortelandOuders;Regiokenmerken;Perioden;LeerlingenOpSpecialeScholen_1
0;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Nederland;2011/'12;70150.0
1;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Nederland;2012/'13;70420.0
2;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Nederland;2013/'14;71230.0
3;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Nederland;2014/'15;70980.0
4;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Nederland;2015/'16;68200.0
5;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Nederland;2016/'17;67050.0
6;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Nederland;2017/'18;67520.0
7;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Nederland;2018/'19;68430.0
8;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Nederland;2019/'20;69820.0
9;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Nederland;2020/'21;70210.0
10;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Nederland;2021/'22;71600.0
11;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Nederland;2022/'23;72140.0
12;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Nederland;2023/'24;73540.0
13;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Nederland;2024/'25;74740.0
14;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Noord-Nederland (LD);2011/'12;5890.0
15;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Noord-Nederland (LD);2012/'13;5840.0
16;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Noord-Nederland (LD);2013/'14;5880.0
17;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Noord-Nederland (LD);2014/'15;6000.0
18;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Noord-Nederland (LD);2015/'16;5660.0
19;Totaal mannen en vrouwen;Totaal (voorgezet) speciaal onderwijs ;Totaal;Totaal;Totaal;Noord-Nederland (LD);2016/'17;5520.0
