ID;Geslacht;Leeftijd;TypeInstelling;Zorgkenmerken;Diagnose;Perioden;GeslotenDBCS_1;GeopendeDBCS_2;LopendeDBCS_3
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle diagnoses;2008;14745115.0;14787965.0;19614895.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle diagnoses;2009;15227710.0;15450330.0;20320130.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle diagnoses;2010;15977105.0;16178455.0;21270860.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle diagnoses;2011;16976965.0;16665270.0;21943005.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle diagnoses;2012;15894295.0;18419210.0;23344215.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle diagnoses;2013;17535270.0;17673005.0;24993930.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle diagnoses;2014;17416185.0;17415475.0;24903020.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle diagnoses;2015;20285895.0;17834750.0;25321600.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle diagnoses;2016;20248235.0;20311275.0;25346975.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle diagnoses;2017;20363065.0;20355870.0;25450750.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle diagnoses;2018;20742050.0;20856025.0;25939730.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle diagnoses;2019;21197830.0;21241635.0;26435605.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle diagnoses;2020;19782080.0;19606360.0;24840465.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle diagnoses;2021;20569070.0;20855315.0;25909990.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG Totaal oogheelkunde;2008;1759320.0;1758725.0;2244540.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG Totaal oogheelkunde;2009;1721200.0;1724825.0;2210045.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG Totaal oogheelkunde;2010;1777475.0;1816510.0;2305355.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG Totaal oogheelkunde;2011;1921065.0;1875095.0;2398845.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG Totaal oogheelkunde;2012;1721855.0;2073830.0;2556125.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG Totaal oogheelkunde;2013;1931380.0;1910900.0;2743430.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG Totaal oogheelkunde;2014;1885090.0;1841895.0;2668360.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG Totaal oogheelkunde;2015;2096450.0;1814030.0;2609470.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG Totaal oogheelkunde;2016;2077690.0;2077425.0;2590450.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG Totaal oogheelkunde;2017;2104845.0;2107050.0;2619525.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG Totaal oogheelkunde;2018;2153400.0;2159930.0;2674390.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG Totaal oogheelkunde;2019;2233540.0;2228270.0;2749090.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG Totaal oogheelkunde;2020;2010570.0;1992175.0;2507540.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG Totaal oogheelkunde;2021;2188740.0;2209130.0;2705895.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG1 Totaal geen pathologie;2008;135235.0;135405.0;152615.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG1 Totaal geen pathologie;2009;146955.0;149470.0;166855.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG1 Totaal geen pathologie;2010;162780.0;165990.0;185885.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG1 Totaal geen pathologie;2011;189940.0;188410.0;211230.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG1 Totaal geen pathologie;2012;141265.0;180445.0;202390.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG1 Totaal geen pathologie;2013;161090.0;155535.0;217765.0
34;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG1 Totaal geen pathologie;2014;148910.0;147860.0;204560.0
35;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG1 Totaal geen pathologie;2015;151195.0;129050.0;187640.0
36;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG1 Totaal geen pathologie;2016;131540.0;127160.0;163820.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG1 Totaal geen pathologie;2017;123445.0;122310.0;156400.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG1 Totaal geen pathologie;2018;121805.0;121325.0;154260.0
39;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG1 Totaal geen pathologie;2019;121495.0;120145.0;152585.0
40;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG1 Totaal geen pathologie;2020;96745.0;94775.0;125855.0
41;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG1 Totaal geen pathologie;2021;106090.0;105890.0;134995.0
42;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG2 Totaal visus/refractie;2008;215550.0;214655.0;274560.0
43;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG2 Totaal visus/refractie;2009;191900.0;193200.0;252210.0
44;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG2 Totaal visus/refractie;2010;195015.0;198920.0;259235.0
45;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG2 Totaal visus/refractie;2011;198760.0;188960.0;252465.0
46;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG2 Totaal visus/refractie;2012;165345.0;197250.0;252185.0
47;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG2 Totaal visus/refractie;2013;183955.0;166415.0;258265.0
48;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG2 Totaal visus/refractie;2014;152100.0;138745.0;215040.0
49;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG2 Totaal visus/refractie;2015;142710.0;114675.0;177670.0
50;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG2 Totaal visus/refractie;2016;125290.0;124015.0;158165.0
51;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG2 Totaal visus/refractie;2017;124645.0;122490.0;156770.0
52;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG2 Totaal visus/refractie;2018;116395.0;114705.0;146810.0
53;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG2 Totaal visus/refractie;2019;111170.0;108325.0;138725.0
54;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG2 Totaal visus/refractie;2020;85580.0;83925.0;111465.0
55;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG2 Totaal visus/refractie;2021;92290.0;91250.0;117120.0
56;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG3 Totaal scheelzien/bin.functie;2008;53085.0;52825.0;80155.0
57;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG3 Totaal scheelzien/bin.functie;2009;52500.0;51455.0;78530.0
58;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG3 Totaal scheelzien/bin.functie;2010;52930.0;54120.0;80145.0
59;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG3 Totaal scheelzien/bin.functie;2011;55975.0;51745.0;78655.0
60;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG3 Totaal scheelzien/bin.functie;2012;53905.0;59150.0;82370.0
61;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG3 Totaal scheelzien/bin.functie;2013;56520.0;53605.0;82955.0
62;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG3 Totaal scheelzien/bin.functie;2014;50780.0;46735.0;73415.0
63;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG3 Totaal scheelzien/bin.functie;2015;52645.0;41390.0;65085.0
64;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG3 Totaal scheelzien/bin.functie;2016;42875.0;41715.0;53890.0
65;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG3 Totaal scheelzien/bin.functie;2017;40670.0;40420.0;51795.0
66;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG3 Totaal scheelzien/bin.functie;2018;39770.0;38865.0;49990.0
67;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG3 Totaal scheelzien/bin.functie;2019;37980.0;37405.0;47620.0
68;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG3 Totaal scheelzien/bin.functie;2020;30905.0;30325.0;39965.0
69;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG3 Totaal scheelzien/bin.functie;2021;32610.0;32510.0;41565.0
70;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG4 Totaal oogleden;2008;80315.0;80040.0;96830.0
71;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG4 Totaal oogleden;2009;78445.0;77790.0;94305.0
72;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG4 Totaal oogleden;2010;81385.0;83055.0;98910.0
73;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG4 Totaal oogleden;2011;88040.0;85375.0;102785.0
74;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG4 Totaal oogleden;2012;78460.0;91050.0;105765.0
75;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG4 Totaal oogleden;2013;83855.0;82975.0;110380.0
76;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG4 Totaal oogleden;2014;78360.0;77615.0;103715.0
77;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG4 Totaal oogleden;2015;81445.0;74770.0;100810.0
78;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG4 Totaal oogleden;2016;82575.0;82725.0;102160.0
79;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG4 Totaal oogleden;2017;87025.0;88870.0;108050.0
80;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG4 Totaal oogleden;2018;87170.0;86470.0;107485.0
81;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG4 Totaal oogleden;2019;87145.0;86695.0;107000.0
82;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;OG4 Totaal oogleden;2020;72660.0;71110.0;90960.0
