ID;TravelMotives;Population;TravelModes;Margins;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3;Trips_4;DistanceTravelled_5;TimeTravelled_6
0;Total;Population 6 years or older;Total;Value;The Netherlands;2018;2.78;36.16;74.6;1015.0;13200.0;453.8
1;Total;Population 6 years or older;Total;Value;The Netherlands;2019;2.71;36.0;74.39;989.0;13140.0;452.6
2;Total;Population 6 years or older;Total;Value;The Netherlands;2020;2.35;24.88;61.96;861.0;9105.0;378.0
3;Total;Population 6 years or older;Total;Value;The Netherlands;2021;2.51;27.24;69.85;915.0;9942.0;424.9
4;Total;Population 6 years or older;Total;Value;The Netherlands;2022;2.7;30.21;72.69;984.0;11027.0;442.2
5;Total;Population 6 years or older;Total;Value;The Netherlands;2023;2.72;31.97;73.51;992.0;11669.0;447.2
6;Total;Population 6 years or older;Total;Value;Noord-Nederland (LD);2018;2.77;40.99;74.28;1011.0;14962.0;451.9
7;Total;Population 6 years or older;Total;Value;Noord-Nederland (LD);2019;2.68;41.33;74.88;979.0;15086.0;455.5
8;Total;Population 6 years or older;Total;Value;Noord-Nederland (LD);2020;2.4;28.18;61.99;878.0;10314.0;378.1
9;Total;Population 6 years or older;Total;Value;Noord-Nederland (LD);2021;2.5;31.52;70.2;911.0;11506.0;427.1
10;Total;Population 6 years or older;Total;Value;Noord-Nederland (LD);2022;2.68;35.19;74.38;980.0;12843.0;452.5
11;Total;Population 6 years or older;Total;Value;Noord-Nederland (LD);2023;2.72;35.08;72.11;993.0;12803.0;438.6
12;Total;Population 6 years or older;Total;Value;Oost-Nederland (LD);2018;2.84;38.75;74.15;1038.0;14142.0;451.1
13;Total;Population 6 years or older;Total;Value;Oost-Nederland (LD);2019;2.76;38.61;74.06;1008.0;14091.0;450.6
14;Total;Population 6 years or older;Total;Value;Oost-Nederland (LD);2020;2.43;27.24;62.24;889.0;9970.0;379.7
15;Total;Population 6 years or older;Total;Value;Oost-Nederland (LD);2021;2.57;29.57;69.55;939.0;10794.0;423.1
16;Total;Population 6 years or older;Total;Value;Oost-Nederland (LD);2022;2.82;32.97;73.49;1030.0;12032.0;447.1
17;Total;Population 6 years or older;Total;Value;Oost-Nederland (LD);2023;2.82;34.85;73.35;1030.0;12719.0;446.2
18;Total;Population 6 years or older;Total;Value;West-Nederland (LD);2018;2.75;34.57;76.13;1005.0;12618.0;463.2
19;Total;Population 6 years or older;Total;Value;West-Nederland (LD);2019;2.68;34.61;76.31;977.0;12632.0;464.2
20;Total;Population 6 years or older;Total;Value;West-Nederland (LD);2020;2.27;23.41;62.4;830.0;8568.0;380.6
21;Total;Population 6 years or older;Total;Value;West-Nederland (LD);2021;2.46;25.82;71.02;897.0;9425.0;432.0
22;Total;Population 6 years or older;Total;Value;West-Nederland (LD);2022;2.63;28.0;72.55;959.0;10219.0;441.4
23;Total;Population 6 years or older;Total;Value;West-Nederland (LD);2023;2.64;30.0;74.27;963.0;10948.0;451.8
24;Total;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2018;2.79;34.91;71.77;1018.0;12741.0;436.6
25;Total;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2019;2.74;34.04;70.18;1001.0;12425.0;426.9
26;Total;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2020;2.44;24.29;60.69;895.0;8889.0;370.2
27;Total;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2021;2.55;26.1;67.35;932.0;9527.0;409.7
28;Total;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2022;2.73;30.15;71.41;998.0;11004.0;434.4
29;Total;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2023;2.79;32.12;72.59;1019.0;11725.0;441.6
30;Total;Population 6 years or older;Total;Value;Groningen (PV);2018;2.81;37.46;73.7;1024.0;13675.0;448.4
31;Total;Population 6 years or older;Total;Value;Groningen (PV);2019;2.63;39.76;75.17;961.0;14514.0;457.3
32;Total;Population 6 years or older;Total;Value;Groningen (PV);2020;2.27;26.74;61.89;831.0;9786.0;377.5
33;Total;Population 6 years or older;Total;Value;Groningen (PV);2021;2.41;30.47;69.22;880.0;11121.0;421.1
34;Total;Population 6 years or older;Total;Value;Groningen (PV);2022;2.62;33.62;71.98;958.0;12272.0;437.9
35;Total;Population 6 years or older;Total;Value;Groningen (PV);2023;2.72;31.42;71.93;994.0;11468.0;437.6
36;Total;Population 6 years or older;Total;Value;Fryslân (PV);2018;2.7;42.6;75.7;986.0;15548.0;460.5
37;Total;Population 6 years or older;Total;Value;Fryslân (PV);2019;2.63;43.52;75.01;958.0;15886.0;456.3
38;Total;Population 6 years or older;Total;Value;Fryslân (PV);2020;2.51;29.52;63.43;918.0;10804.0;386.9
39;Total;Population 6 years or older;Total;Value;Fryslân (PV);2021;2.49;32.12;69.53;908.0;11725.0;423.0
40;Total;Population 6 years or older;Total;Value;Fryslân (PV);2022;2.73;36.4;76.09;998.0;13286.0;462.9
41;Total;Population 6 years or older;Total;Value;Fryslân (PV);2023;2.73;36.4;72.3;995.0;13285.0;439.8
42;Total;Population 6 years or older;Total;Value;Drenthe (PV);2018;2.82;43.08;73.11;1028.0;15725.0;444.7
43;Total;Population 6 years or older;Total;Value;Drenthe (PV);2019;2.81;40.32;74.35;1027.0;14716.0;452.3
44;Total;Population 6 years or older;Total;Value;Drenthe (PV);2020;2.4;28.14;60.2;880.0;10298.0;367.2
45;Total;Population 6 years or older;Total;Value;Drenthe (PV);2021;2.61;31.99;72.24;952.0;11675.0;439.5
46;Total;Population 6 years or older;Total;Value;Drenthe (PV);2022;2.69;35.45;75.0;982.0;12940.0;456.2
47;Total;Population 6 years or older;Total;Value;Drenthe (PV);2023;2.71;37.71;72.06;988.0;13763.0;438.4
48;Total;Population 6 years or older;Total;Value;Overijssel (PV);2018;2.87;37.98;72.15;1049.0;13861.0;438.9
49;Total;Population 6 years or older;Total;Value;Overijssel (PV);2019;2.8;38.69;72.65;1023.0;14121.0;441.9
50;Total;Population 6 years or older;Total;Value;Overijssel (PV);2020;2.42;26.06;61.9;886.0;9539.0;377.6
51;Total;Population 6 years or older;Total;Value;Overijssel (PV);2021;2.62;28.19;68.69;956.0;10288.0;417.8
52;Total;Population 6 years or older;Total;Value;Overijssel (PV);2022;2.86;31.95;71.46;1045.0;11662.0;434.7
53;Total;Population 6 years or older;Total;Value;Overijssel (PV);2023;2.89;34.21;72.18;1054.0;12487.0;439.1
54;Total;Population 6 years or older;Total;Value;Flevoland (PV);2018;2.69;42.97;76.5;980.0;15685.0;465.4
55;Total;Population 6 years or older;Total;Value;Flevoland (PV);2019;2.55;41.63;71.07;930.0;15197.0;432.4
56;Total;Population 6 years or older;Total;Value;Flevoland (PV);2020;2.24;30.09;61.66;820.0;11011.0;376.1
