ID;KenmerkenGebruikers;Cijfersoort;Perioden;HasjOfMarihuana_1;Cocaine_2;Amfetaminen_3;Ecstasy_4;Heroine_5;PrestatieverbeterendeMiddelen_6;LSD_7;HasjOfMarihuana_8;Cocaine_9;Amfetaminen_10;Ecstasy_11;Heroine_12;PrestatieverbeterendeMiddelen_13;LSD_14
0;Totaal;Percentages;2007;23.8;4.3;2.7;5.2;0.4;1.5;1.7;4.0;0.3;0.1;0.4;0.0;;0.0
1;Totaal;Percentages;2008;25.7;4.8;3.0;5.9;0.7;1.5;1.6;4.1;0.5;0.3;0.5;0.0;;0.0
2;Totaal;Percentages;2009;25.7;5.2;3.1;6.2;0.5;1.6;1.5;4.2;0.5;0.2;0.4;0.1;;0.0
3;Totaal;Ondergrens;2007;22.7;3.7;2.2;4.6;0.3;1.2;1.4;3.5;0.2;0.0;0.2;0.0;;0.0
4;Totaal;Ondergrens;2008;24.5;4.2;2.6;5.3;0.5;1.2;1.3;3.6;0.4;0.1;0.3;0.0;;0.0
5;Totaal;Ondergrens;2009;24.5;4.6;2.7;5.5;0.3;1.3;1.2;3.6;0.3;0.1;0.3;0.0;;0.0
6;Totaal;Bovengrens;2007;25.0;4.9;3.2;5.9;0.7;1.9;2.1;4.6;0.6;0.2;0.6;0.2;;0.2
7;Totaal;Bovengrens;2008;26.8;5.4;3.5;6.6;0.9;1.9;2.0;4.7;0.8;0.5;0.7;0.1;;0.0
8;Totaal;Bovengrens;2009;26.9;5.8;3.6;6.9;0.7;2.0;1.9;4.8;0.7;0.4;0.6;0.2;;0.2
9;Mannen;Percentages;2007;29.5;6.3;3.9;7.5;0.7;2.8;2.6;5.9;0.5;0.1;0.4;0.1;;0.0
10;Mannen;Percentages;2008;32.1;7.2;4.6;8.2;1.1;2.9;2.8;6.5;0.7;0.4;0.5;0.1;;0.0
11;Mannen;Percentages;2009;32.9;7.8;4.8;8.3;0.7;2.8;2.0;6.3;0.7;0.3;0.4;0.0;;0.0
12;Mannen;Ondergrens;2007;27.7;5.3;3.2;6.5;0.4;2.2;2.0;5.0;0.3;0.0;0.2;0.0;;0.0
13;Mannen;Ondergrens;2008;30.3;6.2;3.9;7.2;0.8;2.3;2.2;5.6;0.5;0.2;0.3;0.0;;0.0
14;Mannen;Ondergrens;2009;31.1;6.8;4.1;7.3;0.4;2.2;1.5;5.4;0.5;0.2;0.2;0.0;;0.0
15;Mannen;Bovengrens;2007;31.3;7.3;4.8;8.6;1.2;3.5;3.3;6.9;0.9;0.4;0.8;0.2;;0.2
16;Mannen;Bovengrens;2008;33.8;8.3;5.5;9.4;1.6;3.6;3.5;7.5;1.2;0.8;0.9;0.3;;0.0
17;Mannen;Bovengrens;2009;34.7;9.0;5.7;9.5;1.1;3.5;2.7;7.3;1.2;0.6;0.7;0.0;;0.3
18;Vrouwen;Percentages;2007;18.1;2.3;1.4;2.9;0.1;0.2;0.8;2.1;0.2;0.1;0.3;0.0;;0.0
19;Vrouwen;Percentages;2008;19.2;2.4;1.4;3.6;0.2;0.1;0.5;1.7;0.3;0.1;0.5;0.0;;0.0
20;Vrouwen;Percentages;2009;18.4;2.5;1.4;4.0;0.3;0.4;1.0;2.0;0.2;0.1;0.4;0.1;;0.1
21;Vrouwen;Ondergrens;2007;16.6;1.8;1.0;2.3;0.1;0.1;0.5;1.6;0.1;0.0;0.1;0.0;;0.0
22;Vrouwen;Ondergrens;2008;17.8;1.8;1.0;3.0;0.1;0.0;0.3;1.3;0.2;0.0;0.3;0.0;;0.0
23;Vrouwen;Ondergrens;2009;17.0;2.0;1.0;3.3;0.1;0.2;0.7;1.5;0.1;0.0;0.2;0.0;;0.0
24;Vrouwen;Bovengrens;2007;19.6;3.0;2.0;3.7;0.4;0.4;1.3;2.7;0.5;0.4;0.3;0.0;;0.0
25;Vrouwen;Bovengrens;2008;20.7;3.0;1.9;4.4;0.5;0.3;0.8;2.3;0.6;0.3;0.9;0.0;;0.0
26;Vrouwen;Bovengrens;2009;20.0;3.2;1.9;4.9;0.6;0.7;1.5;2.7;0.5;0.4;0.8;0.4;;0.4
27;Leeftijd: 15 tot 20 jaar;Percentages;2007;22.8;2.2;0.9;1.9;0.0;1.5;0.0;8.9;0.5;0.0;0.2;0.0;;0.0
28;Leeftijd: 15 tot 20 jaar;Percentages;2008;25.0;1.7;1.4;2.9;0.0;0.8;0.8;6.4;0.1;0.0;0.0;0.0;;0.0
29;Leeftijd: 15 tot 20 jaar;Percentages;2009;19.1;1.8;1.6;2.0;0.4;1.2;0.7;6.2;0.5;0.6;0.4;0.3;;0.3
30;Leeftijd: 15 tot 20 jaar;Ondergrens;2007;19.1;1.2;0.4;1.1;0.0;0.7;0.0;6.6;0.1;0.0;0.0;0.0;;0.0
31;Leeftijd: 15 tot 20 jaar;Ondergrens;2008;21.6;0.9;0.7;1.8;0.0;0.3;0.3;4.7;0.0;0.0;0.0;0.0;;0.0
32;Leeftijd: 15 tot 20 jaar;Ondergrens;2009;16.0;1.0;0.8;1.2;0.1;0.5;0.2;4.5;0.2;0.2;0.1;0.0;;0.0
33;Leeftijd: 15 tot 20 jaar;Bovengrens;2007;26.9;4.3;2.4;3.5;0.0;2.9;0.0;11.9;1.9;0.0;1.5;0.0;;0.0
34;Leeftijd: 15 tot 20 jaar;Bovengrens;2008;28.7;3.2;2.7;4.7;0.0;1.7;2.1;8.7;0.9;0.0;0.0;0.0;;0.0
35;Leeftijd: 15 tot 20 jaar;Bovengrens;2009;22.7;3.3;3.0;3.5;1.7;2.5;2.0;8.6;1.8;1.9;1.7;1.9;;1.9
36;Leeftijd: 20 tot 25 jaar;Percentages;2007;37.8;6.9;3.3;11.6;0.0;3.3;1.3;9.5;1.1;0.7;1.9;0.0;;0.0
37;Leeftijd: 20 tot 25 jaar;Percentages;2008;44.0;7.6;3.7;11.2;0.3;4.1;1.9;11.3;2.4;0.7;1.8;0.0;;0.0
38;Leeftijd: 20 tot 25 jaar;Percentages;2009;43.6;7.8;4.6;9.9;0.5;3.8;1.6;10.4;0.7;0.5;1.5;0.3;;0.2
39;Leeftijd: 20 tot 25 jaar;Ondergrens;2007;33.3;4.9;1.9;8.8;0.0;1.9;0.6;7.0;0.4;0.2;1.0;0.0;;0.0
40;Leeftijd: 20 tot 25 jaar;Ondergrens;2008;39.5;5.5;2.3;8.6;0.1;2.7;0.9;8.7;1.3;0.2;0.9;0.0;;0.0
41;Leeftijd: 20 tot 25 jaar;Ondergrens;2009;39.1;5.7;3.0;7.5;0.1;2.4;0.8;7.8;0.3;0.1;0.7;0.0;;0.0
42;Leeftijd: 20 tot 25 jaar;Bovengrens;2007;42.3;9.9;5.3;14.9;0.0;5.3;3.0;12.7;2.6;2.3;3.8;0.0;;0.0
43;Leeftijd: 20 tot 25 jaar;Bovengrens;2008;48.6;10.5;5.9;14.4;1.3;6.4;3.9;14.7;4.4;2.5;3.6;0.0;;0.0
