ID;Zorgaanbieders;FinancieringsvormenZorg;Perioden;UitgavenGezondheidsEnWelzijnszorg_1
0;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2021;129060.0
1;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2022;132858.0
2;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2023;142824.0
3;Totaal aanbieders zorg en welzijn;HF11: Overheid;2021;32859.0
4;Totaal aanbieders zorg en welzijn;HF11: Overheid;2022;31622.0
5;Totaal aanbieders zorg en welzijn;HF11: Overheid;2023;32630.0
6;Totaal aanbieders zorg en welzijn;HF121a: Wlz, AWBZ;2021;26738.0
7;Totaal aanbieders zorg en welzijn;HF121a: Wlz, AWBZ;2022;28349.0
8;Totaal aanbieders zorg en welzijn;HF121a: Wlz, AWBZ;2023;31366.0
9;Totaal aanbieders zorg en welzijn;HF121b: Ziekenfonds;2021;
10;Totaal aanbieders zorg en welzijn;HF121b: Ziekenfonds;2022;
11;Totaal aanbieders zorg en welzijn;HF121b: Ziekenfonds;2023;
12;Totaal aanbieders zorg en welzijn;HF122: Zorgverzekeringswet;2021;49769.0
13;Totaal aanbieders zorg en welzijn;HF122: Zorgverzekeringswet;2022;51150.0
14;Totaal aanbieders zorg en welzijn;HF122: Zorgverzekeringswet;2023;55074.0
15;Totaal aanbieders zorg en welzijn;HF21:Vrijwillige ziektekostenverzekering;2021;4127.0
16;Totaal aanbieders zorg en welzijn;HF21:Vrijwillige ziektekostenverzekering;2022;4135.0
17;Totaal aanbieders zorg en welzijn;HF21:Vrijwillige ziektekostenverzekering;2023;4422.0
18;Totaal aanbieders zorg en welzijn;HF3: Eigen betalingen;2021;13311.0
19;Totaal aanbieders zorg en welzijn;HF3: Eigen betalingen;2022;15276.0
20;Totaal aanbieders zorg en welzijn;HF3: Eigen betalingen;2023;16872.0
21;Totaal aanbieders zorg en welzijn;HF31: Directe eigen betalingen;2021;7857.0
22;Totaal aanbieders zorg en welzijn;HF31: Directe eigen betalingen;2022;9593.0
23;Totaal aanbieders zorg en welzijn;HF31: Directe eigen betalingen;2023;10965.0
24;Totaal aanbieders zorg en welzijn;HF32: Eigen risico en bijdragen;2021;5454.0
25;Totaal aanbieders zorg en welzijn;HF32: Eigen risico en bijdragen;2022;5684.0
26;Totaal aanbieders zorg en welzijn;HF32: Eigen risico en bijdragen;2023;5907.0
27;Totaal aanbieders zorg en welzijn;Overige financieringsvormen;2021;2256.0
28;Totaal aanbieders zorg en welzijn;Overige financieringsvormen;2022;2326.0
29;Totaal aanbieders zorg en welzijn;Overige financieringsvormen;2023;2460.0
30;GLZ: Totaal aanb. gezondh., langd. zorg;Totaal alle financieringsvormen;2021;98160.0
31;GLZ: Totaal aanb. gezondh., langd. zorg;Totaal alle financieringsvormen;2022;99063.0
32;GLZ: Totaal aanb. gezondh., langd. zorg;Totaal alle financieringsvormen;2023;105623.0
33;GLZ: Totaal aanb. gezondh., langd. zorg;HF11: Overheid;2021;17433.0
34;GLZ: Totaal aanb. gezondh., langd. zorg;HF11: Overheid;2022;15092.0
35;GLZ: Totaal aanb. gezondh., langd. zorg;HF11: Overheid;2023;14404.0
36;GLZ: Totaal aanb. gezondh., langd. zorg;HF121a: Wlz, AWBZ;2021;24320.0
37;GLZ: Totaal aanb. gezondh., langd. zorg;HF121a: Wlz, AWBZ;2022;25725.0
38;GLZ: Totaal aanb. gezondh., langd. zorg;HF121a: Wlz, AWBZ;2023;28497.0
39;GLZ: Totaal aanb. gezondh., langd. zorg;HF121b: Ziekenfonds;2021;
40;GLZ: Totaal aanb. gezondh., langd. zorg;HF121b: Ziekenfonds;2022;
41;GLZ: Totaal aanb. gezondh., langd. zorg;HF121b: Ziekenfonds;2023;
42;GLZ: Totaal aanb. gezondh., langd. zorg;HF122: Zorgverzekeringswet;2021;42831.0
43;GLZ: Totaal aanb. gezondh., langd. zorg;HF122: Zorgverzekeringswet;2022;43701.0
44;GLZ: Totaal aanb. gezondh., langd. zorg;HF122: Zorgverzekeringswet;2023;47289.0
45;GLZ: Totaal aanb. gezondh., langd. zorg;HF21:Vrijwillige ziektekostenverzekering;2021;3305.0
46;GLZ: Totaal aanb. gezondh., langd. zorg;HF21:Vrijwillige ziektekostenverzekering;2022;3295.0
47;GLZ: Totaal aanb. gezondh., langd. zorg;HF21:Vrijwillige ziektekostenverzekering;2023;3550.0
48;GLZ: Totaal aanb. gezondh., langd. zorg;HF3: Eigen betalingen;2021;8556.0
49;GLZ: Totaal aanb. gezondh., langd. zorg;HF3: Eigen betalingen;2022;9466.0
50;GLZ: Totaal aanb. gezondh., langd. zorg;HF3: Eigen betalingen;2023;10009.0
51;GLZ: Totaal aanb. gezondh., langd. zorg;HF31: Directe eigen betalingen;2021;4177.0
52;GLZ: Totaal aanb. gezondh., langd. zorg;HF31: Directe eigen betalingen;2022;4858.0
53;GLZ: Totaal aanb. gezondh., langd. zorg;HF31: Directe eigen betalingen;2023;5213.0
54;GLZ: Totaal aanb. gezondh., langd. zorg;HF32: Eigen risico en bijdragen;2021;4379.0
55;GLZ: Totaal aanb. gezondh., langd. zorg;HF32: Eigen risico en bijdragen;2022;4608.0
56;GLZ: Totaal aanb. gezondh., langd. zorg;HF32: Eigen risico en bijdragen;2023;4796.0
57;GLZ: Totaal aanb. gezondh., langd. zorg;Overige financieringsvormen;2021;1714.0
58;GLZ: Totaal aanb. gezondh., langd. zorg;Overige financieringsvormen;2022;1784.0
59;GLZ: Totaal aanb. gezondh., langd. zorg;Overige financieringsvormen;2023;1874.0
60;GLZ: Aanb. medisch specialistische zorg;Totaal alle financieringsvormen;2021;32569.0
61;GLZ: Aanb. medisch specialistische zorg;Totaal alle financieringsvormen;2022;33470.0
62;GLZ: Aanb. medisch specialistische zorg;Totaal alle financieringsvormen;2023;35705.0
63;GLZ: Aanb. medisch specialistische zorg;HF11: Overheid;2021;2345.0
64;GLZ: Aanb. medisch specialistische zorg;HF11: Overheid;2022;2333.0
65;GLZ: Aanb. medisch specialistische zorg;HF11: Overheid;2023;2253.0
66;GLZ: Aanb. medisch specialistische zorg;HF121a: Wlz, AWBZ;2021;576.0
67;GLZ: Aanb. medisch specialistische zorg;HF121a: Wlz, AWBZ;2022;595.0
68;GLZ: Aanb. medisch specialistische zorg;HF121a: Wlz, AWBZ;2023;664.0
69;GLZ: Aanb. medisch specialistische zorg;HF121b: Ziekenfonds;2021;
70;GLZ: Aanb. medisch specialistische zorg;HF121b: Ziekenfonds;2022;
71;GLZ: Aanb. medisch specialistische zorg;HF121b: Ziekenfonds;2023;
72;GLZ: Aanb. medisch specialistische zorg;HF122: Zorgverzekeringswet;2021;26506.0
73;GLZ: Aanb. medisch specialistische zorg;HF122: Zorgverzekeringswet;2022;27161.0
74;GLZ: Aanb. medisch specialistische zorg;HF122: Zorgverzekeringswet;2023;29237.0
75;GLZ: Aanb. medisch specialistische zorg;HF21:Vrijwillige ziektekostenverzekering;2021;32.0
76;GLZ: Aanb. medisch specialistische zorg;HF21:Vrijwillige ziektekostenverzekering;2022;25.0
77;GLZ: Aanb. medisch specialistische zorg;HF21:Vrijwillige ziektekostenverzekering;2023;28.0
78;GLZ: Aanb. medisch specialistische zorg;HF3: Eigen betalingen;2021;2631.0
79;GLZ: Aanb. medisch specialistische zorg;HF3: Eigen betalingen;2022;2861.0
80;GLZ: Aanb. medisch specialistische zorg;HF3: Eigen betalingen;2023;3015.0
81;GLZ: Aanb. medisch specialistische zorg;HF31: Directe eigen betalingen;2021;781.0
82;GLZ: Aanb. medisch specialistische zorg;HF31: Directe eigen betalingen;2022;950.0
83;GLZ: Aanb. medisch specialistische zorg;HF31: Directe eigen betalingen;2023;1047.0
84;GLZ: Aanb. medisch specialistische zorg;HF32: Eigen risico en bijdragen;2021;1850.0
85;GLZ: Aanb. medisch specialistische zorg;HF32: Eigen risico en bijdragen;2022;1910.0
86;GLZ: Aanb. medisch specialistische zorg;HF32: Eigen risico en bijdragen;2023;1968.0
87;GLZ: Aanb. medisch specialistische zorg;Overige financieringsvormen;2021;479.0
88;GLZ: Aanb. medisch specialistische zorg;Overige financieringsvormen;2022;496.0
89;GLZ: Aanb. medisch specialistische zorg;Overige financieringsvormen;2023;509.0
90;GLZMS: Algemene ziekenhuizen;Totaal alle financieringsvormen;2021;19736.0
91;GLZMS: Algemene ziekenhuizen;Totaal alle financieringsvormen;2022;20063.0
92;GLZMS: Algemene ziekenhuizen;Totaal alle financieringsvormen;2023;21377.0
93;GLZMS: Algemene ziekenhuizen;HF11: Overheid;2021;674.0
94;GLZMS: Algemene ziekenhuizen;HF11: Overheid;2022;606.0
95;GLZMS: Algemene ziekenhuizen;HF11: Overheid;2023;594.0
96;GLZMS: Algemene ziekenhuizen;HF121a: Wlz, AWBZ;2021;576.0
97;GLZMS: Algemene ziekenhuizen;HF121a: Wlz, AWBZ;2022;593.0
98;GLZMS: Algemene ziekenhuizen;HF121a: Wlz, AWBZ;2023;662.0
99;GLZMS: Algemene ziekenhuizen;HF121b: Ziekenfonds;2021;
100;GLZMS: Algemene ziekenhuizen;HF121b: Ziekenfonds;2022;
101;GLZMS: Algemene ziekenhuizen;HF121b: Ziekenfonds;2023;
102;GLZMS: Algemene ziekenhuizen;HF122: Zorgverzekeringswet;2021;17046.0
103;GLZMS: Algemene ziekenhuizen;HF122: Zorgverzekeringswet;2022;17374.0
104;GLZMS: Algemene ziekenhuizen;HF122: Zorgverzekeringswet;2023;18598.0
105;GLZMS: Algemene ziekenhuizen;HF21:Vrijwillige ziektekostenverzekering;2021;15.0
106;GLZMS: Algemene ziekenhuizen;HF21:Vrijwillige ziektekostenverzekering;2022;14.0
107;GLZMS: Algemene ziekenhuizen;HF21:Vrijwillige ziektekostenverzekering;2023;15.0
108;GLZMS: Algemene ziekenhuizen;HF3: Eigen betalingen;2021;1396.0
109;GLZMS: Algemene ziekenhuizen;HF3: Eigen betalingen;2022;1426.0
110;GLZMS: Algemene ziekenhuizen;HF3: Eigen betalingen;2023;1459.0
111;GLZMS: Algemene ziekenhuizen;HF31: Directe eigen betalingen;2021;151.0
112;GLZMS: Algemene ziekenhuizen;HF31: Directe eigen betalingen;2022;138.0
113;GLZMS: Algemene ziekenhuizen;HF31: Directe eigen betalingen;2023;131.0
114;GLZMS: Algemene ziekenhuizen;HF32: Eigen risico en bijdragen;2021;1244.0
115;GLZMS: Algemene ziekenhuizen;HF32: Eigen risico en bijdragen;2022;1288.0
116;GLZMS: Algemene ziekenhuizen;HF32: Eigen risico en bijdragen;2023;1328.0
117;GLZMS: Algemene ziekenhuizen;Overige financieringsvormen;2021;30.0
118;GLZMS: Algemene ziekenhuizen;Overige financieringsvormen;2022;49.0
119;GLZMS: Algemene ziekenhuizen;Overige financieringsvormen;2023;50.0
120;GLZMS: UMC's;Totaal alle financieringsvormen;2021;9339.0
121;GLZMS: UMC's;Totaal alle financieringsvormen;2022;9578.0
122;GLZMS: UMC's;Totaal alle financieringsvormen;2023;10157.0
123;GLZMS: UMC's;HF11: Overheid;2021;1497.0
124;GLZMS: UMC's;HF11: Overheid;2022;1555.0
125;GLZMS: UMC's;HF11: Overheid;2023;1475.0
126;GLZMS: UMC's;HF121a: Wlz, AWBZ;2021;0.0
127;GLZMS: UMC's;HF121a: Wlz, AWBZ;2022;0.0
128;GLZMS: UMC's;HF121a: Wlz, AWBZ;2023;0.0
129;GLZMS: UMC's;HF121b: Ziekenfonds;2021;
130;GLZMS: UMC's;HF121b: Ziekenfonds;2022;
131;GLZMS: UMC's;HF121b: Ziekenfonds;2023;
132;GLZMS: UMC's;HF122: Zorgverzekeringswet;2021;6971.0
133;GLZMS: UMC's;HF122: Zorgverzekeringswet;2022;7149.0
134;GLZMS: UMC's;HF122: Zorgverzekeringswet;2023;7783.0
135;GLZMS: UMC's;HF21:Vrijwillige ziektekostenverzekering;2021;2.0
136;GLZMS: UMC's;HF21:Vrijwillige ziektekostenverzekering;2022;2.0
137;GLZMS: UMC's;HF21:Vrijwillige ziektekostenverzekering;2023;2.0
138;GLZMS: UMC's;HF3: Eigen betalingen;2021;423.0
139;GLZMS: UMC's;HF3: Eigen betalingen;2022;428.0
140;GLZMS: UMC's;HF3: Eigen betalingen;2023;440.0
141;GLZMS: UMC's;HF31: Directe eigen betalingen;2021;0.0
142;GLZMS: UMC's;HF31: Directe eigen betalingen;2022;0.0
143;GLZMS: UMC's;HF31: Directe eigen betalingen;2023;0.0
144;GLZMS: UMC's;HF32: Eigen risico en bijdragen;2021;423.0
145;GLZMS: UMC's;HF32: Eigen risico en bijdragen;2022;428.0
146;GLZMS: UMC's;HF32: Eigen risico en bijdragen;2023;440.0
147;GLZMS: UMC's;Overige financieringsvormen;2021;447.0
148;GLZMS: UMC's;Overige financieringsvormen;2022;444.0
149;GLZMS: UMC's;Overige financieringsvormen;2023;457.0
150;GLZMS: Overige aanb. med. spec. zorg;Totaal alle financieringsvormen;2021;3494.0
151;GLZMS: Overige aanb. med. spec. zorg;Totaal alle financieringsvormen;2022;3829.0
152;GLZMS: Overige aanb. med. spec. zorg;Totaal alle financieringsvormen;2023;4171.0
153;GLZMS: Overige aanb. med. spec. zorg;HF11: Overheid;2021;174.0
154;GLZMS: Overige aanb. med. spec. zorg;HF11: Overheid;2022;172.0
155;GLZMS: Overige aanb. med. spec. zorg;HF11: Overheid;2023;184.0
156;GLZMS: Overige aanb. med. spec. zorg;HF121a: Wlz, AWBZ;2021;0.0
157;GLZMS: Overige aanb. med. spec. zorg;HF121a: Wlz, AWBZ;2022;1.0
158;GLZMS: Overige aanb. med. spec. zorg;HF121a: Wlz, AWBZ;2023;1.0
159;GLZMS: Overige aanb. med. spec. zorg;HF121b: Ziekenfonds;2021;
160;GLZMS: Overige aanb. med. spec. zorg;HF121b: Ziekenfonds;2022;
161;GLZMS: Overige aanb. med. spec. zorg;HF121b: Ziekenfonds;2023;
162;GLZMS: Overige aanb. med. spec. zorg;HF122: Zorgverzekeringswet;2021;2489.0
163;GLZMS: Overige aanb. med. spec. zorg;HF122: Zorgverzekeringswet;2022;2637.0
164;GLZMS: Overige aanb. med. spec. zorg;HF122: Zorgverzekeringswet;2023;2856.0
165;GLZMS: Overige aanb. med. spec. zorg;HF21:Vrijwillige ziektekostenverzekering;2021;16.0
166;GLZMS: Overige aanb. med. spec. zorg;HF21:Vrijwillige ziektekostenverzekering;2022;9.0
167;GLZMS: Overige aanb. med. spec. zorg;HF21:Vrijwillige ziektekostenverzekering;2023;11.0
168;GLZMS: Overige aanb. med. spec. zorg;HF3: Eigen betalingen;2021;813.0
169;GLZMS: Overige aanb. med. spec. zorg;HF3: Eigen betalingen;2022;1006.0
