ID;Functions;Providers;Periods;HealthAndSocialCareExpenditure_1
0;Total expenditure on health and care;Total health and social care providers;1998;39380
1;Total expenditure on health and care;Total health and social care providers;1999;42394
2;Total expenditure on health and care;Total health and social care providers;2000;45361
3;Total expenditure on health and care;Total health and social care providers;2001;50767
4;Total expenditure on health and care;Total health and social care providers;2002;56663
5;Total expenditure on health and care;Total health and social care providers;2003;60888
6;Total expenditure on health and care;Total health and social care providers;2004;63003
7;Total expenditure on health and care;Total health and social care providers;2005;65424
8;Total expenditure on health and care;Total health and social care providers;2006;68495
9;Total expenditure on health and care;Total health and social care providers;2007;72713
10;Total expenditure on health and care;Total health and social care providers;2008;77705
11;Total expenditure on health and care;Total health and social care providers;2009;82298
12;Total expenditure on health and care;Total health and social care providers;2010;85790
13;Total expenditure on health and care;Total health and social care providers;2011;88125
14;Total expenditure on health and care;Total health and social care providers;2012;90622
15;Total expenditure on health and care;Total health and social care providers;2013;90954
16;Total expenditure on health and care;Total health and social care providers;2014;91927
17;Total expenditure on health and care;Total health and social care providers;2015;92323
18;Total expenditure on health and care;Total health and social care providers;2016;94842
19;Total expenditure on health and care;Total health and social care providers;2017;96972
20;Total expenditure on health and care;Total health and social care providers;2018;101031
21;Total expenditure on health and care;Total health and social care providers;2019;107429
22;Total expenditure on health and care;Total health and social care providers;2020;116384
23;Total expenditure on health and care;Total health and social care providers;2021;124794
24;Total expenditure on health and care;Total health and social care providers;2022;127306
25;Total expenditure on health and care;Total health care providers;1998;37022
26;Total expenditure on health and care;Total health care providers;1999;39633
27;Total expenditure on health and care;Total health care providers;2000;42258
28;Total expenditure on health and care;Total health care providers;2001;47247
29;Total expenditure on health and care;Total health care providers;2002;52965
30;Total expenditure on health and care;Total health care providers;2003;56938
31;Total expenditure on health and care;Total health care providers;2004;59136
32;Total expenditure on health and care;Total health care providers;2005;61458
33;Total expenditure on health and care;Total health care providers;2006;64356
34;Total expenditure on health and care;Total health care providers;2007;67953
35;Total expenditure on health and care;Total health care providers;2008;72154
36;Total expenditure on health and care;Total health care providers;2009;76296
37;Total expenditure on health and care;Total health care providers;2010;79665
38;Total expenditure on health and care;Total health care providers;2011;82045
39;Total expenditure on health and care;Total health care providers;2012;84806
40;Total expenditure on health and care;Total health care providers;2013;85550
41;Total expenditure on health and care;Total health care providers;2014;86824
42;Total expenditure on health and care;Total health care providers;2015;87890
43;Total expenditure on health and care;Total health care providers;2016;90015
44;Total expenditure on health and care;Total health care providers;2017;91755
45;Total expenditure on health and care;Total health care providers;2018;95280
46;Total expenditure on health and care;Total health care providers;2019;101031
47;Total expenditure on health and care;Total health care providers;2020;109608
48;Total expenditure on health and care;Total health care providers;2021;117478
49;Total expenditure on health and care;Total health care providers;2022;119121
50;Total expenditure on health and care;HP1: Hospitals;1998;10582
51;Total expenditure on health and care;HP1: Hospitals;1999;11206
52;Total expenditure on health and care;HP1: Hospitals;2000;11869
53;Total expenditure on health and care;HP1: Hospitals;2001;13481
54;Total expenditure on health and care;HP1: Hospitals;2002;15139
55;Total expenditure on health and care;HP1: Hospitals;2003;16255
56;Total expenditure on health and care;HP1: Hospitals;2004;17186
57;Total expenditure on health and care;HP1: Hospitals;2005;17940
58;Total expenditure on health and care;HP1: Hospitals;2006;18832
59;Total expenditure on health and care;HP1: Hospitals;2007;20065
60;Total expenditure on health and care;HP1: Hospitals;2008;21221
61;Total expenditure on health and care;HP1: Hospitals;2009;22929
62;Total expenditure on health and care;HP1: Hospitals;2010;24581
63;Total expenditure on health and care;HP1: Hospitals;2011;24926
64;Total expenditure on health and care;HP1: Hospitals;2012;25864
65;Total expenditure on health and care;HP1: Hospitals;2013;26812
66;Total expenditure on health and care;HP1: Hospitals;2014;27185
67;Total expenditure on health and care;HP1: Hospitals;2015;27943
68;Total expenditure on health and care;HP1: Hospitals;2016;28653
69;Total expenditure on health and care;HP1: Hospitals;2017;29099
70;Total expenditure on health and care;HP1: Hospitals;2018;30311
71;Total expenditure on health and care;HP1: Hospitals;2019;31896
72;Total expenditure on health and care;HP1: Hospitals;2020;34123
73;Total expenditure on health and care;HP1: Hospitals;2021;35134
74;Total expenditure on health and care;HP1: Hospitals;2022;36538
75;Total expenditure on health and care;HP11: General and university hospitals;1998;8006
76;Total expenditure on health and care;HP11: General and university hospitals;1999;8446
77;Total expenditure on health and care;HP11: General and university hospitals;2000;8980
78;Total expenditure on health and care;HP11: General and university hospitals;2001;10271
79;Total expenditure on health and care;HP11: General and university hospitals;2002;11541
80;Total expenditure on health and care;HP11: General and university hospitals;2003;12225
81;Total expenditure on health and care;HP11: General and university hospitals;2004;12912
82;Total expenditure on health and care;HP11: General and university hospitals;2005;13377
83;Total expenditure on health and care;HP11: General and university hospitals;2006;14087
84;Total expenditure on health and care;HP11: General and university hospitals;2007;14889
85;Total expenditure on health and care;HP11: General and university hospitals;2008;15871
86;Total expenditure on health and care;HP11: General and university hospitals;2009;17173
87;Total expenditure on health and care;HP11: General and university hospitals;2010;18644
88;Total expenditure on health and care;HP11: General and university hospitals;2011;18692
89;Total expenditure on health and care;HP11: General and university hospitals;2012;19489
90;Total expenditure on health and care;HP11: General and university hospitals;2013;20327
91;Total expenditure on health and care;HP11: General and university hospitals;2014;20653
