ID;CharRegionalBusinessClassification;Periods;SicknessAbsenceRateTotal_1;SicknessAbsenceRate1stYear_2;SicknessAbsenceRate2ndYear_3;SicknessAbsenceRateTotal_4;SicknessAbsenceRate17Days_5;SicknessAbsenceRate842Days_6;SicknessAbsenceRate4391Days_7;SicknessAbsenceRate92182Days_8;SicknessAbsenceRate183365Days_9;SicknessAbsenceRate366730Days_10;SickLeaveFrequency_11;AverageDurationOfAbsenceTotal_12;AverageDurationOfAbsence1Year_13;AvgDurationOfAbsence1YrAnd2yr_14
0;Total men and women;2002 1st quarter*;6.1;6.1;;6.1;1.1;1.8;1.2;1.1;0.8;;1.52;17.8;17.8;
1;Total men and women;2002 2nd quarter*;5.3;5.3;;5.3;0.8;1.5;1.1;1.1;0.8;;1.16;18.9;18.9;
2;Total men and women;2002 3rd quarter*;4.6;4.6;;4.6;0.6;1.3;0.9;0.9;0.9;;0.98;20.8;20.8;
3;Total men and women;2002 4th quarter*;5.2;5.2;;5.2;1.0;1.6;1.1;0.9;0.7;;1.4;15.5;15.5;
4;Total men and women;2002 annual figure*;5.3;5.3;;5.3;0.8;1.3;0.8;0.9;1.5;;1.26;18.0;18.0;
5;Total men and women;2003 1st quarter*;5.0;5.0;;5.0;1.2;1.6;1.0;0.7;0.5;;1.6;14.3;14.3;
6;Total men and women;2003 2nd quarter*;4.5;4.5;;4.5;0.8;1.4;1.0;0.9;0.5;;1.16;15.8;15.8;
7;Total men and women;2003 3rd quarter*;4.2;4.2;;4.2;0.7;1.2;0.8;0.9;0.6;;1.04;16.3;16.3;
8;Total men and women;2003 4th quarter*;5.2;5.2;;5.2;1.1;1.5;1.0;0.9;0.7;;1.49;13.0;13.0;
9;Total men and women;2003 annual figure*;4.7;4.7;;4.7;0.9;1.2;0.6;0.6;1.4;;1.32;14.7;14.7;
10;Total men and women;2004 1st quarter*;4.7;4.7;;4.7;0.9;1.4;1.0;0.8;0.6;;1.27;16.2;16.2;
11;Total men and women;2004 2nd quarter*;4.0;4.0;;4.0;0.6;1.2;0.9;0.8;0.5;;0.95;16.8;16.8;
12;Total men and women;2004 3rd quarter*;3.5;3.5;;3.5;0.5;1.0;0.7;0.7;0.5;;0.8;18.7;18.7;
13;Total men and women;2004 4th quarter*;4.0;4.0;;4.0;0.9;1.3;0.9;0.6;0.4;;1.19;17.7;17.7;
14;Total men and women;2004 annual figure*;4.0;4.0;;4.0;0.7;1.1;0.7;0.7;0.8;;1.05;17.3;17.3;
15;Total men and women;2005 1st quarter*;4.9;4.8;0.1;4.9;1.0;1.5;0.9;0.8;0.6;0.2;1.38;12.6;12.6;0.0
16;Total men and women;2005 2nd quarter*;3.9;3.9;0.1;3.9;0.6;1.1;0.8;0.7;0.6;0.3;0.87;16.5;16.3;0.2
