ID;Geslacht;Leeftijd;Migratieachtergrond;Generatie;Perioden;TotaalAantalPersonenInHuishoudens_1;ThuiswonendKind_2;Alleenstaand_3;TotaalSamenwonendePersonen_4;PartnerInNietGehuwdPaarZonderKi_5;PartnerInGehuwdPaarZonderKinderen_6;PartnerInNietGehuwdPaarMetKinderen_7;PartnerInGehuwdPaarMetKinderen_8;OuderInEenouderhuishouden_9;OverigLidHuishouden_10;PersonenInInstitutioneleHuishoudens_11
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1997;15567107.0;4545206.0;2157561.0;8017092.0;919742.0;2911174.0;246574.0;3939602.0;371642.0;234069.0;241537.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1998;15654192.0;4535995.0;2201318.0;8073969.0;951495.0;2954076.0;268096.0;3900302.0;375104.0;231064.0;236742.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1999;15760225.0;4525716.0;2254631.0;8135415.0;972064.0;3008044.0;295079.0;3860228.0;379627.0;234301.0;230535.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2000;15863943.0;4541102.0;2272219.0;8196032.0;989259.0;3042126.0;325531.0;3839116.0;384318.0;246144.0;224128.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2001;15987074.0;4577995.0;2307075.0;8231824.0;991072.0;3061444.0;356776.0;3822532.0;396353.0;254780.0;219047.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2002;16105283.0;4615571.0;2344903.0;8257686.0;998178.0;3069784.0;394190.0;3795534.0;411691.0;258643.0;216789.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2003;16192572.0;4628992.0;2383580.0;8278756.0;999883.0;3093312.0;428267.0;3757294.0;424124.0;262345.0;214775.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2004;16258032.0;4635325.0;2423950.0;8286332.0;990083.0;3112686.0;463013.0;3720550.0;433972.0;263541.0;214912.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2005;16305526.0;4634684.0;2449378.0;8298507.0;996744.0;3127616.0;497083.0;3677064.0;444124.0;265631.0;213202.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2006;16334210.0;4620345.0;2502084.0;8287373.0;989696.0;3144304.0;528319.0;3625054.0;452370.0;263385.0;208653.0
