ID;Woonplaatsen;Woonplaatscode_1;Naam_2;Code_3;Naam_4;Code_5;Naam_6;Code_7
17;Abbenes;WP1608    ;Haarlemmermeer                     ;GM0394    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
18;Abcoude;WP1332    ;De Ronde Venen                     ;GM0736    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
19;Achlum;WP1364    ;Waadhoeke                          ;GM1949    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
20;Achterveld;WP1063    ;Barneveld                          ;GM0203    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
21;Achterveld;WP2640    ;Leusden                            ;GM0327    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
22;Achthuizen;WP2131    ;Goeree-Overflakkee                 ;GM1924    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
23;Achtmaal;WP3493    ;Zundert                            ;GM0879    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
24;Acquoy;WP3527    ;West Betuwe                        ;GM1960    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
25;Adorp;WP2464    ;Het Hogeland                       ;GM1966    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
26;Aduard;WP2114    ;Westerkwartier                     ;GM1969    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
27;Aerdenhout;WP2652    ;Bloemendaal                        ;GM0377    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
28;Aerdt;WP2976    ;Zevenaar                           ;GM0299    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
29;Afferden;WP2902    ;Druten                             ;GM0225    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
30;Afferden L;WP1122    ;Bergen (L.)                        ;GM0893    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
31;Agelo;WP1407    ;Dinkelland                         ;GM1774    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
32;Akersloot;WP2267    ;Castricum                          ;GM0383    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
33;Akkrum;WP2525    ;Heerenveen                         ;GM0074    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
34;Akmarijp;WP2484    ;De Fryske Marren                   ;GM1940    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
35;Albergen;WP1283    ;Tubbergen                          ;GM0183    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
36;Alblasserdam;WP2386    ;Alblasserdam                       ;GM0482    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
37;Alde Leie;WP3224    ;Leeuwarden                         ;GM0080    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
38;Aldeboarn;WP2532    ;Heerenveen                         ;GM0074    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
39;Aldtsjerk;WP2441    ;Tytsjerksteradiel                  ;GM0737    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
40;Aldwâld;WP3313    ;Noardeast-Fryslân                  ;GM1970    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
41;Alem;WP1623    ;Maasdriel                          ;GM0263    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
42;Alkmaar;WP2348    ;Alkmaar                            ;GM0361    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
43;Allingawier;WP2301    ;Súdwest-Fryslân                    ;GM1900    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
44;Almelo;WP1924    ;Almelo                             ;GM0141    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
45;Almen;WP1334    ;Lochem                             ;GM0262    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
46;Almere;WP1270    ;Almere                             ;GM0034    ;Flevoland                ;PV24      ;Oost-Nederland           ;LD02      
47;Almkerk;WP3300    ;Altena                             ;GM1959    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
48;Alphen;WP1766    ;West Maas en Waal                  ;GM0668    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
49;Alphen;WP3432    ;Alphen-Chaam                       ;GM1723    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
50;Alphen aan den Rijn;WP1080    ;Alphen aan den Rijn                ;GM0484    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
51;Alteveer;WP1633    ;Noordenveld                        ;GM1699    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
52;Alteveer;WP3079    ;Stadskanaal                        ;GM0037    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
53;Alteveer;WP3160    ;De Wolden                          ;GM1690    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
54;Alteveer gem Hoogeveen;WP1810    ;Hoogeveen                          ;GM0118    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
55;Altforst;WP1767    ;West Maas en Waal                  ;GM0668    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
56;Ambt Delden;WP1438    ;Hof van Twente                     ;GM1735    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
57;Ameide;WP2106    ;Vijfheerenlanden                   ;GM1961    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
58;Amen;WP1147    ;Aa en Hunze                        ;GM1680    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
59;America;WP1026    ;Horst aan de Maas                  ;GM1507    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
60;Amerongen;WP3337    ;Utrechtse Heuvelrug                ;GM1581    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
61;Amersfoort;WP1664    ;Amersfoort                         ;GM0307    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
62;Ammerstol;WP2367    ;Krimpenerwaard                     ;GM1931    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
63;Ammerzoden;WP1624    ;Maasdriel                          ;GM0263    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
64;Amstelhoek;WP3547    ;De Ronde Venen                     ;GM0736    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
65;Amstelveen;WP1050    ;Amstelveen                         ;GM0362    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
66;Amstenrade;WP2099    ;Beekdaelen                         ;GM1954    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
67;Amsterdam;WP3594    ;Amsterdam                          ;GM0363    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
68;Amsterdam-Duivendrecht;WP3569    ;Ouder-Amstel                       ;GM0437    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
69;Andel;WP3301    ;Altena                             ;GM1959    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
70;Den Andel;WP2466    ;Het Hogeland                       ;GM1966    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
71;Andelst;WP1862    ;Overbetuwe                         ;GM1734    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
72;Anderen;WP1148    ;Aa en Hunze                        ;GM1680    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
73;Andijk;WP1053    ;Medemblik                          ;GM0420    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
74;Ane;WP1537    ;Hardenberg                         ;GM0160    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
75;Anerveen;WP1538    ;Hardenberg                         ;GM0160    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
76;Anevelde;WP1539    ;Hardenberg                         ;GM0160    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
77;Angeren;WP3133    ;Lingewaard                         ;GM1705    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
78;Angerlo;WP1299    ;Zevenaar                           ;GM0299    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
79;Ankeveen;WP2999    ;Wijdemeren                         ;GM1696    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
80;Anloo;WP1149    ;Aa en Hunze                        ;GM1680    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
81;Anna Paulowna;WP3185    ;Hollands Kroon                     ;GM1911    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
82;Annen;WP1150    ;Aa en Hunze                        ;GM1680    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
83;Annerveenschekanaal;WP1151    ;Aa en Hunze                        ;GM1680    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
84;Ansen;WP3104    ;Westerveld                         ;GM1701    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
85;Ansen;WP3161    ;De Wolden                          ;GM1690    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
86;Ter Apel;WP2296    ;Westerwolde                        ;GM1950    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
87;Apeldoorn;WP3560    ;Apeldoorn                          ;GM0200    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
88;Ter Apelkanaal;WP2297    ;Westerwolde                        ;GM1950    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
89;Appelscha;WP1753    ;Ooststellingwerf                   ;GM0085    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
90;Appeltern;WP1768    ;West Maas en Waal                  ;GM0668    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
91;Appingedam;WP3386    ;Eemsdelta                          ;GM1979    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
92;Arcen;WP3140    ;Venlo                              ;GM0983    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
93;Arkel;WP1432    ;Molenlanden                        ;GM1978    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
94;Arnemuiden;WP1008    ;Middelburg (Z.)                    ;GM0687    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
95;Arnhem;WP1296    ;Arnhem                             ;GM0202    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
96;Arriën;WP3630    ;Ommen                              ;GM0175    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
97;Arum;WP2302    ;Súdwest-Fryslân                    ;GM1900    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
98;Asch;WP3370    ;Buren                              ;GM0214    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
99;Asperen;WP2353    ;West Betuwe                        ;GM1960    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
100;Assen;WP2391    ;Assen                              ;GM0106    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
101;Assendelft;WP1878    ;Zaanstad                           ;GM0479    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
102;Asten;WP2928    ;Asten                              ;GM0743    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
103;Augsbuert-Lytsewâld;WP3307    ;Noardeast-Fryslân                  ;GM1970    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
104;Augustinusga;WP3173    ;Achtkarspelen                      ;GM0059    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
105;Austerlitz;WP2824    ;Zeist                              ;GM0355    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
106;Avenhorn;WP1183    ;Koggenland                         ;GM1598    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
107;Axel;WP1128    ;Terneuzen                          ;GM0715    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
108;Azewijn;WP2202    ;Montferland                        ;GM1955    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
109;Baaiduinen;WP2621    ;Terschelling                       ;GM0093    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
110;Baaium;WP2008    ;Waadhoeke                          ;GM1949    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
111;Baak;WP1527    ;Bronckhorst                        ;GM1876    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
112;Baambrugge;WP1333    ;De Ronde Venen                     ;GM0736    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
113;Baard;WP2009    ;Leeuwarden                         ;GM0080    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
114;Baarland;WP1251    ;Borsele                            ;GM0654    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
115;Baarle-Nassau;WP2883    ;Baarle-Nassau                      ;GM0744    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
116;Baarlo;WP2602    ;Peel en Maas                       ;GM1894    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
117;Baarlo;WP2691    ;Steenwijkerland                    ;GM1708    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
118;Baarn;WP1092    ;Baarn                              ;GM0308    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
119;Baars;WP2692    ;Steenwijkerland                    ;GM1708    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
120;Babberich;WP1298    ;Zevenaar                           ;GM0299    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
121;Babyloniënbroek;WP1951    ;Altena                             ;GM1959    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
122;Bad Nieuweschans;WP1420    ;Oldambt                            ;GM1895    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
123;Badhoevedorp;WP1617    ;Haarlemmermeer                     ;GM0394    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
124;Baexem;WP2940    ;Leudal                             ;GM1640    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
125;Baflo;WP2465    ;Het Hogeland                       ;GM1966    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
126;Bakel;WP2090    ;Gemert-Bakel                       ;GM1652    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
127;Bakhuizen;WP1673    ;De Fryske Marren                   ;GM1940    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
128;Bakkeveen;WP3342    ;Opsterland                         ;GM0086    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
129;Balgoij;WP2570    ;Wijchen                            ;GM0296    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
130;Balinge;WP3005    ;Midden-Drenthe                     ;GM1731    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
131;Balk;WP1674    ;De Fryske Marren                   ;GM1940    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
132;Balkbrug;WP1540    ;Hardenberg                         ;GM0160    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
133;Balloërveld;WP1153    ;Aa en Hunze                        ;GM1680    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
134;Balloo;WP1152    ;Aa en Hunze                        ;GM1680    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
135;Ballum;WP2587    ;Ameland                            ;GM0060    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
136;Baneheide;WP3067    ;Simpelveld                         ;GM0965    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
137;Banholt;WP1690    ;Eijsden-Margraten                  ;GM1903    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
138;Bant;WP1272    ;Noordoostpolder                    ;GM0171    ;Flevoland                ;PV24      ;Oost-Nederland           ;LD02      
139;Bantega;WP2239    ;De Fryske Marren                   ;GM1940    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
140;Barchem;WP1335    ;Lochem                             ;GM0262    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
141;Barendrecht;WP1594    ;Barendrecht                        ;GM0489    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
142;Barger-Compascuum;WP1987    ;Emmen                              ;GM0114    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
143;Barneveld;WP3597    ;Barneveld                          ;GM0203    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
144;Barsingerhorn;WP2514    ;Hollands Kroon                     ;GM1911    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
145;Basse;WP2693    ;Steenwijkerland                    ;GM1708    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
146;Batenburg;WP2568    ;Wijchen                            ;GM0296    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
147;Bathmen;WP2854    ;Deventer                           ;GM0150    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
148;Bavel;WP3624    ;Breda                              ;GM0758    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
149;Bavel AC;WP3437    ;Alphen-Chaam                       ;GM1723    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
150;Bears;WP2010    ;Leeuwarden                         ;GM0080    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
151;Bedum;WP2829    ;Het Hogeland                       ;GM1966    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
152;Beegden;WP1918    ;Maasgouw                           ;GM1641    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
153;Beek;WP2872    ;Berg en Dal                        ;GM1945    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
154;Beek;WP2203    ;Montferland                        ;GM1955    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
155;Beek;WP1670    ;Beek (L.)                          ;GM0888    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
156;Beek en Donk;WP1446    ;Laarbeek                           ;GM1659    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
157;Beekbergen;WP2258    ;Apeldoorn                          ;GM0200    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
158;Beemte Broekland;WP2254    ;Apeldoorn                          ;GM0200    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
159;Beers NB;WP1449    ;Land van Cuijk                     ;GM1982    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
160;Beerta;WP3508    ;Oldambt                            ;GM1895    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
161;Beerze;WP2548    ;Ommen                              ;GM0175    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
162;Beerzerveld;WP2549    ;Ommen                              ;GM0175    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
163;Beesd;WP3213    ;West Betuwe                        ;GM1960    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
164;Beesel;WP1950    ;Beesel                             ;GM0889    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
165;Beets;WP1837    ;Edam-Volendam                      ;GM0385    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
166;Beetsterzwaag;WP3343    ;Opsterland                         ;GM0086    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
167;Beilen;WP3006    ;Midden-Drenthe                     ;GM1731    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
168;Beinsdorp;WP1610    ;Haarlemmermeer                     ;GM0394    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
169;Belfeld;WP1476    ;Venlo                              ;GM0983    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
170;Bellingwolde;WP2231    ;Westerwolde                        ;GM1950    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
171;Beltrum;WP1661    ;Berkelland                         ;GM1859    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
172;Belt-Schutsloot;WP2694    ;Steenwijkerland                    ;GM1708    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
173;Bemelen;WP1691    ;Eijsden-Margraten                  ;GM1903    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
174;Bemmel;WP3131    ;Lingewaard                         ;GM1705    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
175;Beneden-Leeuwen;WP1769    ;West Maas en Waal                  ;GM0668    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
176;Bennebroek;WP3533    ;Bloemendaal                        ;GM0377    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
177;Bennekom;WP2766    ;Ede                                ;GM0228    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
178;Benneveld;WP2146    ;Coevorden                          ;GM0109    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
179;Benningbroek;WP3148    ;Medemblik                          ;GM0420    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
180;Benschop;WP1958    ;Lopik                              ;GM0331    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
181;Bentelo;WP1439    ;Hof van Twente                     ;GM1735    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
182;Benthuizen;WP2853    ;Alphen aan den Rijn                ;GM0484    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
183;Bentveld;WP1306    ;Zandvoort                          ;GM0473    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
184;Berg en Dal;WP3618    ;Berg en Dal                        ;GM1945    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
185;Berg en Terblijt;WP1716    ;Valkenburg aan de Geul             ;GM0994    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
186;Bergambacht;WP2365    ;Krimpenerwaard                     ;GM1931    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
187;Bergeijk;WP1457    ;Bergeijk                           ;GM1724    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
188;Bergen (NH);WP3047    ;Bergen (NH.)                       ;GM0373    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
189;Bergen aan Zee;WP3046    ;Bergen (NH.)                       ;GM0373    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
190;Bergen L;WP1121    ;Bergen (L.)                        ;GM0893    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
191;Bergen op Zoom;WP1937    ;Bergen op Zoom                     ;GM0748    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
192;Bergentheim;WP1541    ;Hardenberg                         ;GM0160    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
193;Bergharen;WP2565    ;Wijchen                            ;GM0296    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
194;Berghem;WP3250    ;Oss                                ;GM0828    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
195;Bergschenhoek;WP1688    ;Lansingerland                      ;GM1621    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
196;Beringe;WP3438    ;Peel en Maas                       ;GM1894    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
197;Berkel en Rodenrijs;WP1687    ;Lansingerland                      ;GM1621    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
198;Berkel-Enschot;WP1044    ;Tilburg                            ;GM0855    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
199;Berkenwoude;WP2366    ;Krimpenerwaard                     ;GM1931    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
200;Berkhout;WP1184    ;Koggenland                         ;GM1598    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
201;Berlicum;WP2057    ;Sint-Michielsgestel                ;GM0845    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
202;Berltsum;WP2724    ;Waadhoeke                          ;GM1949    ;Fryslân                  ;PV21      ;Noord-Nederland          ;LD01      
203;Bern;WP2627    ;Zaltbommel                         ;GM0297    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
204;Best;WP1456    ;Best                               ;GM0753    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
205;Beugen;WP1214    ;Land van Cuijk                     ;GM1982    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
206;Beuningen;WP1711    ;Losser                             ;GM0168    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
207;Beuningen Gld;WP2751    ;Beuningen                          ;GM0209    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
208;Beusichem;WP3371    ;Buren                              ;GM0214    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
209;Beutenaken;WP1230    ;Gulpen-Wittem                      ;GM1729    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
210;Beverwijk;WP2735    ;Beverwijk                          ;GM0375    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
211;Biddinghuizen;WP2429    ;Dronten                            ;GM0303    ;Flevoland                ;PV24      ;Oost-Nederland           ;LD02      
212;Bierum;WP3232    ;Eemsdelta                          ;GM1979    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
213;Biervliet;WP1129    ;Terneuzen                          ;GM0715    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
214;Biervliet;WP2975    ;Sluis                              ;GM1714    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
215;Biest-Houtakker;WP1309    ;Hilvarenbeek                       ;GM0798    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
216;Biezenmortel;WP1425    ;Tilburg                            ;GM0855    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
217;Biggekerke;WP2775    ;Veere                              ;GM0717    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
