ID;SBI93;Perioden;Ondernemingen_1;Totaal_2;KleinerDan0_3;k_0Tot10_4;k_10Tot20_5;k_20Tot35_6;k_35OfMeer_7;Totaal_8;KleinerDan0_9;k_0Tot10_10;k_10Tot15_11;k_15Tot20_12;k_20Tot30_13;k_30OfMeer_14;Totaal_15;KleinerDan30_16;k_30Tot70_17;k_70Tot130_18;k_130OfMeer_19;Totaal_20;KleinerDan30_21;k_30Tot70_22;k_70Tot130_23;k_130OfMeer_24;Totaal_25;KleinerDan0_26;k_0Tot2_27;k_2Tot4_28;k_4OfMeer_29;Leverage_30;AandeelKapitaallasten_31;GemLeeftijdMaterieleVasteActiva_32;Debiteurentermijn_33;AandeelPersoneelskosten_34;OpbrengstenPerArbeidsjaar_35;ArbeidskostenPerArbeidsjaar_36;AandeelOverhead_37;Parttimefactor_38;KleinerDan0_39;k_0Tot10_40;k_10Tot20_41;k_20Tot35_42;k_35OfMeer_43;KleinerDan0_44;k_0Tot10_45;k_10Tot15_46;k_15Tot20_47;k_20Tot30_48;k_30OfMeer_49;KleinerDan30_50;k_30Tot70_51;k_70Tot130_52;k_130OfMeer_53;KleinerDan30_54;k_30Tot70_55;k_70Tot130_56;k_130OfMeer_57;KleinerDan0_58;k_0Tot2_59;k_2Tot4_60;k_4OfMeer_61;KleinerDan4MlnEuro_62;k_4Tot10MlnEuro_63;k_10Tot25MlnEuro_64;k_25Tot75MlnEuro_65;k_75Tot125MlnEuro_66;k_125MlnEuroOfMeer_67
0;Totaal Zvw/AWBZ-gefin.zorginstellingen;2007;953;18;-11.0;7.0;14.0;25.0;48.0;16;-8.0;7.0;12.0;17.0;24.0;41.0;59;16.0;51.0;98.0;172.0;67;19.0;52.0;87.0;181.0;1;-2.0;1.0;3.0;6.0;52;10;11;26;67;75167;44817;13.0;63;6.0;20.0;36.0;21.0;17.0;6.0;27.0;31.0;14.0;12.0;10.0;19.0;30.0;25.0;26.0;16.0;26.0;33.0;25.0;33.0;37.0;15.0;16.0;22.0;18.0;17.0;23.0;10.0;10.0
1;Totaal Zvw/AWBZ-gefin.zorginstellingen;2008;897;16;-15.0;7.0;14.0;26.0;46.0;15;-10.0;7.0;13.0;17.0;24.0;41.0;57;18.0;49.0;95.0;175.0;69;20.0;54.0;87.0;183.0;1;-4.0;1.0;3.0;6.0;53;10;12;29;67;79100;46926;14.0;63;4.0;14.0;29.0;26.0;27.0;4.0;19.0;20.0;21.0;19.0;16.0;19.0;27.0;26.0;28.0;15.0;20.0;29.0;36.0;24.0;33.0;20.0;23.0;20.0;19.0;17.0;21.0;11.0;11.0
2;Totaal Zvw/AWBZ-gefin.zorginstellingen;2009;861;18;-6.0;7.0;15.0;26.0;47.0;16;-8.0;7.0;13.0;17.0;23.0;41.0;59;17.0;46.0;89.0;178.0;72;21.0;49.0;89.0;181.0;2;-2.0;1.0;3.0;7.0;54;10;11;29;66;82267;47756;14.0;62;5.0;10.0;28.0;27.0;30.0;5.0;16.0;20.0;18.0;23.0;18.0;14.0;26.0;28.0;32.0;14.0;22.0;28.0;36.0;16.0;30.0;24.0;30.0;21.0;18.0;16.0;21.0;11.0;13.0
3;Totaal ziekenhuizen;2007;116;15;-4.0;7.0;13.0;23.0;53.0;17;-4.0;8.0;12.0;18.0;23.0;31.0;67;18.0;53.0;100.0;145.0;71;15.0;56.0;85.0;186.0;1;-2.0;1.0;3.0;6.0;52;10;11;54;60;92478;49757;19.0;72;3.0;53.0;38.0;5.0;2.0;3.0;44.0;33.0;12.0;4.0;4.0;9.0;37.0;39.0;16.0;3.0;11.0;44.0;43.0;21.0;47.0;22.0;10.0;;;7.0;24.0;23.0;42.0
4;Totaal ziekenhuizen;2008;114;12;-19.0;7.0;13.0;25.0;38.0;14;-19.0;8.0;13.0;17.0;23.0;35.0;69;21.0;51.0;96.0;152.0;69;23.0;56.0;84.0;145.0;1;-4.0;1.0;3.0;5.0;56;10;11;53;61;97758;52499;20.0;71;2.0;34.0;50.0;12.0;3.0;2.0;22.0;40.0;17.0;15.0;4.0;8.0;35.0;40.0;17.0;2.0;15.0;39.0;44.0;12.0;56.0;26.0;7.0;;;7.0;18.0;26.0;45.0
5;Totaal ziekenhuizen;2009;111;14;-6.0;7.0;14.0;26.0;40.0;15;-8.0;8.0;13.0;17.0;23.0;34.0;63;21.0;47.0;89.0;159.0;71;25.0;51.0;87.0;139.0;2;-2.0;1.0;3.0;6.0;57;9;11;52;60;101863;53888;20.0;71;3.0;21.0;63.0;12.0;2.0;3.0;15.0;40.0;19.0;20.0;4.0;4.0;44.0;38.0;14.0;0.0;9.0;43.0;48.0;12.0;51.0;30.0;7.0;;;5.0;18.0;26.0;48.0
6;85111 Academische ziekenhuizen;2007;8;28;;;;;;29;;;;;;;85;;;;;85;;;;;2;;;;;37;7;13;41;61;105057;58181;22.0;80;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;100.0
7;85111 Academische ziekenhuizen;2008;8;17;;;;;;16;;;;;;;88;;;;;83;;;;;2;;;;;53;7;12;38;62;110650;60954;23.0;78;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;100.0
8;85111 Academische ziekenhuizen;2009;8;18;;;;;;17;;;;;;;61;;;;;87;;;;;1;;;;;56;6;13;32;62;114115;63503;24.0;78;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;100.0
9;85112 Algemene ziekenhuizen;2007;81;10;;;;;;12;;;;;;;61;;;;;65;;;;;1;;;;;58;11;10;62;59;88184;46307;17.0;70;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;19.0;32.0;49.0
10;85112 Algemene ziekenhuizen;2008;79;10;;;;;;12;;;;;;;64;;;;;64;;;;;1;;;;;57;11;10;61;59;93446;49074;18.0;68;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;10.0;37.0;53.0
11;85112 Algemene ziekenhuizen;2009;78;12;;;;;;13;;;;;;;65;;;;;65;;;;;2;;;;;58;11;10;62;58;97540;49713;18.0;68;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;10.0;35.0;55.0
12;8511e Categorale ziekenhuizen;2007;27;17;;;;;;20;;;;;;;60;;;;;71;;;;;1;;;;;56;10;13;42;68;84608;51172;19.0;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;8511e Categorale ziekenhuizen;2008;27;16;;;;;;19;;;;;;;58;;;;;77;;;;;2;;;;;58;11;11;43;69;85532;51037;22.0;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;8511e Categorale ziekenhuizen;2009;25;17;;;;;;20;;;;;;;53;;;;;77;;;;;2;;;;;53;10;11;47;68;92167;55087;22.0;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;8511f Zvw/AWBZ-gefinancierde GGZ;2007;102;22;-6.0;7.0;15.0;26.0;52.0;15;-5.0;7.0;12.0;17.0;23.0;38.0;43;16.0;45.0;96.0;181.0;51;23.0;46.0;96.0;192.0;1;-2.0;1.0;3.0;5.0;48;9;13;4;73;77065;50456;16.0;75;4.0;12.0;31.0;30.0;23.0;4.0;27.0;31.0;20.0;9.0;9.0;28.0;28.0;19.0;25.0;26.0;32.0;24.0;18.0;26.0;34.0;15.0;25.0;15.0;8.0;24.0;29.0;15.0;8.0
16;8511f Zvw/AWBZ-gefinancierde GGZ;2008;97;15;-16.0;8.0;15.0;27.0;58.0;15;-4.0;7.0;13.0;18.0;22.0;45.0;37;24.0;41.0;83.0;322.0;80;27.0;61.0;89.0;182.0;1;-2.0;1.0;3.0;7.0;52;10;13;30;74;78984;51777;17.0;76;6.0;21.0;37.0;21.0;16.0;6.0;21.0;24.0;22.0;19.0;8.0;22.0;50.0;16.0;12.0;6.0;14.0;34.0;46.0;32.0;34.0;17.0;17.0;13.0;7.0;27.0;29.0;11.0;13.0
