ID;Geslacht;Leeftijdsklasse;Herkomstgroepering;SBI93;Perioden;AantalWerknemers_1;PercentageWerknemersInEconAct_2;GemiddeldBrutoLoonSVPerWerknemer_3
0;Totaal mannen en vrouwen;0;0;0;vrijdag 24 september 1999;6762.0;100.0;21.6
1;Totaal mannen en vrouwen;0;0;0;vrijdag 29 september 2000;6915.1;100.0;22.5
2;Totaal mannen en vrouwen;0;0;0;vrijdag 28 september 2001;7057.0;100.0;24.2
3;Totaal mannen en vrouwen;0;0;0;vrijdag 27 september 2002;7107.0;100.0;24.9
4;Totaal mannen en vrouwen;0;0;0;vrijdag 26 september 2003;7065.4;100.0;25.6
5;Totaal mannen en vrouwen;0;0;0;vrijdag 24 september 2004;6980.7;100.0;26.0
6;Totaal mannen en vrouwen;0;0;0;vrijdag 30 september 2005;7000.4;100.0;26.4
7;Totaal mannen en vrouwen;0;0;0;vrijdag 29 september 2006;7093.8;100.0;27.7
8;Totaal mannen en vrouwen;0;0;0;vrijdag 28 september 2007;7331.1;100.0;28.5
9;Totaal mannen en vrouwen;0;0;0;vrijdag 26 september 2008;7412.6;100.0;29.4
10;Totaal mannen en vrouwen;0;0;1;vrijdag 24 september 1999;133.4;2.0;12.7
11;Totaal mannen en vrouwen;0;0;1;vrijdag 29 september 2000;135.5;2.0;13.3
12;Totaal mannen en vrouwen;0;0;1;vrijdag 28 september 2001;127.9;2.0;14.2
13;Totaal mannen en vrouwen;0;0;1;vrijdag 27 september 2002;126.9;2.0;14.9
14;Totaal mannen en vrouwen;0;0;1;vrijdag 26 september 2003;124.8;2.0;15.7
15;Totaal mannen en vrouwen;0;0;1;vrijdag 24 september 2004;124.2;2.0;15.7
16;Totaal mannen en vrouwen;0;0;1;vrijdag 30 september 2005;119.5;2.0;15.6
17;Totaal mannen en vrouwen;0;0;1;vrijdag 29 september 2006;118.2;2.0;16.4
18;Totaal mannen en vrouwen;0;0;1;vrijdag 28 september 2007;114.7;2.0;17.6
19;Totaal mannen en vrouwen;0;0;1;vrijdag 26 september 2008;111.3;2.0;18.7
20;Totaal mannen en vrouwen;0;0;2;vrijdag 24 september 1999;1420.0;21.0;25.1
21;Totaal mannen en vrouwen;0;0;2;vrijdag 29 september 2000;1424.6;21.0;26.1
22;Totaal mannen en vrouwen;0;0;2;vrijdag 28 september 2001;1421.8;20.0;27.8
23;Totaal mannen en vrouwen;0;0;2;vrijdag 27 september 2002;1381.9;19.0;28.9
24;Totaal mannen en vrouwen;0;0;2;vrijdag 26 september 2003;1327.4;19.0;29.8
25;Totaal mannen en vrouwen;0;0;2;vrijdag 24 september 2004;1281.1;18.0;30.6
26;Totaal mannen en vrouwen;0;0;2;vrijdag 30 september 2005;1251.9;18.0;31.0
27;Totaal mannen en vrouwen;0;0;2;vrijdag 29 september 2006;1208.5;17.0;32.8
28;Totaal mannen en vrouwen;0;0;2;vrijdag 28 september 2007;1218.8;17.0;33.6
29;Totaal mannen en vrouwen;0;0;2;vrijdag 26 september 2008;1222.7;16.0;34.9
30;Totaal mannen en vrouwen;0;0;3;vrijdag 24 september 1999;9.5;0.0;44.5
31;Totaal mannen en vrouwen;0;0;3;vrijdag 29 september 2000;9.5;0.0;46.8
32;Totaal mannen en vrouwen;0;0;3;vrijdag 28 september 2001;9.2;0.0;50.7
33;Totaal mannen en vrouwen;0;0;3;vrijdag 27 september 2002;9.1;0.0;52.9
34;Totaal mannen en vrouwen;0;0;3;vrijdag 26 september 2003;8.9;0.0;54.5
35;Totaal mannen en vrouwen;0;0;3;vrijdag 24 september 2004;8.7;0.0;56.6
36;Totaal mannen en vrouwen;0;0;3;vrijdag 30 september 2005;8.6;0.0;58.4
37;Totaal mannen en vrouwen;0;0;3;vrijdag 29 september 2006;7.1;0.0;64.1
38;Totaal mannen en vrouwen;0;0;3;vrijdag 28 september 2007;7.2;0.0;66.7
39;Totaal mannen en vrouwen;0;0;3;vrijdag 26 september 2008;7.2;0.0;69.2
40;Totaal mannen en vrouwen;0;0;4;vrijdag 24 september 1999;966.1;14.0;25.1
41;Totaal mannen en vrouwen;0;0;4;vrijdag 29 september 2000;966.2;14.0;26.1
42;Totaal mannen en vrouwen;0;0;4;vrijdag 28 september 2001;965.6;14.0;27.7
43;Totaal mannen en vrouwen;0;0;4;vrijdag 27 september 2002;934.0;13.0;28.7
44;Totaal mannen en vrouwen;0;0;4;vrijdag 26 september 2003;894.3;13.0;29.6
45;Totaal mannen en vrouwen;0;0;4;vrijdag 24 september 2004;869.2;12.0;30.3
46;Totaal mannen en vrouwen;0;0;4;vrijdag 30 september 2005;845.4;12.0;30.9
47;Totaal mannen en vrouwen;0;0;4;vrijdag 29 september 2006;811.3;11.0;32.6
48;Totaal mannen en vrouwen;0;0;4;vrijdag 28 september 2007;815.1;11.0;33.4
49;Totaal mannen en vrouwen;0;0;4;vrijdag 26 september 2008;818.5;11.0;34.5
50;Totaal mannen en vrouwen;0;0;5;vrijdag 24 september 1999;102.5;2.0;16.9
51;Totaal mannen en vrouwen;0;0;5;vrijdag 29 september 2000;104.8;2.0;17.1
52;Totaal mannen en vrouwen;0;0;5;vrijdag 28 september 2001;108.6;2.0;18.1
53;Totaal mannen en vrouwen;0;0;5;vrijdag 27 september 2002;109.3;2.0;18.7
54;Totaal mannen en vrouwen;0;0;5;vrijdag 26 september 2003;108.3;2.0;19.2
55;Totaal mannen en vrouwen;0;0;5;vrijdag 24 september 2004;110.9;2.0;19.1
56;Totaal mannen en vrouwen;0;0;5;vrijdag 30 september 2005;109.1;2.0;19.1
57;Totaal mannen en vrouwen;0;0;5;vrijdag 29 september 2006;102.3;1.0;19.3
58;Totaal mannen en vrouwen;0;0;5;vrijdag 28 september 2007;103.5;1.0;19.5
59;Totaal mannen en vrouwen;0;0;5;vrijdag 26 september 2008;106.4;1.0;19.8
60;Totaal mannen en vrouwen;0;0;6;vrijdag 24 september 1999;863.6;13.0;26.0
61;Totaal mannen en vrouwen;0;0;6;vrijdag 29 september 2000;861.4;12.0;27.2
62;Totaal mannen en vrouwen;0;0;6;vrijdag 28 september 2001;857.0;12.0;29.0
63;Totaal mannen en vrouwen;0;0;6;vrijdag 27 september 2002;824.7;12.0;30.0
64;Totaal mannen en vrouwen;0;0;6;vrijdag 26 september 2003;786.0;11.0;31.1
65;Totaal mannen en vrouwen;0;0;6;vrijdag 24 september 2004;758.3;11.0;31.9
66;Totaal mannen en vrouwen;0;0;6;vrijdag 30 september 2005;736.2;11.0;32.6
67;Totaal mannen en vrouwen;0;0;6;vrijdag 29 september 2006;709.0;10.0;34.5
68;Totaal mannen en vrouwen;0;0;6;vrijdag 28 september 2007;711.6;10.0;35.5
69;Totaal mannen en vrouwen;0;0;6;vrijdag 26 september 2008;712.1;10.0;36.7
70;Totaal mannen en vrouwen;0;0;7;vrijdag 24 september 1999;37.1;1.0;34.0
71;Totaal mannen en vrouwen;0;0;7;vrijdag 29 september 2000;34.6;1.0;35.3
72;Totaal mannen en vrouwen;0;0;7;vrijdag 28 september 2001;31.9;0.0;37.4
73;Totaal mannen en vrouwen;0;0;7;vrijdag 27 september 2002;30.6;0.0;39.7
74;Totaal mannen en vrouwen;0;0;7;vrijdag 26 september 2003;30.7;0.0;39.6
75;Totaal mannen en vrouwen;0;0;7;vrijdag 24 september 2004;28.5;0.0;41.0
76;Totaal mannen en vrouwen;0;0;7;vrijdag 30 september 2005;27.0;0.0;41.4
77;Totaal mannen en vrouwen;0;0;7;vrijdag 29 september 2006;23.9;0.0;44.0
78;Totaal mannen en vrouwen;0;0;7;vrijdag 28 september 2007;25.2;0.0;44.3
79;Totaal mannen en vrouwen;0;0;7;vrijdag 26 september 2008;25.9;0.0;47.1
80;Totaal mannen en vrouwen;0;0;8;vrijdag 24 september 1999;407.3;6.0;23.8
81;Totaal mannen en vrouwen;0;0;8;vrijdag 29 september 2000;414.4;6.0;24.8
82;Totaal mannen en vrouwen;0;0;8;vrijdag 28 september 2001;415.0;6.0;26.8
83;Totaal mannen en vrouwen;0;0;8;vrijdag 27 september 2002;408.3;6.0;27.9
84;Totaal mannen en vrouwen;0;0;8;vrijdag 26 september 2003;393.5;6.0;28.9
85;Totaal mannen en vrouwen;0;0;8;vrijdag 24 september 2004;374.8;5.0;30.0
86;Totaal mannen en vrouwen;0;0;8;vrijdag 30 september 2005;370.8;5.0;29.9
87;Totaal mannen en vrouwen;0;0;8;vrijdag 29 september 2006;366.3;5.0;32.0
88;Totaal mannen en vrouwen;0;0;8;vrijdag 28 september 2007;371.3;5.0;32.6
89;Totaal mannen en vrouwen;0;0;8;vrijdag 26 september 2008;371.1;5.0;34.1
90;Totaal mannen en vrouwen;0;0;9;vrijdag 24 september 1999;3217.3;48.0;20.1
91;Totaal mannen en vrouwen;0;0;9;vrijdag 29 september 2000;3295.7;48.0;21.2
92;Totaal mannen en vrouwen;0;0;9;vrijdag 28 september 2001;3341.5;47.0;23.0
93;Totaal mannen en vrouwen;0;0;9;vrijdag 27 september 2002;3324.8;47.0;23.5
94;Totaal mannen en vrouwen;0;0;9;vrijdag 26 september 2003;3263.0;46.0;24.3
95;Totaal mannen en vrouwen;0;0;9;vrijdag 24 september 2004;3241.4;46.0;24.8
96;Totaal mannen en vrouwen;0;0;9;vrijdag 30 september 2005;3272.6;47.0;25.3
97;Totaal mannen en vrouwen;0;0;9;vrijdag 29 september 2006;3465.6;49.0;27.0
98;Totaal mannen en vrouwen;0;0;9;vrijdag 28 september 2007;3605.7;49.0;28.0
99;Totaal mannen en vrouwen;0;0;9;vrijdag 26 september 2008;3664.8;49.0;28.9
100;Totaal mannen en vrouwen;0;0;50-52 Handel en reparatie;vrijdag 24 september 1999;1128.8;17.0;17.6
101;Totaal mannen en vrouwen;0;0;50-52 Handel en reparatie;vrijdag 29 september 2000;1164.0;17.0;18.1
102;Totaal mannen en vrouwen;0;0;50-52 Handel en reparatie;vrijdag 28 september 2001;1189.4;17.0;19.3
103;Totaal mannen en vrouwen;0;0;50-52 Handel en reparatie;vrijdag 27 september 2002;1185.3;17.0;19.6
104;Totaal mannen en vrouwen;0;0;50-52 Handel en reparatie;vrijdag 26 september 2003;1185.8;17.0;20.3
105;Totaal mannen en vrouwen;0;0;50-52 Handel en reparatie;vrijdag 24 september 2004;1167.6;17.0;20.8
106;Totaal mannen en vrouwen;0;0;50-52 Handel en reparatie;vrijdag 30 september 2005;1154.1;16.0;21.0
107;Totaal mannen en vrouwen;0;0;50-52 Handel en reparatie;vrijdag 29 september 2006;1155.8;16.0;21.9
108;Totaal mannen en vrouwen;0;0;50-52 Handel en reparatie;vrijdag 28 september 2007;1198.7;16.0;22.5
109;Totaal mannen en vrouwen;0;0;50-52 Handel en reparatie;vrijdag 26 september 2008;1227.1;17.0;23.1
110;Totaal mannen en vrouwen;0;0;55 Horeca;vrijdag 24 september 1999;226.7;3.0;10.5
111;Totaal mannen en vrouwen;0;0;55 Horeca;vrijdag 29 september 2000;235.2;3.0;10.8
112;Totaal mannen en vrouwen;0;0;55 Horeca;vrijdag 28 september 2001;242.5;3.0;11.2
113;Totaal mannen en vrouwen;0;0;55 Horeca;vrijdag 27 september 2002;248.1;3.0;11.6
114;Totaal mannen en vrouwen;0;0;55 Horeca;vrijdag 26 september 2003;246.7;3.0;11.8
115;Totaal mannen en vrouwen;0;0;55 Horeca;vrijdag 24 september 2004;243.8;3.0;11.9
116;Totaal mannen en vrouwen;0;0;55 Horeca;vrijdag 30 september 2005;248.3;4.0;11.9
117;Totaal mannen en vrouwen;0;0;55 Horeca;vrijdag 29 september 2006;260.4;4.0;12.0
118;Totaal mannen en vrouwen;0;0;55 Horeca;vrijdag 28 september 2007;271.4;4.0;12.0
119;Totaal mannen en vrouwen;0;0;55 Horeca;vrijdag 26 september 2008;277.5;4.0;12.2
120;Totaal mannen en vrouwen;0;0;60-64 Vervoer, opslag en communicatie;vrijdag 24 september 1999;419.8;6.0;24.9
121;Totaal mannen en vrouwen;0;0;60-64 Vervoer, opslag en communicatie;vrijdag 29 september 2000;441.3;6.0;25.8
122;Totaal mannen en vrouwen;0;0;60-64 Vervoer, opslag en communicatie;vrijdag 28 september 2001;448.4;6.0;27.0
123;Totaal mannen en vrouwen;0;0;60-64 Vervoer, opslag en communicatie;vrijdag 27 september 2002;455.0;6.0;27.0
124;Totaal mannen en vrouwen;0;0;60-64 Vervoer, opslag en communicatie;vrijdag 26 september 2003;444.1;6.0;27.5
125;Totaal mannen en vrouwen;0;0;60-64 Vervoer, opslag en communicatie;vrijdag 24 september 2004;434.0;6.0;28.3
126;Totaal mannen en vrouwen;0;0;60-64 Vervoer, opslag en communicatie;vrijdag 30 september 2005;418.5;6.0;29.2
127;Totaal mannen en vrouwen;0;0;60-64 Vervoer, opslag en communicatie;vrijdag 29 september 2006;410.0;6.0;31.2
128;Totaal mannen en vrouwen;0;0;60-64 Vervoer, opslag en communicatie;vrijdag 28 september 2007;428.8;6.0;31.4
129;Totaal mannen en vrouwen;0;0;60-64 Vervoer, opslag en communicatie;vrijdag 26 september 2008;429.4;6.0;32.2
