ID;SectorBranchesSIC2008;Periods;TurnoverIndicesOnlineSales_1;TurnoverYearOnYearChange_2
0;Retail trade, no petrol stations and ..;2014 January;77.1;8.4
1;Retail trade, no petrol stations and ..;2014 February;67.3;8.2
2;Retail trade, no petrol stations and ..;2014 March;76.0;11.8
3;Retail trade, no petrol stations and ..;2014 1st quarter;73.5;9.5
4;Retail trade, no petrol stations and ..;2014 April;79.7;19.9
5;Retail trade, no petrol stations and ..;2014 May;80.3;10.5
6;Retail trade, no petrol stations and ..;2014 June;80.3;11.0
7;Retail trade, no petrol stations and ..;2014 2nd quarter;80.1;13.6
8;Retail trade, no petrol stations and ..;2014 July;77.7;8.7
9;Retail trade, no petrol stations and ..;2014 August;76.6;13.6
10;Retail trade, no petrol stations and ..;2014 September;81.0;4.8
11;Retail trade, no petrol stations and ..;2014 3rd quarter;78.4;8.8
12;Retail trade, no petrol stations and ..;2014 October;85.0;10.9
13;Retail trade, no petrol stations and ..;2014 November;91.8;11.9
14;Retail trade, no petrol stations and ..;2014 December;110.2;21.1
15;Retail trade, no petrol stations and ..;2014 4th quarter;95.7;15.0
16;Retail trade, no petrol stations and ..;2014;81.9;11.9
17;Retail trade, no petrol stations and ..;2015 January;91.0;18.0
18;Retail trade, no petrol stations and ..;2015 February;78.2;16.1
19;Retail trade, no petrol stations and ..;2015 March;90.5;19.1
20;Retail trade, no petrol stations and ..;2015 1st quarter;86.5;17.8
21;Retail trade, no petrol stations and ..;2015 April;93.6;17.5
22;Retail trade, no petrol stations and ..;2015 May;90.7;12.9
23;Retail trade, no petrol stations and ..;2015 June;102.9;28.2
24;Retail trade, no petrol stations and ..;2015 2nd quarter;95.7;19.5
25;Retail trade, no petrol stations and ..;2015 July;97.0;24.8
26;Retail trade, no petrol stations and ..;2015 August;92.9;21.2
27;Retail trade, no petrol stations and ..;2015 September;104.1;28.5
28;Retail trade, no petrol stations and ..;2015 3rd quarter;98.0;24.9
29;Retail trade, no petrol stations and ..;2015 October;105.2;23.8
30;Retail trade, no petrol stations and ..;2015 November;116.3;26.7
