ID;Population;GiftCharacteristics;DonorCharacteristics;RecipientCharacteristics;Periods;NumberOfGifts_1;TotalGrossValueOfGifts_2;MeanGrossValueOfGifts_3;MedianGrossValueOfGifts_4;TotalAmountOfTaxDue_5;MeanAmountOfTaxDue_6;MedianAmountOfTaxDue_7;TotalNetValueOfGifts_8;MeanNetValueOfGifts_9;MedianNetValueOfGifts_10
0;All gifts;All gifts;All donors;All recipients;2007;93.6;3925.7;41.9;25.3;332.4;3.6;1.1;3593.3;38.4;24.0
1;All gifts;All gifts;All donors;All recipients;2008;89.8;4272.2;47.6;26.0;337.8;3.8;1.1;3934.4;43.8;24.9
2;All gifts;All gifts;All donors;All recipients;2009;98.9;4210.4;42.6;27.3;348.4;3.5;1.1;3862.0;39.0;26.2
3;All gifts;All gifts;All donors;All recipients;2010;54.6;3585.2;65.7;27.2;327.1;6.0;2.0;3258.1;59.7;25.0
4;All gifts;All gifts;All donors;All recipients;2011;52.0;3630.5;69.8;30.7;261.2;5.0;2.0;3369.3;64.8;28.6
5;All gifts;All gifts;All donors;All recipients;2012;50.1;4218.4;84.1;34.1;299.4;6.0;2.0;3919.0;78.2;31.2
6;All gifts;All gifts;All donors;All recipients;2013;97.8;7202.6;73.7;45.0;320.5;3.3;0.0;6882.0;70.4;44.1
7;All gifts;All gifts;All donors;All recipients;2014;156.6;10367.7;66.2;50.0;283.8;1.8;0.0;10084.0;64.4;50.0
8;All gifts;All gifts;All donors;All recipients;2015;52.8;4731.7;89.6;38.3;308.7;5.8;2.0;4423.0;83.7;35.0
9;All gifts;All gifts;All donors;All recipients;2016;54.7;5141.8;94.0;40.0;343.4;6.3;2.0;4798.4;87.7;36.5
10;All gifts;All gifts;All donors;All recipients;2017;72.7;6507.2;89.5;50.0;406.8;5.6;0.9;6100.4;83.9;46.8
11;All gifts;All gifts;All donors;All recipients;2018;67.2;6604.9;98.2;50.0;399.5;5.9;1.8;6205.5;92.3;45.5
12;All gifts;All gifts;All donors;All recipients;2019;70.9;7480.6;105.5;50.0;454.5;6.4;2.0;7026.1;99.1;50.0
13;All gifts;All gifts;All donors;All recipients;2020;82.4;9112.1;110.6;50.0;586.7;7.1;2.0;8525.5;103.5;50.0
14;All gifts;All gifts;All donors;All recipients;2021;97.1;12002.9;123.6;59.1;685.3;7.1;1.8;11317.7;116.5;54.6
15;All gifts;All gifts;All donors;All recipients;2022;116.4;9710.9;83.4;50.0;574.4;4.9;0.0;9136.5;78.5;50.0
16;All gifts;All gifts;All donors;Sex: man;2007;43.2;1927.1;44.6;25.0;169.4;3.9;1.1;1757.7;40.7;24.0
17;All gifts;All gifts;All donors;Sex: man;2008;41.7;1906.3;45.7;26.0;182.3;4.4;1.1;1724.0;41.3;24.9
18;All gifts;All gifts;All donors;Sex: man;2009;46.0;2044.0;44.4;27.3;174.5;3.8;1.1;1869.4;40.6;26.2
19;All gifts;All gifts;All donors;Sex: man;2010;25.8;1882.4;73.0;27.2;151.3;5.9;1.9;1731.1;67.1;25.1
20;All gifts;All gifts;All donors;Sex: man;2011;25.2;2087.0;82.7;32.5;124.3;4.9;1.7;1962.7;77.8;30.0
21;All gifts;All gifts;All donors;Sex: man;2012;24.4;2385.4;97.6;35.0;143.3;5.9;2.0;2242.1;91.8;32.0
22;All gifts;All gifts;All donors;Sex: man;2013;48.0;4001.3;83.4;45.1;155.4;3.2;0.0;3845.9;80.2;44.5
