ID;BatenLastenSaldo;Perioden;TotaalFuncties_1;AlgemeenBestuur_2;OpenbareOrdeEnVeiligheid_3;TotaalVerkeerVervoerEnWaterstaat_4;WegenEnVerkeer_5;OpenbaarVervoer_6;Parkeren_7;HavensLuchtvaartEnWaterstaat_8;EconomischeZaken_9;TotaalOnderwijs_10;Huisvesting_11;Overig_12;TotaalCultuurEnRecreatie_13;RecreatieEnNatuur_14;Sport_15;KunstBibliothekenEnOverig_16;TotaalSocVoorzEnMaatschDnstverl_17;Inkomensvoorzieningen_18;Werkgelegenheid_19;TotaalJeugdEnWMO_20;Jeugd_21;WMO_22;Onverdeeld_23;VreemdelingenTehuizenEnKinderopvang_24;TotaalVolksgezondheidEnMilieu_25;Volksgezondheid_26;AfvalverwijderingEnVerwerking_27;Riolering_28;Overig_29;TotaalRuimtelijkeOrdEnVolkshuisv_30;Bouwgrondexploitatie_31;Overig_32;TotaalFinancieringEnAlgDekkingsmid_33;UitkeringenGemeentefonds_34;OnroerendeZaakbelasting_35;GeldleningenEnUitzettingen_36;OverigeBatenEnLasten_37;TotaalMutatieReserves_38;ResultaatVanDeRekening_39;ToevoegingOnttrekkingReserves_40
0;Baten;2005;8583;47;382;1434;331;1032;0;71;300;84;22;63;149;82;1;67;3126;244;2512;364;0;364;;6;2361;1868;340;0;153;367;148;218;130;15;0;57;57;204;56;148
1;Baten;2006;7497;50;461;1510;311;1119;0;81;308;94;22;72;142;79;1;62;3202;316;2545;334;1;333;;8;1149;644;354;0;152;349;211;138;110;10;0;37;64;121;38;83
2;Baten;2007;8193;55;514;1654;380;1180;0;94;323;84;23;61;159;93;1;65;3606;449;2668;481;1;480;;8;1212;723;324;1;164;322;185;137;158;9;0;58;92;106;32;74
3;Baten;2008;8328;77;567;1456;297;1078;0;81;324;91;26;66;148;85;1;63;3758;469;2771;510;0;510;;8;1266;745;334;8;179;309;118;192;202;8;0;72;121;130;33;97
4;Baten;2009;8799;82;690;1768;456;1233;0;79;226;100;28;72;157;88;1;68;3915;491;2861;553;0;553;;10;1240;748;309;10;172;243;104;139;189;7;0;41;141;190;58;132
5;Baten;2010;8894;78;807;1617;327;1213;0;78;226;51;0;51;153;83;1;69;4043;539;2928;565;0;565;;10;1257;738;307;10;202;254;114;141;184;0;0;45;139;222;56;166
6;Baten;2011;9216;83;927;1816;423;1272;0;120;169;47;0;47;155;89;1;66;4015;550;2882;579;0;579;;5;1302;783;269;10;240;142;74;68;283;0;0;73;210;276;142;133
7;Baten;2012;9399;111;965;1678;225;1370;0;83;156;50;0;50;171;105;1;66;3976;556;2816;599;0;599;;5;1438;907;292;0;239;177;144;33;331;0;0;54;276;348;144;204
8;Baten;2013;9816;271;1167;1627;321;1257;13;36;115;60;2;58;220;131;1;88;4043;629;2818;593;0;593;;3;1482;879;312;0;292;160;114;46;446;0;0;48;397;226;57;169
9;Baten;2014;10595;439;1350;1772;362;1352;11;48;135;57;3;54;229;149;2;79;4144;722;2834;586;1;585;;2;1677;902;347;6;422;164;112;51;432;0;0;104;327;196;47;149
10;Baten;2015;10059;391;1360;1329;206;1061;13;49;191;40;4;37;188;112;2;75;4332;746;2762;822;348;279;196.0;2;1522;760;353;4;405;143;92;51;395;0;0;31;364;168;31;137
11;Baten;2016;10183;472;1397;1237;302;885;0;49;92;38;2;36;169;88;1;80;4635;1110;2710;813;417;249;147.0;2;1524;771;322;4;427;136;90;45;345;0;0;22;322;138;32;105
12;Baten;2017;10638;598;1375;1577;372;1154;0;52;91;36;2;34;191;111;1;79;4540;1154;2503;882;429;287;166.0;1;1597;820;332;2;443;139;93;45;323;4;0;27;293;170;55;115
13;Lasten;2005;8583;44;377;1402;339;1028;0;36;280;85;23;61;165;95;1;70;3090;243;2524;317;0;317;;6;2431;1945;331;0;154;389;148;240;64;0;0;22;42;257;173;84
14;Lasten;2006;7497;45;455;1475;300;1134;0;40;284;95;24;71;145;82;1;62;3200;314;2554;324;1;323;;7;1129;631;347;0;151;374;234;140;78;0;0;32;46;217;139;78
15;Lasten;2007;8193;66;501;1609;329;1233;0;48;294;83;23;60;156;93;1;62;3580;451;2651;471;1;470;;8;1181;704;317;0;161;334;177;157;112;0;0;37;75;275;183;92
16;Lasten;2008;8328;79;551;1433;336;1055;0;42;296;93;25;68;150;86;1;63;3744;481;2749;506;0;505;;8;1254;734;328;8;184;328;144;184;165;0;0;53;112;235;152;83
17;Lasten;2009;8799;112;680;1742;446;1246;0;50;193;100;28;72;160;94;1;66;3914;499;2847;560;0;560;;8;1237;740;306;10;181;231;90;141;165;0;0;44;122;265;128;137
18;Lasten;2010;8894;95;788;1626;336;1217;0;73;225;52;0;52;164;97;1;67;4064;557;2923;572;0;572;;11;1237;726;302;10;199;244;85;160;162;0;0;45;117;237;102;135
19;Lasten;2011;9216;101;902;1811;391;1318;0;102;183;47;0;47;150;86;1;63;4071;555;2913;595;0;595;;8;1287;768;266;10;243;147;71;76;290;0;0;129;161;226;111;115
20;Lasten;2012;9399;126;977;1780;275;1431;0;73;166;50;0;50;169;102;1;66;3994;551;2835;603;0;603;;5;1426;896;291;0;239;181;133;48;229;0;0;52;177;302;121;180
21;Lasten;2013;9816;293;1167;1644;331;1274;1;39;136;59;2;57;258;153;4;101;4084;631;2848;602;1;601;;3;1472;871;304;1;295;183;117;66;300;0;0;37;263;221;127;94
22;Lasten;2014;10595;447;1324;1759;355;1361;1;42;156;58;3;54;251;169;2;80;4183;725;2863;592;1;591;;2;1657;893;335;6;423;181;118;63;358;0;0;96;262;223;142;81
23;Lasten;2015;10059;401;1341;1326;210;1075;1;40;195;40;4;37;196;116;2;78;4320;744;2754;821;339;264;218.0;2;1509;760;337;6;407;144;97;46;326;0;0;35;291;260;164;97
24;Lasten;2016;10183;483;1383;1228;302;886;0;40;113;38;2;36;177;92;1;83;4641;1117;2718;805;407;231;167.0;2;1529;782;318;3;427;135;95;39;267;0;0;19;248;190;143;47
25;Lasten;2017;10638;581;1368;1569;372;1154;0;42;106;37;3;34;191;106;2;83;4538;1157;2501;879;424;275;180.0;1;1594;825;311;4;454;129;85;44;278;0;0;31;247;248;167;82
26;Saldo;2005;0;2;5;32;-8;4;0;36;20;0;-2;1;-15;-12;0;-3;36;1;-12;47;0;47;;0;-70;-77;8;0;-2;-22;0;-22;66;15;0;35;15;-53;-116;64
27;Saldo;2006;0;5;5;36;11;-16;0;41;24;-1;-2;1;-3;-3;0;0;3;2;-9;10;0;10;;0;21;12;7;0;1;-26;-23;-3;33;10;0;5;18;-96;-101;5
28;Saldo;2007;0;-11;13;45;51;-52;0;46;29;1;0;1;3;0;0;3;25;-2;17;10;0;10;;0;31;20;7;1;3;-12;8;-20;46;9;0;21;16;-169;-151;-18
29;Saldo;2008;0;-2;16;23;-39;23;0;39;28;-2;0;-2;-1;-1;0;0;14;-12;22;4;0;4;;0;12;12;5;0;-5;-19;-26;7;36;8;0;19;10;-105;-118;13
30;Saldo;2009;0;-30;10;26;10;-13;0;29;33;0;0;0;-4;-6;0;3;0;-9;14;-6;0;-6;;2;2;8;4;0;-9;12;14;-3;23;7;0;-2;19;-75;-70;-5
31;Saldo;2010;0;-17;19;-9;-9;-4;0;5;1;-1;0;-1;-11;-13;0;3;-21;-17;5;-7;0;-7;;-1;21;13;5;0;4;10;29;-19;22;0;0;0;22;-15;-46;31
32;Saldo;2011;0;-18;24;5;32;-46;0;19;-14;0;0;0;5;3;0;3;-56;-5;-31;-16;0;-16;;-3;15;14;3;0;-2;-5;3;-8;-6;0;0;-56;49;50;31;18
33;Saldo;2012;0;-15;-12;-102;-50;-61;0;10;-10;0;0;0;2;3;0;-1;-18;5;-18;-4;0;-4;;0;11;11;1;0;-1;-4;11;-14;102;0;0;2;100;46;23;24
34;Saldo;2013;0;-22;0;-17;-9;-17;13;-3;-21;0;-1;1;-38;-22;-3;-13;-41;-2;-30;-9;-1;-8;;0;10;7;8;-1;-3;-23;-3;-20;146;0;0;11;135;5;-70;76
35;Saldo;2014;0;-8;26;13;7;-10;10;6;-21;0;0;0;-21;-20;0;-1;-38;-4;-29;-6;0;-6;;0;21;9;12;1;-1;-17;-6;-12;73;0;0;8;65;-27;-96;69
36;Saldo;2015;0;-10;19;3;-5;-13;12;9;-4;0;0;0;-8;-5;0;-3;11;2;8;1;9;15;-22.0;0;13;0;16;-2;-2;-1;-5;4;69;0;0;-4;73;-92;-132;41
37;Saldo;2016;0;-11;14;10;1;0;0;9;-21;0;0;0;-7;-4;0;-3;-6;-7;-8;8;10;18;-20.0;0;-5;-10;4;1;0;1;-5;6;77;0;0;3;74;-52;-111;58
38;Saldo;2017;0;17;7;8;0;0;0;9;-15;0;0;0;0;5;-1;-4;2;-3;2;3;5;11;-14.0;0;3;-5;21;-2;-11;10;8;2;45;4;0;-4;46;-78;-112;34
