ID;SamenstellingHuishoudenInEersteJaar;SamenstellingHuishoudenInTweedeJaar;Perioden;Koopkrachtontwikkeling_1;k_10ePercentiel_2;k_25ePercentiel_3;k_50ePercentiel_4;k_75ePercentiel_5;k_90ePercentiel_6;PercentageVanDeBevolking_7;PercentageVanCategorieIn1eJaar_8;PercentageMetInkomensdaling_9
0;Totaal personen;Totaal personen;2001;5.0;-16.0;-2.8;5.0;15.1;32.0;100.0;100.0;32.0
1;Totaal personen;Totaal personen;2002;1.6;-19.0;-5.2;1.6;9.0;23.0;100.0;100.0;40.0
2;Totaal personen;Totaal personen;2003;0.1;-20.0;-6.4;0.1;6.8;19.0;100.0;100.0;49.0
3;Totaal personen;Totaal personen;2004;0.7;-18.0;-5.4;0.7;8.2;24.0;100.0;100.0;46.0
4;Totaal personen;Totaal personen;2005;-0.3;-19.0;-6.5;-0.3;7.7;23.0;100.0;100.0;52.0
5;Totaal personen;Totaal personen;2006;3.0;-16.0;-3.6;3.0;12.0;28.0;100.0;100.0;36.0
6;Totaal personen;Totaal personen;2007;3.1;-14.0;-2.4;3.1;11.6;29.0;100.0;100.0;33.0
7;Totaal personen;Totaal personen;2008;1.4;-17.0;-4.6;1.4;9.1;23.0;100.0;100.0;42.0
8;Totaal personen;Totaal personen;2009;1.9;-19.0;-5.2;1.9;9.1;23.0;100.0;100.0;41.0
9;Totaal personen;Totaal personen;2010;-0.5;-21.0;-7.5;-0.5;6.0;21.0;100.0;100.0;54.0
10;Totaal personen;Totaal personen;2011;-0.7;-19.0;-6.4;-0.7;6.2;21.0;100.0;100.0;54.0
11;Totaal personen;Totaal personen;2012;-1.1;-20.0;-7.3;-1.1;5.1;19.0;100.0;100.0;58.0
12;Totaal personen;Totaal personen;2013;-1.2;-20.0;-7.2;-1.2;5.7;21.0;100.0;100.0;56.0
13;Totaal personen;Totaal personen;2014;1.8;-17.0;-4.2;1.8;9.3;27.0;100.0;100.0;38.0
14;Totaal personen;Totaal personen;2015;1.1;-18.0;-4.4;1.1;7.9;22.0;100.0;100.0;42.0
15;Totaal personen;Totaal eenpersoonshuishouden;2001;3.0;-23.0;-3.8;3.0;10.4;27.0;15.0;15.0;35.0
16;Totaal personen;Totaal eenpersoonshuishouden;2002;1.1;-25.0;-4.2;1.1;6.0;20.0;15.0;15.0;37.0
17;Totaal personen;Totaal eenpersoonshuishouden;2003;-0.1;-25.0;-5.2;-0.1;4.0;17.0;15.0;15.0;52.0
18;Totaal personen;Totaal eenpersoonshuishouden;2004;-0.2;-24.0;-5.1;-0.2;4.1;18.0;15.0;15.0;52.0
19;Totaal personen;Totaal eenpersoonshuishouden;2005;-1.3;-24.0;-6.1;-1.3;3.3;18.0;15.0;15.0;62.0
20;Totaal personen;Totaal eenpersoonshuishouden;2006;1.8;-20.0;-3.4;1.8;7.8;24.0;15.0;15.0;37.0
21;Totaal personen;Totaal eenpersoonshuishouden;2007;1.5;-20.0;-2.8;1.5;7.2;23.0;16.0;16.0;35.0
22;Totaal personen;Totaal eenpersoonshuishouden;2008;0.2;-22.0;-4.2;0.2;6.0;20.0;16.0;16.0;47.0
23;Totaal personen;Totaal eenpersoonshuishouden;2009;1.5;-29.0;-5.6;1.5;7.2;26.0;16.0;16.0;42.0
24;Totaal personen;Totaal eenpersoonshuishouden;2010;-0.8;-35.0;-9.6;-0.8;3.2;19.0;16.0;16.0;61.0
25;Totaal personen;Totaal eenpersoonshuishouden;2011;-1.4;-30.0;-7.2;-1.4;3.4;21.0;16.0;16.0;65.0
26;Totaal personen;Totaal eenpersoonshuishouden;2012;-1.3;-32.0;-7.7;-1.3;2.8;17.0;17.0;17.0;64.0
27;Totaal personen;Totaal eenpersoonshuishouden;2013;-1.7;-30.0;-7.8;-1.7;3.1;19.0;17.0;17.0;64.0
28;Totaal personen;Totaal eenpersoonshuishouden;2014;1.3;-30.0;-4.6;1.3;6.4;24.0;17.0;17.0;38.0
29;Totaal personen;Totaal eenpersoonshuishouden;2015;0.4;-30.0;-5.3;0.4;4.4;19.0;17.0;17.0;45.0
30;Totaal personen;Alleenstaande man;2001;3.7;-25.0;-4.9;3.7;13.7;32.0;6.0;6.0;35.0
31;Totaal personen;Alleenstaande man;2002;1.0;-28.0;-7.1;1.0;7.8;24.0;7.0;7.0;41.0
32;Totaal personen;Alleenstaande man;2003;-0.2;-30.0;-8.0;-0.2;5.6;20.0;7.0;7.0;52.0
33;Totaal personen;Alleenstaande man;2004;-0.2;-29.0;-7.5;-0.2;5.9;22.0;7.0;7.0;52.0
34;Totaal personen;Alleenstaande man;2005;-1.6;-29.0;-8.8;-1.6;5.1;23.0;7.0;7.0;60.0
35;Totaal personen;Alleenstaande man;2006;2.1;-25.0;-4.6;2.1;10.7;30.0;7.0;7.0;38.0
36;Totaal personen;Alleenstaande man;2007;1.8;-24.0;-4.6;1.8;9.9;28.0;7.0;7.0;37.0
37;Totaal personen;Alleenstaande man;2008;0.4;-25.0;-5.7;0.4;8.2;25.0;7.0;7.0;47.0
38;Totaal personen;Alleenstaande man;2009;1.6;-32.0;-7.8;1.6;9.4;30.0;7.0;7.0;42.0
39;Totaal personen;Alleenstaande man;2010;-0.9;-37.0;-12.3;-0.9;4.8;23.0;7.0;7.0;59.0
40;Totaal personen;Alleenstaande man;2011;-1.3;-33.0;-9.1;-1.3;5.1;25.0;8.0;8.0;60.0
41;Totaal personen;Alleenstaande man;2012;-1.4;-35.0;-10.0;-1.4;3.9;20.0;8.0;8.0;62.0
42;Totaal personen;Alleenstaande man;2013;-1.5;-32.0;-9.5;-1.5;4.7;22.0;8.0;8.0;60.0
43;Totaal personen;Alleenstaande man;2014;1.3;-32.0;-6.4;1.3;8.0;27.0;8.0;8.0;40.0
44;Totaal personen;Alleenstaande man;2015;0.5;-32.0;-6.9;0.5;6.3;23.0;8.0;8.0;45.0
45;Totaal personen;Alleenstaande man, tot 65 jaar;2001;4.8;-28.0;-5.9;4.8;15.5;36.0;5.0;5.0;34.0
46;Totaal personen;Alleenstaande man, tot 65 jaar;2002;0.9;-31.0;-9.2;0.9;8.5;26.0;5.0;5.0;44.0
47;Totaal personen;Alleenstaande man, tot 65 jaar;2003;-0.3;-32.0;-10.4;-0.3;6.1;21.0;6.0;6.0;53.0
48;Totaal personen;Alleenstaande man, tot 65 jaar;2004;-0.3;-32.0;-10.2;-0.3;6.7;24.0;6.0;6.0;53.0
49;Totaal personen;Alleenstaande man, tot 65 jaar;2005;-2.0;-31.0;-10.5;-2.0;6.3;26.0;6.0;6.0;59.0
50;Totaal personen;Alleenstaande man, tot 65 jaar;2006;2.3;-28.0;-6.1;2.3;12.1;34.0;6.0;6.0;38.0
51;Totaal personen;Alleenstaande man, tot 65 jaar;2007;2.1;-27.0;-6.3;2.1;11.6;32.0;6.0;6.0;39.0
52;Totaal personen;Alleenstaande man, tot 65 jaar;2008;0.4;-28.0;-7.6;0.4;9.3;27.0;6.0;6.0;48.0
53;Totaal personen;Alleenstaande man, tot 65 jaar;2009;1.8;-36.0;-10.0;1.8;10.9;35.0;6.0;6.0;42.0
54;Totaal personen;Alleenstaande man, tot 65 jaar;2010;-1.1;-41.0;-14.8;-1.1;5.7;26.0;6.0;6.0;57.0
55;Totaal personen;Alleenstaande man, tot 65 jaar;2011;-1.2;-38.0;-11.1;-1.2;6.5;29.0;6.0;6.0;57.0
56;Totaal personen;Alleenstaande man, tot 65 jaar;2012;-1.8;-40.0;-13.5;-1.8;4.6;22.0;6.0;6.0;61.0
57;Totaal personen;Alleenstaande man, tot 65 jaar;2013;-1.1;-37.0;-11.9;-1.1;6.2;27.0;6.0;6.0;56.0
58;Totaal personen;Alleenstaande man, tot 65 jaar;2014;1.6;-38.0;-9.2;1.6;9.2;31.0;6.0;6.0;42.0
59;Totaal personen;Alleenstaande man, tot 65 jaar;2015;0.5;-37.0;-9.4;0.5;7.6;26.0;6.0;6.0;46.0
60;Totaal personen;Alleenstaande man, 65 jaar of ouder;2001;1.8;-13.0;-3.0;1.8;5.5;18.0;1.0;1.0;39.0
61;Totaal personen;Alleenstaande man, 65 jaar of ouder;2002;1.5;-10.0;-0.6;1.5;4.8;19.0;1.0;1.0;28.0
62;Totaal personen;Alleenstaande man, 65 jaar of ouder;2003;0.2;-8.0;-1.7;0.2;3.2;15.0;1.0;1.0;47.0
63;Totaal personen;Alleenstaande man, 65 jaar of ouder;2004;0.1;-9.0;-2.2;0.1;2.8;12.0;1.0;1.0;48.0
64;Totaal personen;Alleenstaande man, 65 jaar of ouder;2005;-1.2;-12.0;-3.6;-1.2;1.8;11.0;1.0;1.0;64.0
65;Totaal personen;Alleenstaande man, 65 jaar of ouder;2006;1.6;-9.0;-1.6;1.6;5.3;16.0;1.0;1.0;36.0
66;Totaal personen;Alleenstaande man, 65 jaar of ouder;2007;1.4;-9.0;-0.9;1.4;4.5;14.0;1.0;1.0;30.0
67;Totaal personen;Alleenstaande man, 65 jaar of ouder;2008;0.4;-7.0;-1.2;0.4;4.8;16.0;1.0;1.0;41.0
68;Totaal personen;Alleenstaande man, 65 jaar of ouder;2009;0.9;-12.0;-2.7;0.9;3.9;14.0;1.0;1.0;42.0
69;Totaal personen;Alleenstaande man, 65 jaar of ouder;2010;-0.7;-16.0;-5.3;-0.7;1.3;11.0;1.0;1.0;66.0
70;Totaal personen;Alleenstaande man, 65 jaar of ouder;2011;-1.5;-14.0;-4.7;-1.5;0.4;11.0;1.0;1.0;73.0
71;Totaal personen;Alleenstaande man, 65 jaar of ouder;2012;-1.1;-10.0;-3.2;-1.1;1.8;11.0;1.0;1.0;66.0
72;Totaal personen;Alleenstaande man, 65 jaar of ouder;2013;-2.8;-15.0;-6.0;-2.8;0.0;9.0;2.0;2.0;75.0
73;Totaal personen;Alleenstaande man, 65 jaar of ouder;2014;1.0;-11.0;-1.8;1.0;3.6;15.0;2.0;2.0;36.0
