ID;Geslacht;Leeftijd;IndicatieGrondslag;IndicatieZZV;GebruikZZV;RegioS;Perioden;PersMetIndicatieGebruikInJaar_1;PersMetIndicatieGebruikInJaar_2;PersMetIndicatieGebruikOpPeildatum_3;UrenInJaar_4;DagdelenInJaar_5
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Nederland;2009;813810.0;4.83;621395.0;;
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Nederland;2010;870055.0;5.14;656950.0;;
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Nederland;2011;904490.0;5.32;693740.0;;
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Nederland;2012;907130.0;5.31;703040.0;;
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Nederland;2013;893120.0;5.21;686495.0;;
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Nederland;2014;884725.0;5.14;691420.0;;
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Noord-Nederland (LD);2009;99025.0;5.69;76555.0;;
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Noord-Nederland (LD);2010;106980.0;6.13;81155.0;;
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Noord-Nederland (LD);2011;111110.0;6.36;86380.0;;
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Noord-Nederland (LD);2012;112350.0;6.43;87875.0;;
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Noord-Nederland (LD);2013;107850.0;6.18;84060.0;;
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Noord-Nederland (LD);2014;109980.0;6.29;87000.0;;
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Oost-Nederland (LD);2009;181025.0;5.08;139290.0;;
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Oost-Nederland (LD);2010;191800.0;5.35;145585.0;;
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Totaal indicatie en/of gebruik ZZV;Oost-Nederland (LD);2011;201100.0;5.59;155195.0;;
