ID;Geslacht;Leeftijd;BurgerlijkeStaat;Herkomstland;GeboortelandOuders;Perioden;GemiddeldAantalVerzekerdeJarenAOW_1;GemiddeldOpbouwpercentageAOW_2
0;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Totaal;2020;19.0;77.1
1;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Totaal;2021;19.0;75.8
2;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Totaal;2022;19.0;74.4
3;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Totaal;2023;19.0;73.3
4;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in Nederland;2020;25.0;97.8
5;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in Nederland;2021;25.0;97.8
6;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in Nederland;2022;25.0;97.8
7;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in Nederland;2023;25.0;97.8
8;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren buiten Nederland;2020;11.0;44.6
9;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren buiten Nederland;2021;11.0;43.9
10;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren buiten Nederland;2022;11.0;42.3
11;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren buiten Nederland;2023;11.0;41.6
12;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouders in NL;2020;26.0;98.1
13;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouders in NL;2021;26.0;98.1
14;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouders in NL;2022;26.0;98.1
15;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouders in NL;2023;26.0;98.1
16;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouder(s) buiten NL;2020;18.0;95.9
17;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouder(s) buiten NL;2021;18.0;95.8
18;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouder(s) buiten NL;2022;18.0;95.8
19;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouder(s) buiten NL;2023;19.0;95.7
20;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Totaal;2020;26.0;98.1
21;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Totaal;2021;26.0;98.1
22;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Totaal;2022;26.0;98.1
23;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Totaal;2023;26.0;98.1
24;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in Nederland;2020;26.0;98.1
25;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in Nederland;2021;26.0;98.1
26;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in Nederland;2022;26.0;98.1
27;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in Nederland;2023;26.0;98.1
28;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren buiten Nederland;2020;;
29;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren buiten Nederland;2021;;
30;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren buiten Nederland;2022;;
31;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren buiten Nederland;2023;;
32;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouders in NL;2020;26.0;98.1
33;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouders in NL;2021;26.0;98.1
34;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouders in NL;2022;26.0;98.1
35;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouders in NL;2023;26.0;98.1
36;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouder(s) buiten NL;2020;;
37;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouder(s) buiten NL;2021;;
38;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouder(s) buiten NL;2022;;
39;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouder(s) buiten NL;2023;;
40;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Totaal;2020;10.0;45.0
41;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Totaal;2021;10.0;44.3
42;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Totaal;2022;10.0;42.2
43;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Totaal;2023;9.0;41.7
44;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren in Nederland;2020;22.0;95.3
45;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren in Nederland;2021;22.0;95.2
46;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren in Nederland;2022;22.0;95.1
47;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren in Nederland;2023;22.0;95.1
48;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren buiten Nederland;2020;8.0;33.9
49;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren buiten Nederland;2021;8.0;33.7
50;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren buiten Nederland;2022;7.0;32.2
51;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren buiten Nederland;2023;7.0;32.1
52;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2020;;
53;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2021;;
54;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2022;;
55;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2023;;
56;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2020;22.0;95.3
57;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2021;22.0;95.2
58;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2022;22.0;95.1
59;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2023;22.0;95.1
60;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Totaal;2020;15.0;65.9
61;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Totaal;2021;15.0;65.3
62;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Totaal;2022;15.0;64.3
63;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Totaal;2023;15.0;63.6
64;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren in Nederland;2020;17.0;96.1
65;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren in Nederland;2021;17.0;96.0
66;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren in Nederland;2022;17.0;96.0
67;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren in Nederland;2023;17.0;95.9
68;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren buiten Nederland;2020;14.0;52.1
69;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren buiten Nederland;2021;14.0;51.3
70;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren buiten Nederland;2022;14.0;50.1
71;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren buiten Nederland;2023;13.0;49.2
72;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren in NL, ouders in NL;2020;;
73;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren in NL, ouders in NL;2021;;
74;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren in NL, ouders in NL;2022;;
75;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren in NL, ouders in NL;2023;;
76;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren in NL, ouder(s) buiten NL;2020;17.0;96.1
77;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren in NL, ouder(s) buiten NL;2021;17.0;96.0
78;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren in NL, ouder(s) buiten NL;2022;17.0;96.0
79;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Buiten Europa;Geboren in NL, ouder(s) buiten NL;2023;17.0;95.9
80;Totaal mannen en vrouwen;10000;Gehuwd;Totaal;Totaal;2020;29.0;89.0
81;Totaal mannen en vrouwen;10000;Gehuwd;Totaal;Totaal;2021;29.0;88.5
82;Totaal mannen en vrouwen;10000;Gehuwd;Totaal;Totaal;2022;29.0;87.4
83;Totaal mannen en vrouwen;10000;Gehuwd;Totaal;Totaal;2023;28.0;86.6
84;Totaal mannen en vrouwen;10000;Gehuwd;Totaal;Geboren in Nederland;2020;33.0;99.6
85;Totaal mannen en vrouwen;10000;Gehuwd;Totaal;Geboren in Nederland;2021;33.0;99.6
86;Totaal mannen en vrouwen;10000;Gehuwd;Totaal;Geboren in Nederland;2022;33.0;99.6
