ID;TypeWerkenden;BedrijfstakkenBranchesSBI2008;Perioden;WerkzamePersonen_1;WerkzamePersonenSeizoengecorrigeerd_2;Banen_3;BanenSeizoengecorrigeerd_4;GewerkteUren_5;GewerkteUrenSeizoengecorrigeerd_6
0;Totaal;A-U Alle economische activiteiten;1995 1e kwartaal;6995.0;7083.0;7470.0;7563.0;2653.0;2493.0
1;Totaal;A-U Alle economische activiteiten;1995 2e kwartaal;7144.0;7121.0;7634.0;7608.0;2547.0;2587.0
2;Totaal;A-U Alle economische activiteiten;1995 3e kwartaal;7241.0;7176.0;7739.0;7669.0;2348.0;2631.0
3;Totaal;A-U Alle economische activiteiten;1995 4e kwartaal;7239.0;7240.0;7740.0;7741.0;2868.0;2705.0
4;Totaal;A-U Alle economische activiteiten;1995;7155.0;;7646.0;;10416.0;
5;Totaal;A-U Alle economische activiteiten;1996 1e kwartaal;7151.0;7242.0;7662.0;7759.0;2722.0;2603.0
6;Totaal;A-U Alle economische activiteiten;1996 2e kwartaal;7314.0;7289.0;7841.0;7814.0;2617.0;2645.0
7;Totaal;A-U Alle economische activiteiten;1996 3e kwartaal;7405.0;7337.0;7938.0;7865.0;2408.0;2683.0
8;Totaal;A-U Alle economische activiteiten;1996 4e kwartaal;7388.0;7389.0;7914.0;7916.0;2933.0;2749.0
9;Totaal;A-U Alle economische activiteiten;1996;7315.0;;7839.0;;10680.0;
10;Totaal;A-U Alle economische activiteiten;1997 1e kwartaal;7359.0;7454.0;7857.0;7958.0;2783.0;2713.0
11;Totaal;A-U Alle economische activiteiten;1997 2e kwartaal;7537.0;7509.0;8046.0;8016.0;2754.0;2741.0
12;Totaal;A-U Alle economische activiteiten;1997 3e kwartaal;7647.0;7577.0;8163.0;8087.0;2468.0;2739.0
13;Totaal;A-U Alle economische activiteiten;1997 4e kwartaal;7623.0;7624.0;8137.0;8140.0;2938.0;2750.0
14;Totaal;A-U Alle economische activiteiten;1997;7541.0;;8051.0;;10942.0;
15;Totaal;A-U Alle economische activiteiten;1998 1e kwartaal;7569.0;7668.0;8108.0;8214.0;2881.0;2771.0
16;Totaal;A-U Alle economische activiteiten;1998 2e kwartaal;7750.0;7720.0;8306.0;8274.0;2761.0;2782.0
17;Totaal;A-U Alle economische activiteiten;1998 3e kwartaal;7837.0;7764.0;8402.0;8324.0;2509.0;2801.0
18;Totaal;A-U Alle economische activiteiten;1998 4e kwartaal;7797.0;7800.0;8361.0;8364.0;2990.0;2788.0
19;Totaal;A-U Alle economische activiteiten;1998;7738.0;;8294.0;;11142.0;
20;Totaal;A-U Alle economische activiteiten;1999 1e kwartaal;7777.0;7878.0;8323.0;8433.0;2924.0;2822.0
21;Totaal;A-U Alle economische activiteiten;1999 2e kwartaal;7949.0;7917.0;8513.0;8479.0;2814.0;2844.0
22;Totaal;A-U Alle economische activiteiten;1999 3e kwartaal;8027.0;7953.0;8599.0;8519.0;2545.0;2854.0
23;Totaal;A-U Alle economische activiteiten;1999 4e kwartaal;7996.0;8001.0;8563.0;8567.0;3121.0;2884.0
24;Totaal;A-U Alle economische activiteiten;1999;7937.0;;8500.0;;11405.0;
25;Totaal;A-U Alle economische activiteiten;2000 1e kwartaal;7937.0;8037.0;8494.0;8603.0;3093.0;2906.0
26;Totaal;A-U Alle economische activiteiten;2000 2e kwartaal;8127.0;8095.0;8699.0;8665.0;2929.0;2943.0
27;Totaal;A-U Alle economische activiteiten;2000 3e kwartaal;8215.0;8142.0;8791.0;8711.0;2561.0;2888.0
28;Totaal;A-U Alle economische activiteiten;2000 4e kwartaal;8183.0;8189.0;8747.0;8751.0;3062.0;2908.0
29;Totaal;A-U Alle economische activiteiten;2000;8115.0;;8683.0;;11645.0;
30;Totaal;A-U Alle economische activiteiten;2001 1e kwartaal;8135.0;8235.0;8660.0;8769.0;3101.0;2935.0
31;Totaal;A-U Alle economische activiteiten;2001 2e kwartaal;8304.0;8273.0;8835.0;8802.0;2929.0;2947.0
32;Totaal;A-U Alle economische activiteiten;2001 3e kwartaal;8376.0;8303.0;8909.0;8831.0;2611.0;2949.0
33;Totaal;A-U Alle economische activiteiten;2001 4e kwartaal;8315.0;8320.0;8841.0;8844.0;3150.0;2960.0
34;Totaal;A-U Alle economische activiteiten;2001;8282.0;;8811.0;;11791.0;
