ID;SectorBranchesSIC2008;CompanySize;InternationalityOfCompany;CharacteristicsOfJobsAndEmployees;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;PerJobPerWeekIncludingOvertime_4;PerJobPerWeekExcludingOvertime_5
0;A-U All economic activities;Total employed persons;Total ;Total;2010;7874.0;5933.0;20.4;28.9;28.5
1;A-U All economic activities;Total employed persons;Total ;Total;2011;7954.0;5936.0;20.6;28.6;28.2
2;A-U All economic activities;Total employed persons;Total ;Total;2012;7900.0;5878.0;21.1;28.6;28.2
3;A-U All economic activities;Total employed persons;Total ;Total;2013;7766.0;5785.0;21.4;28.8;28.4
4;A-U All economic activities;Total employed persons;Total ;Total;2014;7726.0;5752.0;21.5;28.7;28.4
5;A-U All economic activities;Total employed persons;Total ;Total;2015;7802.0;5805.0;22.0;28.8;28.4
6;A-U All economic activities;Total employed persons;Total ;Total;2016;7909.0;5913.0;22.1;28.9;28.6
7;A-U All economic activities;Total employed persons;Total ;Total;2017;8110.0;6057.0;22.2;29.0;28.7
8;A-U All economic activities;Total employed persons;Total ;Total;2018;8333.0;6248.0;22.7;29.2;28.8
9;A-U All economic activities;Total employed persons;Total ;Specified time;2010;2277.0;1479.0;14.9;25.0;24.6
10;A-U All economic activities;Total employed persons;Total ;Specified time;2011;2342.0;1501.0;15.0;24.7;24.3
11;A-U All economic activities;Total employed persons;Total ;Specified time;2012;2390.0;1520.0;15.3;24.6;24.2
12;A-U All economic activities;Total employed persons;Total ;Specified time;2013;2387.0;1519.0;15.5;24.8;24.3
13;A-U All economic activities;Total employed persons;Total ;Specified time;2014;2452.0;1564.0;15.5;24.9;24.4
14;A-U All economic activities;Total employed persons;Total ;Specified time;2015;2629.0;1681.0;15.7;25.0;24.5
15;A-U All economic activities;Total employed persons;Total ;Specified time;2016;2782.0;1802.0;15.8;25.3;24.9
16;A-U All economic activities;Total employed persons;Total ;Specified time;2017;2925.0;1898.0;15.8;25.5;25.1
17;A-U All economic activities;Total employed persons;Total ;Specified time;2018;3106.0;2036.0;16.3;25.7;25.3
18;A-U All economic activities;Total employed persons;Total ;Unspecified time;2010;5373.0;4255.0;21.7;30.3;29.9
19;A-U All economic activities;Total employed persons;Total ;Unspecified time;2011;5387.0;4237.0;22.0;30.1;29.7
20;A-U All economic activities;Total employed persons;Total ;Unspecified time;2012;5286.0;4162.0;22.6;30.1;29.8
21;A-U All economic activities;Total employed persons;Total ;Unspecified time;2013;5157.0;4072.0;23.0;30.4;30.0
22;A-U All economic activities;Total employed persons;Total ;Unspecified time;2014;5051.0;3995.0;23.3;30.4;30.0
23;A-U All economic activities;Total employed persons;Total ;Unspecified time;2015;4945.0;3926.0;24.1;30.5;30.1
24;A-U All economic activities;Total employed persons;Total ;Unspecified time;2016;4893.0;3910.0;24.3;30.8;30.4
25;A-U All economic activities;Total employed persons;Total ;Unspecified time;2017;4946.0;3952.0;24.6;30.9;30.5
26;A-U All economic activities;Total employed persons;Total ;Unspecified time;2018;4981.0;4000.0;25.2;31.1;30.7
27;A-U All economic activities;Total employed persons;Total ;Other;2010;224.0;199.0;32.7;35.1;35.1
28;A-U All economic activities;Total employed persons;Total ;Other;2011;225.0;198.0;33.3;34.7;34.7
29;A-U All economic activities;Total employed persons;Total ;Other;2012;224.0;197.0;33.8;34.7;34.6
30;A-U All economic activities;Total employed persons;Total ;Other;2013;222.0;194.0;34.3;34.6;34.6
31;A-U All economic activities;Total employed persons;Total ;Other;2014;223.0;193.0;34.1;34.5;34.5
32;A-U All economic activities;Total employed persons;Total ;Other;2015;228.0;198.0;35.0;34.5;34.5
33;A-U All economic activities;Total employed persons;Total ;Other;2016;234.0;202.0;35.2;34.4;34.4
34;A-U All economic activities;Total employed persons;Total ;Other;2017;239.0;206.0;35.9;34.2;34.2
35;A-U All economic activities;Total employed persons;Total ;Other;2018;246.0;212.0;36.5;34.3;34.2
36;A-U All economic activities;Total employed persons;Total ;Male;2010;4170.0;3558.0;22.0;33.5;32.9
37;A-U All economic activities;Total employed persons;Total ;Male;2011;4195.0;3549.0;22.2;33.2;32.6
38;A-U All economic activities;Total employed persons;Total ;Male;2012;4143.0;3494.0;22.7;33.2;32.6
39;A-U All economic activities;Total employed persons;Total ;Male;2013;4061.0;3427.0;22.9;33.4;32.7
40;A-U All economic activities;Total employed persons;Total ;Male;2014;4040.0;3402.0;23.0;33.3;32.7
41;A-U All economic activities;Total employed persons;Total ;Male;2015;4089.0;3435.0;23.5;33.2;32.6
42;A-U All economic activities;Total employed persons;Total ;Male;2016;4148.0;3493.0;23.6;33.3;32.7
43;A-U All economic activities;Total employed persons;Total ;Male;2017;4249.0;3574.0;23.6;33.4;32.7
44;A-U All economic activities;Total employed persons;Total ;Male;2018;4357.0;3667.0;24.1;33.4;32.8
45;A-U All economic activities;Total employed persons;Total ;Female;2010;3704.0;2374.0;17.9;23.7;23.6
46;A-U All economic activities;Total employed persons;Total ;Female;2011;3759.0;2387.0;18.1;23.5;23.4
47;A-U All economic activities;Total employed persons;Total ;Female;2012;3757.0;2384.0;18.7;23.5;23.4
48;A-U All economic activities;Total employed persons;Total ;Female;2013;3705.0;2358.0;19.1;23.7;23.6
49;A-U All economic activities;Total employed persons;Total ;Female;2014;3686.0;2350.0;19.3;23.7;23.6
50;A-U All economic activities;Total employed persons;Total ;Female;2015;3713.0;2370.0;19.8;23.8;23.7
51;A-U All economic activities;Total employed persons;Total ;Female;2016;3762.0;2421.0;19.9;24.1;24.0
52;A-U All economic activities;Total employed persons;Total ;Female;2017;3861.0;2482.0;20.1;24.3;24.2
53;A-U All economic activities;Total employed persons;Total ;Female;2018;3976.0;2581.0;20.6;24.5;24.4
54;A-U All economic activities;Total employed persons;Total ;15 to 34 years;2010;2999.0;2077.0;15.3;26.6;26.2
55;A-U All economic activities;Total employed persons;Total ;15 to 34 years;2011;3028.0;2062.0;15.4;26.2;25.8
56;A-U All economic activities;Total employed persons;Total ;15 to 34 years;2012;2996.0;2022.0;15.7;26.0;25.7
57;A-U All economic activities;Total employed persons;Total ;15 to 34 years;2013;2928.0;1974.0;15.8;26.1;25.7
58;A-U All economic activities;Total employed persons;Total ;15 to 34 years;2014;2918.0;1957.0;15.7;26.0;25.6
59;A-U All economic activities;Total employed persons;Total ;15 to 34 years;2015;2968.0;1984.0;15.9;26.0;25.6
60;A-U All economic activities;Total employed persons;Total ;15 to 34 years;2016;3028.0;2040.0;15.9;26.2;25.8
61;A-U All economic activities;Total employed persons;Total ;15 to 34 years;2017;3131.0;2112.0;16.1;26.3;25.9
62;A-U All economic activities;Total employed persons;Total ;15 to 34 years;2018;3342.0;2285.0;16.4;26.7;26.3
63;A-U All economic activities;Total employed persons;Total ;35 to 54 years;2010;3691.0;2954.0;23.3;30.7;30.3
64;A-U All economic activities;Total employed persons;Total ;35 to 54 years;2011;3672.0;2927.0;23.6;30.5;30.1
65;A-U All economic activities;Total employed persons;Total ;35 to 54 years;2012;3612.0;2880.0;24.2;30.6;30.2
66;A-U All economic activities;Total employed persons;Total ;35 to 54 years;2013;3516.0;2811.0;24.6;30.8;30.4
67;A-U All economic activities;Total employed persons;Total ;35 to 54 years;2014;3450.0;2762.0;24.8;30.9;30.5
68;A-U All economic activities;Total employed persons;Total ;35 to 54 years;2015;3420.0;2741.0;25.5;30.9;30.5
69;A-U All economic activities;Total employed persons;Total ;35 to 54 years;2016;3404.0;2741.0;25.6;31.1;30.7
70;A-U All economic activities;Total employed persons;Total ;35 to 54 years;2017;3411.0;2746.0;25.8;31.3;30.9
71;A-U All economic activities;Total employed persons;Total ;35 to 54 years;2018;3491.0;2824.0;26.1;31.5;31.1
72;A-U All economic activities;Total employed persons;Total ;55 years or older;2010;1184.0;901.0;22.7;29.2;28.8
73;A-U All economic activities;Total employed persons;Total ;55 years or older;2011;1254.0;947.0;22.9;29.0;28.5
74;A-U All economic activities;Total employed persons;Total ;55 years or older;2012;1293.0;975.0;23.5;29.0;28.5
75;A-U All economic activities;Total employed persons;Total ;55 years or older;2013;1322.0;1000.0;24.0;29.1;28.7
76;A-U All economic activities;Total employed persons;Total ;55 years or older;2014;1357.0;1033.0;24.1;29.3;28.9
