ID;Geslacht;Leeftijd;Migratieachtergrond;Perioden;UitkeringsontvangersTotaal_1;Werkloosheid_2;BijstandEnBijstandsgerelateerdTotaal_3;Bijstandsuitkering_4;IOAWUitkering_5;IOAZUitkering_6;ArbeidsongeschiktheidTotaal_7;WAOUitkering_8;WIAUitkeringRegelingWGA_9;WIAUitkeringRegelingIVA_10;WAZUitkering_11;WajongUitkering_12;AOW_13
0;Totaal mannen en vrouwen;Totaal;Totaal;2007 januari;1435170.0;231640.0;418140.0;389380.0;10200.0;3010.0;825150.0;617890.0;16050.0;4130.0;43290.0;151960.0;
1;Totaal mannen en vrouwen;Totaal;Totaal;2007 februari;1423750.0;220530.0;416850.0;388240.0;10060.0;3000.0;823220.0;614090.0;17140.0;4510.0;42840.0;152750.0;
2;Totaal mannen en vrouwen;Totaal;Totaal;2007 maart;1410640.0;209330.0;413530.0;385150.0;9810.0;2980.0;823530.0;611960.0;18340.0;4890.0;42700.0;153900.0;
3;Totaal mannen en vrouwen;Totaal;Totaal;2007 april;1399680.0;203150.0;411340.0;383120.0;9660.0;2950.0;822290.0;608560.0;19460.0;5340.0;42340.0;154880.0;
4;Totaal mannen en vrouwen;Totaal;Totaal;2007 mei;1389780.0;196980.0;408600.0;380570.0;9490.0;2920.0;820750.0;604920.0;20630.0;5730.0;41940.0;155780.0;
5;Totaal mannen en vrouwen;Totaal;Totaal;2007 juni;1380920.0;193020.0;404720.0;376880.0;9290.0;2880.0;819270.0;601380.0;21630.0;6100.0;41550.0;156810.0;
6;Totaal mannen en vrouwen;Totaal;Totaal;2007 juli;1377100.0;194230.0;400960.0;373370.0;9070.0;2870.0;817580.0;597640.0;22690.0;6420.0;41260.0;157790.0;
7;Totaal mannen en vrouwen;Totaal;Totaal;2007 augustus;1363050.0;186770.0;398560.0;371040.0;8930.0;2830.0;812680.0;591450.0;23840.0;6810.0;40550.0;157990.0;
8;Totaal mannen en vrouwen;Totaal;Totaal;2007 september;1353910.0;181380.0;395280.0;367850.0;8880.0;2830.0;811560.0;588120.0;25100.0;7280.0;40240.0;158790.0;
9;Totaal mannen en vrouwen;Totaal;Totaal;2007 oktober;1349540.0;178910.0;393040.0;365380.0;8870.0;2790.0;811210.0;585690.0;26490.0;7680.0;39930.0;159360.0;
10;Totaal mannen en vrouwen;Totaal;Totaal;2007 november;1346260.0;180360.0;387560.0;359930.0;8720.0;2750.0;811430.0;583450.0;27760.0;8090.0;39680.0;160340.0;
11;Totaal mannen en vrouwen;Totaal;Totaal;2007 december;1354050.0;191530.0;384630.0;356800.0;8720.0;2690.0;810940.0;580950.0;28730.0;8540.0;39420.0;161220.0;
12;Totaal mannen en vrouwen;Totaal;Totaal;2008 januari;1344410.0;181780.0;383640.0;355640.0;8830.0;2720.0;810240.0;577960.0;30160.0;9000.0;39090.0;161960.0;
13;Totaal mannen en vrouwen;Totaal;Totaal;2008 februari;1338910.0;175920.0;384030.0;355760.0;8870.0;2720.0;809550.0;575120.0;31330.0;9400.0;38790.0;162800.0;
14;Totaal mannen en vrouwen;Totaal;Totaal;2008 maart;1333970.0;170780.0;383240.0;354810.0;8910.0;2680.0;809880.0;573790.0;32720.0;9790.0;38670.0;162950.0;
15;Totaal mannen en vrouwen;Totaal;Totaal;2008 april;1326460.0;163250.0;382310.0;353790.0;8990.0;2650.0;810020.0;571710.0;33900.0;10310.0;38430.0;163890.0;
16;Totaal mannen en vrouwen;Totaal;Totaal;2008 mei;1319910.0;157850.0;381110.0;352580.0;9020.0;2620.0;809420.0;568670.0;35110.0;10750.0;38040.0;165040.0;
