ID;Geslacht;Leeftijdsklasse;Herkomstgroepering;Perioden;PersonenMetEenUitkering_1;PersonenMetWAOWajongWAZUitkering_2;VolledigArbeidsongeschikt_3;GedeeltelijkArbeidsongeschikt_4;PsychischeAandoeningen_5;ZiektenVanBotspierstelsel_6;OverigeAandoeningen_7;PersonenMetEenABWUitkering_8;Alleenstaand_9;AlleenstaandeOuder_10;EchtPaar_11;Anders_12;PersonenMetWWUitkering_13;PersonenMetIOAWIOAZUitkering_14
0;Mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal herkomstgroeperingen;1999;1509.5;891.8;654.8;236.5;293.8;257.6;340.5;420.3;196.6;98.5;123.6;1.4;205.0;42.7
1;Mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal herkomstgroeperingen;2000;1479.2;923.2;673.3;249.5;310.2;265.5;347.6;390.5;181.3;95.0;113.2;0.7;174.9;38.4
2;Mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal herkomstgroeperingen;2001;1469.7;948.4;673.3;261.6;333.7;275.4;339.3;375.2;175.0;92.1;107.4;0.6;155.6;37.6
3;Mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal herkomstgroeperingen;2002;1511.1;960.6;684.6;275.5;348.1;280.6;331.9;372.5;176.0;91.1;104.8;0.6;192.8;35.9
4;Mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal herkomstgroeperingen;2003;1582.5;946.4;672.5;273.4;350.0;273.7;322.7;390.5;187.7;93.7;108.5;0.6;272.3;31.3
5;Mannen en vrouwen;Totaal 15 tot 65 jaar;Autochtonen;1999;1118.6;737.7;535.4;201.9;239.8;216.0;281.9;223.3;121.1;53.1;47.9;1.0;160.6;34.6
6;Mannen en vrouwen;Totaal 15 tot 65 jaar;Autochtonen;2000;1092.9;759.8;547.2;212.2;251.6;221.6;286.6;201.5;110.0;49.6;41.3;0.5;135.7;30.9
7;Mannen en vrouwen;Totaal 15 tot 65 jaar;Autochtonen;2001;1080.0;777.3;545.4;221.3;269.0;228.7;279.5;188.1;104.0;46.7;36.9;0.4;118.4;30.4
8;Mannen en vrouwen;Totaal 15 tot 65 jaar;Autochtonen;2002;1102.8;784.2;552.1;231.7;279.2;232.1;272.9;182.8;102.6;45.1;34.7;0.4;143.5;29.1
9;Mannen en vrouwen;Totaal 15 tot 65 jaar;Autochtonen;2003;1141.0;770.3;540.9;229.0;279.5;225.8;264.9;188.7;107.8;45.8;34.8;0.4;198.6;25.1
10;Mannen en vrouwen;Totaal 15 tot 65 jaar;Allochtonen;1999;390.9;154.1;119.5;34.6;54.0;41.5;58.6;197.0;75.5;45.4;75.6;0.4;44.4;8.1
11;Mannen en vrouwen;Totaal 15 tot 65 jaar;Allochtonen;2000;386.3;163.4;126.1;37.3;58.5;43.9;61.0;188.9;71.3;45.4;71.9;0.2;39.2;7.5
12;Mannen en vrouwen;Totaal 15 tot 65 jaar;Allochtonen;2001;389.7;171.1;127.9;40.4;64.7;46.7;59.7;187.1;71.0;45.4;70.4;0.2;37.2;7.2
13;Mannen en vrouwen;Totaal 15 tot 65 jaar;Allochtonen;2002;408.3;176.4;132.4;43.9;68.9;48.5;59.0;189.8;73.4;46.0;70.1;0.3;49.3;6.8
14;Mannen en vrouwen;Totaal 15 tot 65 jaar;Allochtonen;2003;441.6;176.1;131.6;44.4;70.5;47.8;57.8;201.9;80.0;47.9;73.8;0.2;73.8;6.2
15;Mannen en vrouwen;Totaal 15 tot 65 jaar;Westerse allochtonen;1999;156.1;86.0;64.9;21.1;28.9;23.9;33.2;48.0;24.6;10.3;12.9;0.2;22.9;4.3
16;Mannen en vrouwen;Totaal 15 tot 65 jaar;Westerse allochtonen;2000;150.8;88.2;66.0;22.1;30.3;24.4;33.5;44.0;22.6;9.7;11.6;0.1;19.5;3.9
17;Mannen en vrouwen;Totaal 15 tot 65 jaar;Westerse allochtonen;2001;148.6;90.0;65.6;23.3;32.4;25.2;32.5;41.7;21.5;9.3;10.8;0.1;17.9;3.8
18;Mannen en vrouwen;Totaal 15 tot 65 jaar;Westerse allochtonen;2002;152.8;90.8;66.3;24.4;33.6;25.4;31.8;41.2;21.2;9.2;10.7;0.1;22.5;3.5
19;Mannen en vrouwen;Totaal 15 tot 65 jaar;Westerse allochtonen;2003;160.7;89.0;64.8;24.2;33.6;24.6;30.8;42.9;22.3;9.4;11.1;0.1;31.7;3.0
20;Mannen en vrouwen;Totaal 15 tot 65 jaar;Niet-westerse allochtonen;1999;234.8;68.1;54.5;13.5;25.1;17.6;25.4;149.0;50.9;35.1;62.7;0.3;21.6;3.8
21;Mannen en vrouwen;Totaal 15 tot 65 jaar;Niet-westerse allochtonen;2000;235.5;75.2;60.0;15.2;28.3;19.5;27.5;144.9;48.7;35.7;60.3;0.2;19.7;3.6
22;Mannen en vrouwen;Totaal 15 tot 65 jaar;Niet-westerse allochtonen;2001;241.0;81.0;62.4;17.1;32.3;21.5;27.2;145.4;49.5;36.1;59.6;0.1;19.3;3.4
23;Mannen en vrouwen;Totaal 15 tot 65 jaar;Niet-westerse allochtonen;2002;255.4;85.6;66.1;19.4;35.3;23.1;27.2;148.6;52.1;36.9;59.4;0.2;26.8;3.3
24;Mannen en vrouwen;Totaal 15 tot 65 jaar;Niet-westerse allochtonen;2003;280.8;87.1;66.8;20.3;36.8;23.2;27.0;159.0;57.7;38.5;62.6;0.2;42.1;3.2
25;Mannen en vrouwen;Totaal 15 tot 65 jaar;Marokkanen;1999;47.7;15.0;12.2;2.8;5.4;4.2;5.4;29.6;6.9;3.8;18.9;0.0;3.8;1.4
26;Mannen en vrouwen;Totaal 15 tot 65 jaar;Marokkanen;2000;48.5;16.7;13.6;3.1;6.2;4.6;5.9;29.0;6.5;3.9;18.6;0.0;3.7;1.3
27;Mannen en vrouwen;Totaal 15 tot 65 jaar;Marokkanen;2001;49.5;17.9;14.0;3.5;7.2;5.0;5.7;29.1;6.6;4.2;18.3;0.0;3.6;1.2
28;Mannen en vrouwen;Totaal 15 tot 65 jaar;Marokkanen;2002;51.8;18.8;14.9;3.8;7.9;5.2;5.6;29.4;6.9;4.4;18.1;0.0;4.9;1.2
29;Mannen en vrouwen;Totaal 15 tot 65 jaar;Marokkanen;2003;56.5;19.0;15.0;4.0;8.3;5.2;5.5;31.3;7.9;4.7;18.8;0.0;7.8;1.1
30;Mannen en vrouwen;Totaal 15 tot 65 jaar;Turken;1999;60.6;26.2;21.3;4.9;9.4;7.6;9.2;28.8;5.3;4.9;18.6;0.0;6.9;1.6
31;Mannen en vrouwen;Totaal 15 tot 65 jaar;Turken;2000;60.6;28.8;23.4;5.4;10.7;8.3;9.8;26.6;4.9;4.9;16.8;0.0;6.6;1.6
32;Mannen en vrouwen;Totaal 15 tot 65 jaar;Turken;2001;61.2;30.7;24.3;6.0;12.2;8.8;9.7;25.8;4.9;5.1;15.7;0.0;6.1;1.5
33;Mannen en vrouwen;Totaal 15 tot 65 jaar;Turken;2002;64.0;32.0;25.4;6.6;13.3;9.2;9.5;25.8;5.1;5.2;15.4;0.0;7.9;1.4
34;Mannen en vrouwen;Totaal 15 tot 65 jaar;Turken;2003;68.8;32.3;25.4;6.8;13.7;9.2;9.3;27.3;6.0;5.6;15.6;0.0;11.4;1.3
35;Mannen en vrouwen;Totaal 15 tot 65 jaar;Surinamers;1999;48.0;17.0;13.4;3.6;6.8;3.4;6.9;27.3;13.8;10.2;3.3;0.0;4.7;0.3
36;Mannen en vrouwen;Totaal 15 tot 65 jaar;Surinamers;2000;46.5;18.3;14.3;4.0;7.3;3.7;7.3;25.3;12.8;9.6;2.9;0.0;4.0;0.3
37;Mannen en vrouwen;Totaal 15 tot 65 jaar;Surinamers;2001;45.9;19.5;14.6;4.5;8.1;4.2;7.1;23.7;12.2;9.0;2.5;0.0;3.9;0.3
38;Mannen en vrouwen;Totaal 15 tot 65 jaar;Surinamers;2002;47.7;20.4;15.2;5.2;8.7;4.6;7.1;23.1;12.1;8.6;2.3;0.0;5.5;0.3
39;Mannen en vrouwen;Totaal 15 tot 65 jaar;Surinamers;2003;52.0;20.5;15.2;5.3;8.9;4.5;7.1;24.1;12.9;8.7;2.5;0.0;9.0;0.3
40;Mannen en vrouwen;Totaal 15 tot 65 jaar;Antillianen en Arubanen;1999;17.8;3.0;2.3;0.7;1.2;0.6;1.2;13.7;6.9;5.6;1.1;0.0;1.4;0.1
41;Mannen en vrouwen;Totaal 15 tot 65 jaar;Antillianen en Arubanen;2000;18.5;3.4;2.6;0.8;1.4;0.7;1.3;14.2;6.8;6.1;1.2;0.0;1.2;0.0
42;Mannen en vrouwen;Totaal 15 tot 65 jaar;Antillianen en Arubanen;2001;18.9;3.7;2.7;0.9;1.5;0.8;1.4;14.2;6.8;6.2;1.2;0.0;1.2;0.0
43;Mannen en vrouwen;Totaal 15 tot 65 jaar;Antillianen en Arubanen;2002;19.8;4.0;2.9;1.1;1.7;0.9;1.4;14.2;6.8;6.2;1.2;0.0;1.9;0.1
44;Mannen en vrouwen;Totaal 15 tot 65 jaar;Antillianen en Arubanen;2003;21.7;4.1;3.0;1.1;1.8;0.9;1.4;14.9;7.3;6.2;1.3;0.0;3.2;0.1
45;Mannen en vrouwen;Totaal 15 tot 65 jaar;Overige niet-westerse allochtonen;1999;60.7;6.9;5.3;1.6;2.3;1.8;2.8;49.6;18.1;10.6;20.8;0.1;4.8;0.4
46;Mannen en vrouwen;Totaal 15 tot 65 jaar;Overige niet-westerse allochtonen;2000;61.4;8.0;6.2;1.9;2.7;2.2;3.1;49.8;17.6;11.1;20.9;0.1;4.2;0.4
47;Mannen en vrouwen;Totaal 15 tot 65 jaar;Overige niet-westerse allochtonen;2001;65.6;9.2;6.8;2.3;3.2;2.7;3.3;52.7;19.0;11.7;21.9;0.1;4.5;0.4
48;Mannen en vrouwen;Totaal 15 tot 65 jaar;Overige niet-westerse allochtonen;2002;72.1;10.4;7.7;2.8;3.8;3.2;3.5;56.1;21.3;12.4;22.3;0.1;6.5;0.4
49;Mannen en vrouwen;Totaal 15 tot 65 jaar;Overige niet-westerse allochtonen;2003;81.8;11.2;8.2;3.0;4.2;3.4;3.7;61.4;23.6;13.3;24.4;0.1;10.7;0.4
50;Mannen en vrouwen;15 tot 20 jaar;Totaal herkomstgroeperingen;1999;13.2;6.4;6.3;0.1;4.6;0.3;1.6;5.7;4.1;1.0;0.5;0.1;1.2;0.0
51;Mannen en vrouwen;15 tot 20 jaar;Totaal herkomstgroeperingen;2000;12.7;6.5;6.5;0.1;4.7;0.2;1.6;5.2;3.7;1.1;0.4;0.0;0.9;0.0
52;Mannen en vrouwen;15 tot 20 jaar;Totaal herkomstgroeperingen;2001;12.5;6.7;6.6;0.1;4.9;0.3;1.6;5.0;3.5;1.1;0.4;0.0;0.8;0.0
53;Mannen en vrouwen;15 tot 20 jaar;Totaal herkomstgroeperingen;2002;14.1;7.2;7.1;0.1;5.4;0.3;1.6;5.5;3.9;1.2;0.4;0.0;1.4;0.0
