ID;Citizenship;Periods;TotalResidencePermitsForAsylum_1;TemporaryResidencePermits_2;PermanentResidencePermits_3
0;85;2001;7765;7230;530
1;85;2002;8820;8075;745
2;85;2003;9755;8350;1410
3;85;2004;10170;6120;4050
4;85;2005;17880;11090;6790
5;85;2006;14440;7060;7380
6;85;2007;12345;8905;3440
7;85;2008;6615;5985;630
8;85;2009;9115;8240;875
9;85;2010;10005;8355;1650
10;85;2011;10690;7795;2895
11;Afghanistan;2001;1695;1630;65
12;Afghanistan;2002;305;265;40
13;Afghanistan;2003;1245;670;575
14;Afghanistan;2004;1465;515;950
15;Afghanistan;2005;1975;815;1155
16;Afghanistan;2006;1365;535;830
17;Afghanistan;2007;820;515;305
18;Afghanistan;2008;310;275;40
19;Afghanistan;2009;425;330;95
20;Afghanistan;2010;890;755;130
21;Afghanistan;2011;1635;1375;265
22;Angola;2001;160;155;5
23;Angola;2002;925;920;5
24;Angola;2003;250;220;30
25;Angola;2004;370;185;185
26;Angola;2005;515;280;235
27;Angola;2006;290;185;105
28;Angola;2007;210;185;25
29;Angola;2008;45;40;5
30;Angola;2009;45;35;10
31;Angola;2010;45;25;20
32;Angola;2011;20;5;20
33;21;2001;95;80;15
34;21;2002;165;160;5
35;21;2003;115;85;30
36;21;2004;105;60;45
37;21;2005;495;300;195
38;21;2006;210;135;75
39;21;2007;220;175;45
40;21;2008;45;40;5
41;21;2009;105;80;25
42;21;2010;185;165;20
43;21;2011;95;75;20
44;22;2001;80;75;5
45;22;2002;395;375;20
46;22;2003;215;155;60
47;22;2004;275;190;85
48;22;2005;1100;720;380
49;22;2006;635;360;270
50;22;2007;545;500;45
51;22;2008;115;100;10
52;22;2009;60;55;5
53;22;2010;90;60;30
54;22;2011;80;40;35
55;Bosnia-Hercegovina;2001;150;145;5
56;Bosnia-Hercegovina;2002;120;110;10
57;Bosnia-Hercegovina;2003;95;80;15
58;Bosnia-Hercegovina;2004;95;50;50
59;Bosnia-Hercegovina;2005;160;95;70
60;Bosnia-Hercegovina;2006;80;40;45
61;Bosnia-Hercegovina;2007;120;85;35
62;Bosnia-Hercegovina;2008;10;10;0
63;Bosnia-Hercegovina;2009;5;0;5
64;Bosnia-Hercegovina;2010;20;0;15
65;Bosnia-Hercegovina;2011;5;0;0
66;Burundi;2001;245;240;0
67;Burundi;2002;300;295;5
68;Burundi;2003;265;245;20
69;Burundi;2004;520;290;230
70;Burundi;2005;600;395;205
71;Burundi;2006;595;355;245
72;Burundi;2007;260;105;155
73;Burundi;2008;110;70;45
74;Burundi;2009;130;70;60
75;Burundi;2010;110;40;75
76;Burundi;2011;190;10;180
77;China;2001;30;30;0
78;China;2002;85;80;0
79;China;2003;40;35;5
80;China;2004;60;40;20
81;China;2005;130;85;45
82;China;2006;190;140;55
83;China;2007;160;140;20
84;China;2008;115;115;0
85;China;2009;155;130;30
86;China;2010;225;205;20
87;China;2011;265;230;35
88;Congo;2001;55;55;0
89;Congo;2002;135;125;10
90;Congo;2003;75;70;5
91;Congo;2004;85;50;40
92;Congo;2005;205;125;80
93;Congo;2006;150;75;70
94;Congo;2007;100;65;35
95;Congo;2008;55;45;5
96;Congo;2009;80;55;25
97;Congo;2010;85;60;25
98;Congo;2011;105;75;25
99;Congo (Democratic Republic);2001;70;60;5
100;Congo (Democratic Republic);2002;120;115;5
101;Congo (Democratic Republic);2003;95;70;25
102;Congo (Democratic Republic);2004;190;85;105
103;Congo (Democratic Republic);2005;330;210;115
104;Congo (Democratic Republic);2006;325;190;130
105;Congo (Democratic Republic);2007;100;80;20
106;Congo (Democratic Republic);2008;50;40;10
107;Congo (Democratic Republic);2009;55;35;20
108;Congo (Democratic Republic);2010;155;40;115
109;Congo (Democratic Republic);2011;100;30;70
110;Eritrea;2001;15;15;0
111;Eritrea;2002;55;55;0
112;Eritrea;2003;35;30;0
113;Eritrea;2004;90;75;15
114;Eritrea;2005;215;170;45
115;Eritrea;2006;320;215;105
116;Eritrea;2007;240;170;70
117;Eritrea;2008;135;130;5
118;Eritrea;2009;260;225;35
119;Eritrea;2010;355;285;70
120;Eritrea;2011;530;410;120
121;Guinea;2001;95;90;5
122;Guinea;2002;230;230;0
123;Guinea;2003;100;85;10
124;Guinea;2004;150;80;65
125;Guinea;2005;175;110;70
126;Guinea;2006;130;95;35
127;Guinea;2007;75;55;20
128;Guinea;2008;145;135;10
129;Guinea;2009;115;110;5
130;Guinea;2010;145;125;20
131;Guinea;2011;140;100;40
132;Iran;2001;150;135;15
133;Iran;2002;385;355;35
134;Iran;2003;250;200;50
135;Iran;2004;495;280;220
136;Iran;2005;620;365;255
137;Iran;2006;520;285;230
138;Iran;2007;360;285;75
139;Iran;2008;210;200;10
140;Iran;2009;310;255;55
141;Iran;2010;490;450;40
142;Iran;2011;735;595;145
143;Iraq;2001;785;580;205
144;Iraq;2002;1525;1335;185
145;Iraq;2003;4335;4235;100
146;Iraq;2004;1900;1720;185
147;Iraq;2005;3830;2335;1500
148;Iraq;2006;3630;610;3015
149;Iraq;2007;3675;2445;1230
150;Iraq;2008;2265;2190;75
151;Iraq;2009;1845;1795;50
152;Iraq;2010;1550;1360;195
153;Iraq;2011;1775;1290;485
154;Ivory Coast;2001;10;10;0
155;Ivory Coast;2002;10;10;0
156;Ivory Coast;2003;40;40;0
157;Ivory Coast;2004;25;20;5
158;Ivory Coast;2005;50;40;10
159;Ivory Coast;2006;255;210;45
160;Ivory Coast;2007;100;90;10
161;Ivory Coast;2008;150;55;95
162;Ivory Coast;2009;95;75;15
163;Ivory Coast;2010;75;70;0
164;Ivory Coast;2011;25;20;5
165;26;2001;285;250;30
166;26;2002;240;190;50
167;26;2003;225;175;50
168;26;2004;260;165;95
169;26;2005;305;210;90
170;26;2006;260;155;105
171;26;2007;420;375;40
172;26;2008;65;60;5
173;26;2009;25;10;15
174;26;2010;25;5;25
175;26;2011;15;0;10
176;Nigeria;2001;10;10;0
177;Nigeria;2002;20;15;0
178;Nigeria;2003;15;15;0
179;Nigeria;2004;25;20;10
180;Nigeria;2005;50;35;15
181;Nigeria;2006;80;50;30
182;Nigeria;2007;45;35;10
183;Nigeria;2008;30;25;5
184;Nigeria;2009;30;25;5
185;Nigeria;2010;20;15;5
186;Nigeria;2011;40;25;15
187;31;2001;85;85;0
188;31;2002;160;160;5
189;31;2003;175;145;25
190;31;2004;230;130;100
191;31;2005;480;305;175
192;31;2006;320;195;125
193;31;2007;230;170;60
194;31;2008;55;55;5
195;31;2009;60;35;25
196;31;2010;25;15;10
197;31;2011;70;25;45
198;Sierra Leone;2001;1350;1345;5
199;Sierra Leone;2002;1210;1195;10
200;Sierra Leone;2003;215;190;25
201;Sierra Leone;2004;315;125;195
202;Sierra Leone;2005;440;180;260
203;Sierra Leone;2006;430;145;285
204;Sierra Leone;2007;290;145;145
205;Sierra Leone;2008;120;95;25
206;Sierra Leone;2009;125;110;15
207;Sierra Leone;2010;105;75;30
208;Sierra Leone;2011;110;55;55
209;Somalia;2001;320;255;65
210;Somalia;2002;545;440;105
211;Somalia;2003;340;240;100
212;Somalia;2004;700;495;205
213;Somalia;2005;1730;1425;305
214;Somalia;2006;1270;1040;225
215;Somalia;2007;1545;1285;260
216;Somalia;2008;1680;1525;155
217;Somalia;2009;3985;3860;120
218;Somalia;2010;3825;3590;230
219;Somalia;2011;2850;2350;495
220;Sri Lanka;2001;60;55;5
221;Sri Lanka;2002;155;140;10
222;Sri Lanka;2003;45;35;10
223;Sri Lanka;2004;100;40;60
224;Sri Lanka;2005;70;35;35
225;Sri Lanka;2006;65;40;25
226;Sri Lanka;2007;65;50;15
227;Sri Lanka;2008;50;50;0
228;Sri Lanka;2009;85;85;0
229;Sri Lanka;2010;140;135;5
230;Sri Lanka;2011;100;95;5
231;Sudan;2001;275;230;45
232;Sudan;2002;390;325;65
233;Sudan;2003;250;195;55
234;Sudan;2004;290;170;120
235;Sudan;2005;570;380;195
236;Sudan;2006;355;195;160
237;Sudan;2007;290;230;65
238;Sudan;2008;60;50;10
239;Sudan;2009;95;35;60
240;Sudan;2010;140;65;75
241;Sudan;2011;205;120;85
242;Syria;2001;100;95;0
243;Syria;2002;230;210;15
244;Syria;2003;160;125;35
245;Syria;2004;340;170;170
246;Syria;2005;425;255;170
247;Syria;2006;250;120;130
248;Syria;2007;145;125;20
249;Syria;2008;25;25;0
250;Syria;2009;45;30;15
251;Syria;2010;90;55;35
252;Syria;2011;65;25;45
253;34;2001;90;80;5
254;34;2002;115;105;10
255;34;2003;75;70;5
256;34;2004;140;90;50
257;34;2005;245;140;105
258;34;2006;140;75;65
259;34;2007;205;145;60
260;34;2008;50;40;10
261;34;2009;30;15;15
262;34;2010;55;25;30
263;34;2011;50;20;30
264;57;2001;1200;1195;5
265;57;2002;395;320;75
266;57;2003;635;525;115
267;57;2004;1105;625;480
268;57;2005;1585;1050;535
269;57;2006;1115;655;455
270;57;2007;1065;725;345
271;57;2008;325;260;65
272;57;2009;380;310;70
273;57;2010;420;245;170
274;57;2011;665;400;265
275;Other citizenships;2001;370;330;40
276;Other citizenships;2002;610;550;60
277;Other citizenships;2003;470;410;65
278;Other citizenships;2004;835;455;380
279;Other citizenships;2005;1590;1040;550
280;Other citizenships;2006;1470;955;515
281;Other citizenships;2007;1060;725;335
