ID;PolitiekeGroeperingen;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;TotaalMannenEnVrouwen_3;TotaalMannenEnVrouwenRelatief_4;Mannen_5;Vrouwen_6;TotaalMannenEnVrouwen_7;TotaalMannenEnVrouwenRelatief_8;Mannen_9;Vrouwen_10;TotaalMannenEnVrouwen_11;TotaalMannenEnVrouwenRelatief_12;Mannen_13;Vrouwen_14;TotaalMannenEnVrouwen_15;TotaalMannenEnVrouwenRelatief_16;Mannen_17;Vrouwen_18
0;Totaal politieke groepering;6438817;100.0;9080;100.0;6960;2120;1533;100.0;1280;253;139;100.0;121;18;458;100.0;365;93
1;CDA;1319718;20.5;2155;23.7;1641;514;443;28.9;366;77;30;21.6;26;4;172;37.6;151;21
2;CU;199561;3.1;279;3.1;248;31;44;2.9;42;2;6;4.3;6;0;8;1.7;8;0
3;D66;270532;4.2;268;3.0;200;68;29;1.9;22;7;4;2.9;3;1;29;6.3;20;9
4;GL;390059;6.1;410;4.5;246;164;44;2.9;32;12;11;7.9;9;2;6;1.3;3;3
5;PvdA;1031718;16.0;1360;15.0;983;377;268;17.5;224;44;17;12.2;14;3;142;31.0;105;37
6;SGP;107756;1.7;181;2.0;181;0;24;1.6;24;0;2;1.4;2;0;3;0.7;3;0
7;SP;180698;2.8;143;1.6;95;48;10;0.7;8;2;0;0.0;0;0;0;0.0;0;0
8;VVD;1017927;15.8;1475;16.2;1116;359;257;16.8;207;50;18;12.9;16;2;95;20.7;72;23
9;Overige landelijke groepering(en);30447;0.5;34;0.4;30;4;2;0.1;2;0;0;0.0;0;0;0;0.0;0;0
10;Lokale confessionele groepering(en);100817;1.6;135;1.5;133;2;18;1.2;18;0;3;2.2;3;0;0;0.0;0;0
11;Lokale onafhankelijke groepering(en);1611141;25.0;2368;26.1;1895;473;37;2.4;306;51;42;30.2;37;5;2;0.4;2;0
12;Lokale progressieve groepering(en);178443;2.8;272;3.0;192;80;357;23.3;29;8;6;4.3;5;1;0;0.0;0;0
13;Onbekend;0;0.0;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0;1;0.2;1;0
